name,name_reco,wikidata_id,date of death,date of birth,VIAF ID,GND ID,country of citizenship,instance of,sex or gender,theory
Mikhail Mikhailovich Bakhtin,Mikhail Bakhtin,Q185375,1975-03-07T00:00:00Z,1895-11-17T00:00:00Z,88958796,118505653,Russian Empire,human,male,NEW_CRITICISM
Bahktin,Mikhail Bakhtin,Q185375,1975-03-07T00:00:00Z,1895-11-17T00:00:00Z,88958796,118505653,Russian Empire,human,male,NEW_CRITICISM
New Critic*,New Criticism,Q742302,,,,,,,,NEW_CRITICISM
Bakhtin School,Q109790201,Q109790201,,,,,,school of thought,,NEW_CRITICISM
Moral Formalism,Moral Formalism,,,,,,,,,NEW_CRITICISM
Russian Formalism,Russian formalism,Q742779,,,,,,school of thought,,NEW_CRITICISM
Theory of Formalism,Theory of Formalism,,,,,,,,,NEW_CRITICISM
Formalist Theory,Formalist Theory,,,,,,,,,NEW_CRITICISM
Jonathan Culler,Jonathan Culler,Q933332,,1944-10-01T00:00:00Z,86612942,118155180,United States of America,human,male,STRUCTURALISM
Culler,Jonathan Culler,Q933332,,1944-10-01T00:00:00Z,86612942,118155180,United States of America,human,male,STRUCTURALISM
Ferdinand de Saussure,Ferdinand de Saussure,Q13230,1913-02-22T00:00:00Z,1857-11-26T00:00:00Z,95158205,118605879,Switzerland,human,male,STRUCTURALISM
de Saussure,Ferdinand de Saussure,Q13230,1913-02-22T00:00:00Z,1857-11-26T00:00:00Z,95158205,118605879,Switzerland,human,male,STRUCTURALISM
Saussure,Ferdinand de Saussure,Q13230,1913-02-22T00:00:00Z,1857-11-26T00:00:00Z,95158205,118605879,Switzerland,human,male,STRUCTURALISM
Vladimir Propp,Vladimir Propp,Q313455,1970-08-22T00:00:00Z,1895-04-29T00:00:00Z,2480786,119142996,Russian Empire,human,male,STRUCTURALISM
Propp,Vladimir Propp,Q313455,1970-08-22T00:00:00Z,1895-04-29T00:00:00Z,2480786,119142996,Russian Empire,human,male,STRUCTURALISM
Roman Jakobson,Roman Jakobson,Q156201,1982-07-18T00:00:00Z,1896-10-10T00:00:00Z,59084146,118711598,Russian Empire,human,male,STRUCTURALISM
Jakobson,Roman Jakobson,Q156201,1982-07-18T00:00:00Z,1896-10-10T00:00:00Z,59084146,118711598,Russian Empire,human,male,STRUCTURALISM
Seymour Chatman,Seymour Chatman,Q2275886,2015-11-04T00:00:00Z,1928-08-30T00:00:00Z,85934589,137944985,United States of America,human,male,STRUCTURALISM
Chatman,Seymour Chatman,Q2275886,2015-11-04T00:00:00Z,1928-08-30T00:00:00Z,85934589,137944985,United States of America,human,male,STRUCTURALISM
Structuralis* narratology,Structuralis* narratology,,,,,,,,,STRUCTURALISM
Narrative Theory,Narrative Theory,,,,,,,,,STRUCTURALISM
Theory of Narration,Theory of Narration,,,,,,,,,STRUCTURALISM
Linguist* theory,Linguist* theory,,,,,,,,,STRUCTURALISM
Structuralist Theory,Structuralist Theory,,,,,,,,,STRUCTURALISM
Theory of Structuralism,Theory of Structuralism,,,,,,,,,STRUCTURALISM
Structuralist Linguistics,Structuralist Linguistics,,,,,,,,,STRUCTURALISM
Genre Theory,genre theory,Q86619995,,,,,,academic discipline,,STRUCTURALISM
Immanuel Kant,Immanuel Kant,Q9312,1804-02-12T00:00:00Z,1724-04-22T00:00:00Z,82088490,118559796,Kingdom of Prussia,human,male,RETHORICS
Kant,Kant,Q9312,1804-02-12T00:00:00Z,1724-04-22T00:00:00Z,82088490,118559796,Kingdom of Prussia,human,male,RETHORICS
Edmund Husserl,Edmund Husserl,Q58586,1938-04-27T00:00:00Z,1859-04-08T00:00:00Z,44300322,118555006,Austria,human,male,RETHORICS
Husserl,Edmund Husserl,Q58586,1938-04-27T00:00:00Z,1859-04-08T00:00:00Z,44300322,118555006,Austria,human,male,RETHORICS
Edward P. J. Corbett,Edward P. J. Corbett,Q5344726,1998-06-24T00:00:00Z,1919-10-29T00:00:00Z,33287717,138166048,United States of America,human,male,RETHORICS
Corbett,Edward P. J. Corbett,Q5344726,1998-06-24T00:00:00Z,1919-10-29T00:00:00Z,33287717,138166048,United States of America,human,male,RETHORICS
J. L. Austin,J. L. Austin,Q272615,1960-02-08T00:00:00Z,1911-03-26T00:00:00Z,49253679,11850519X,United Kingdom,human,male,RETHORICS
Richard Lanham,Richard A. Lanham,Q2175169,,1936-04-26T00:00:00Z,109013618,1022249940,United States of America,human,male,RETHORICS
Lanham,Richard A. Lanham,Q2175169,,1936-04-26T00:00:00Z,109013618,1022249940,United States of America,human,male,RETHORICS
Stanley Fish,Stanley Fish,Q303680,,1938-04-19T00:00:00Z,106246231,121312143,United States of America,human,male,RETHORICS
John Frow,John Frow,Q6234317,,1948-11-13T00:00:00Z,279338075,137011458,Australia,human,male,RETHORICS
Frow,John Frow,Q6234317,,1948-11-13T00:00:00Z,279338075,137011458,Australia,human,male,RETHORICS
Pierre Bourdieu,Pierre Bourdieu,Q156268,2002-01-23T00:00:00Z,1930-08-01T00:00:00Z,71387829,118810758,France,human,male,RETHORICS
Bourdieu,Pierre Bourdieu,Q156268,2002-01-23T00:00:00Z,1930-08-01T00:00:00Z,71387829,118810758,France,human,male,RETHORICS
Hans Georg Gadamer,Hans-Georg Gadamer,Q76356,2002-03-13T00:00:00Z,1900-02-11T00:00:00Z,108229357,118537032,Germany,human,male,RETHORICS
Gadamer,Hans-Georg Gadamer,Q76356,2002-03-13T00:00:00Z,1900-02-11T00:00:00Z,108229357,118537032,Germany,human,male,RETHORICS
Hans Robert Jauss,Hans Robert Jauss,Q61262,1997-03-01T00:00:00Z,1921-12-12T00:00:00Z,108828994,118557149,Germany,human,male,RETHORICS
Jauss,Hans Robert Jauss,Q61262,1997-03-01T00:00:00Z,1921-12-12T00:00:00Z,108828994,118557149,Germany,human,male,RETHORICS
Wolfgang Iser,Wolfgang Iser,Q60486,2007-01-24T00:00:00Z,1926-07-22T00:00:00Z,49239148,118914480,Germany,human,male,RETHORICS
Iser,Wolfgang Iser,Q60486,2007-01-24T00:00:00Z,1926-07-22T00:00:00Z,49239148,118914480,Germany,human,male,RETHORICS
Martin Heidegger,Martin Heidegger,Q48301,1976-05-26T00:00:00Z,1889-09-26T00:00:00Z,24602613,118547798,Weimar Republic,human,male,RETHORICS
Heidegger,Martin Heidegger,Q48301,1976-05-26T00:00:00Z,1889-09-26T00:00:00Z,24602613,118547798,Weimar Republic,human,male,RETHORICS
Michael Riffaterre,Michael Riffaterre,Q886469,2006-05-27T00:00:00Z,1924-11-20T00:00:00Z,108334124,119051273,United States of America,human,male,RETHORICS
Riffaterre,Michael Riffaterre,Q886469,2006-05-27T00:00:00Z,1924-11-20T00:00:00Z,108334124,119051273,United States of America,human,male,RETHORICS
David Bleich,David Bleich,Q12277791,,1940-01-01T00:00:00Z,12403433,141954914,United States of America,human,male,RETHORICS
Bleich,David Bleich,Q12277791,,1940-01-01T00:00:00Z,12403433,141954914,United States of America,human,male,RETHORICS
Rhetoric Theor*,Rhetoric Theor*,,,,,,,,,RETHORICS
Theor* of Rethorics,Theor* of Rethorics,,,,,,,,,RETHORICS
Phenomenology,Phenomenology,,,,,,,,,RETHORICS
Reader-Response Theor*,Reader-Response Theor*,,,,,,,,,RETHORICS
Reader-oriented Theor*,Reader-oriented Theor*,,,,,,,,,RETHORICS
Friedrich Nietzsche,Friedrich Nietzsche,Q9358,1900-08-25T00:00:00Z,1844-10-15T00:00:00Z,89798474,118587943,Kingdom of Prussia,human,male,POSTSTRUCTURALSIM
Nietzsche,Friedrich Nietzsche,Q9358,1900-08-25T00:00:00Z,1844-10-15T00:00:00Z,89798474,118587943,Kingdom of Prussia,human,male,POSTSTRUCTURALSIM
Michel Foucault,Michel Foucault,Q44272,1984-06-25T00:00:00Z,1926-10-15T00:00:00Z,104722665,11853453X,France,human,male,POSTSTRUCTURALSIM
Foucault,Michel Foucault,Q44272,1984-06-25T00:00:00Z,1926-10-15T00:00:00Z,104722665,11853453X,France,human,male,POSTSTRUCTURALSIM
Georges Bataille,Georges Bataille,Q207359,1962-07-09T00:00:00Z,1897-09-10T00:00:00Z,41834843,118507109,France,human,male,POSTSTRUCTURALSIM
Bataille,Georges Bataille,Q207359,1962-07-09T00:00:00Z,1897-09-10T00:00:00Z,41834843,118507109,France,human,male,POSTSTRUCTURALSIM
Jacques Derrida,Jacques Derrida,Q130631,2004-10-08T00:00:00Z,1930-07-15T00:00:00Z,88958529,118677888,France,human,male,POSTSTRUCTURALSIM
Derrida,Jacques Derrida,Q130631,2004-10-08T00:00:00Z,1930-07-15T00:00:00Z,88958529,118677888,France,human,male,POSTSTRUCTURALSIM
Barbara Johnson,Barbara Johnson,Q4859030,2009-08-27T00:00:00Z,1947-10-04T00:00:00Z,84479333,135556961,United States of America,human,female,POSTSTRUCTURALSIM
Helene Cixous,Hélène Cixous,Q234964,,1937-06-05T00:00:00Z,49223428,118871269,France,human,female,POSTSTRUCTURALSIM
Cixous,Hélène Cixous,Q234964,,1937-06-05T00:00:00Z,49223428,118871269,France,human,female,POSTSTRUCTURALSIM
Jean-Francois Lyotard,Jean-François Lyotard,Q193257,1998-04-21T00:00:00Z,1924-08-10T00:00:00Z,108393539,118575589,France,human,male,POSTSTRUCTURALSIM
Lyotard,Jean-François Lyotard,Q193257,1998-04-21T00:00:00Z,1924-08-10T00:00:00Z,108393539,118575589,France,human,male,POSTSTRUCTURALSIM
Jean Baudrillard,Jean Baudrillard,Q182847,2007-03-06T00:00:00Z,1929-07-27T00:00:00Z,24597462,118653660,France,human,male,POSTSTRUCTURALSIM
Baudrillard,Jean Baudrillard,Q182847,2007-03-06T00:00:00Z,1929-07-27T00:00:00Z,24597462,118653660,France,human,male,POSTSTRUCTURALSIM
Gilles Deleuze,Gilles Deleuze,Q184226,1995-11-04T00:00:00Z,1925-01-18T00:00:00Z,22140703,118524534,France,human,male,POSTSTRUCTURALSIM
Deleuze,Gilles Deleuze,Q184226,1995-11-04T00:00:00Z,1925-01-18T00:00:00Z,22140703,118524534,France,human,male,POSTSTRUCTURALSIM
Felix Guattari,Félix Guattari,Q352465,1992-08-29T00:00:00Z,1930-04-30T00:00:00Z,49261949,118543113,France,human,male,POSTSTRUCTURALSIM
Guattari,Félix Guattari,Q352465,1992-08-29T00:00:00Z,1930-04-30T00:00:00Z,49261949,118543113,France,human,male,POSTSTRUCTURALSIM
Roland Barthes,Roland Barthes,Q179109,1980-03-26T00:00:00Z,1915-11-12T00:00:00Z,44295060,118506862,France,human,male,POSTSTRUCTURALSIM
Barthes,Roland Barthes,Q179109,1980-03-26T00:00:00Z,1915-11-12T00:00:00Z,44295060,118506862,France,human,male,POSTSTRUCTURALSIM
Joseph Hillis Miller,J. Hillis Miller,Q4132725,2021-02-07T00:00:00Z,1928-03-05T00:00:00Z,66483274,122789784,United States of America,human,male,POSTSTRUCTURALSIM
Linda Hutcheon,Linda Hutcheon,Q4558366,,1947-08-24T00:00:00Z,101807260,136347983,Canada,human,female,POSTSTRUCTURALSIM
Hutcheon,Linda Hutcheon,Q4558366,,1947-08-24T00:00:00Z,101807260,136347983,Canada,human,female,POSTSTRUCTURALSIM
Paul de Man,Paul de Man,Q353754,1983-12-21T00:00:00Z,1919-12-06T00:00:00Z,71401431,118887203,United States of America,human,male,POSTSTRUCTURALSIM
de Man,Paul de Man,Q353754,1983-12-21T00:00:00Z,1919-12-06T00:00:00Z,71401431,118887203,United States of America,human,male,POSTSTRUCTURALSIM
Poststructural*,Poststructural*,,,,,,,,,POSTSTRUCTURALSIM
Theory of Deconstruction,Theory of Deconstruction,,,,,,,,,POSTSTRUCTURALSIM
Deconstructivism,Deconstructivism,,,,,,,,,POSTSTRUCTURALSIM
Postmodern Theor*,Postmodern Theor*,,,,,,,,,POSTSTRUCTURALSIM
Ian F. Haney Lopez,Ian Haney-López,Q16973024,,1964-07-06T00:00:00Z,15001011,,,human,male,ETHNIC_STRUCTURAL
Haney Lopez,Haney Lopez,Q16973024,,1964-07-06T00:00:00Z,15001011,,,human,male,ETHNIC_STRUCTURAL
Shelley Fisher Fishkin,Shelley Fisher Fishkin,Q41146039,,1950-05-09T00:00:00Z,61565489,1050750071,,human,female,ETHNIC_STRUCTURAL
Fishkin,Shelley Fisher Fishkin,Q41146039,,1950-05-09T00:00:00Z,61565489,1050750071,,human,female,ETHNIC_STRUCTURAL
Henry Louis Gates,"Henry Louis Gates, Jr.",Q561458,,1950-09-16T00:00:00Z,79046442,119198037,United States of America,human,male,ETHNIC_STRUCTURAL
Toni Morrison,Toni Morrison,Q72334,2019-08-05T00:00:00Z,1931-02-18T00:00:00Z,109406177,118911627,United States of America,human,female,ETHNIC_STRUCTURAL
Gloria Anzaldua,Gloria E. Anzaldúa,Q3109110,2004-05-15T00:00:00Z,1942-09-26T00:00:00Z,9863544,119419408,Mexico,human,female,ETHNIC_STRUCTURAL
Anzaldua,Gloria E. Anzaldúa,Q3109110,2004-05-15T00:00:00Z,1942-09-26T00:00:00Z,9863544,119419408,Mexico,human,female,ETHNIC_STRUCTURAL
Lisa Lowe,Lisa Lowe,Q6558207,,1955-11-03T00:00:00Z,14850181,171728386,,human,female,ETHNIC_STRUCTURAL
Lowe,Lisa Lowe,Q6558207,,1955-11-03T00:00:00Z,14850181,171728386,,human,female,ETHNIC_STRUCTURAL
Robert Dale Parker,Robert Dale Parker,Q105658876,,1953-01-01T00:00:00Z,109126998,136179266,,human,male,ETHNIC_STRUCTURAL
Ethnic Literary,Ethnic Literary,,,,,,,,,ETHNIC_STRUCTURAL
Critical Race Theory,Critical Race Theory,,,,,,,,,ETHNIC_STRUCTURAL
Dennis Walder,Dennis Walder,Q109805171,,1943-01-01T00:00:00Z,46777377,140603379,,human,male,COLONIAL_POSTCOLONIAL
Walder,Dennis Walder,Q109805171,,1943-01-01T00:00:00Z,46777377,140603379,,human,male,COLONIAL_POSTCOLONIAL
Ania Loomba,Ania Loomba,Q546061,,1955-01-01T00:00:00Z,92350545,1081794232,India,human,female,COLONIAL_POSTCOLONIAL
Loomba,Loomba,Q546061,,1955-01-01T00:00:00Z,92350545,1081794232,India,human,female,COLONIAL_POSTCOLONIAL
C.C. Eldridge,C. C Eldridge,Q104534601,,1942-05-16T00:00:00Z,12352197,170053083,United Kingdom,human,male,COLONIAL_POSTCOLONIAL
Eldridge,Eldridge,Q104534601,,1942-05-16T00:00:00Z,12352197,170053083,United Kingdom,human,male,COLONIAL_POSTCOLONIAL
Edward Said,Edward Said,Q201538,2003-09-25T00:00:00Z,1935-11-01T00:00:00Z,82539804,119174308,United States of America,human,male,COLONIAL_POSTCOLONIAL
Ngugi wa Thiong'o,Ngugi wa Thiong’o,Q302910,,1938-01-05T00:00:00Z,104717886,118587587,Kenya,human,male,COLONIAL_POSTCOLONIAL
Thiong'o,Ngugi wa Thiong’o,Q302910,,1938-01-05T00:00:00Z,104717886,118587587,Kenya,human,male,COLONIAL_POSTCOLONIAL
Edward Kamau Brathwaite,Kamau Brathwaite,Q1722859,2020-02-04T00:00:00Z,1930-05-11T00:00:00Z,113673788,119042304,Barbados,human,male,COLONIAL_POSTCOLONIAL
Brathwaite,Kamau Brathwaite,Q1722859,2020-02-04T00:00:00Z,1930-05-11T00:00:00Z,113673788,119042304,Barbados,human,male,COLONIAL_POSTCOLONIAL
Homi K. Bhabha,Homi K. Bhabha,Q325741,,1949-01-01T00:00:00Z,111325907,119556154,India,human,male,COLONIAL_POSTCOLONIAL
Bhabha,Homi K. Bhabha,Q325741,,1949-01-01T00:00:00Z,111325907,119556154,India,human,male,COLONIAL_POSTCOLONIAL
Anne McClintock,Anne McClintock,Q4768629,,1954-08-27T00:00:00Z,92109836,,Zimbabwe,human,female,COLONIAL_POSTCOLONIAL
McClintock,Anne McClintock,Q4768629,,1954-08-27T00:00:00Z,92109836,,Zimbabwe,human,female,COLONIAL_POSTCOLONIAL
Chidi Okonkwo,Chidi Okonkwo,Q109805064,,1952-01-01T00:00:00Z,117964418,,Nigeria,human,male,COLONIAL_POSTCOLONIAL
Okonkwo,Okonkwo,,,,,,,,,COLONIAL_POSTCOLONIAL
Alan Lawson,Alan Lawson,Q109805313,,,123148996003459752157,,,human,male,COLONIAL_POSTCOLONIAL
Lawson,Alan Lawson,Q109805313,,,123148996003459752157,,,human,male,COLONIAL_POSTCOLONIAL
Jamaica Kincaid,Jamaica Kincaid,Q275601,,1949-05-25T00:00:00Z,76335318,11911223X,United States of America,human,female,COLONIAL_POSTCOLONIAL
Kincaid,Jamaica Kincaid,Q275601,,1949-05-25T00:00:00Z,76335318,11911223X,United States of America,human,female,COLONIAL_POSTCOLONIAL
Gayatri Chakravorty Spivak,Gayatri Chakravorty Spivak,Q240851,,1942-02-24T00:00:00Z,109346071,11902747X,India,human,female,COLONIAL_POSTCOLONIAL
Spivak,Gayatri Chakravorty Spivak,Q240851,,1942-02-24T00:00:00Z,109346071,11902747X,India,human,female,COLONIAL_POSTCOLONIAL
Colonial Theor*,Colonial Theor*,,,,,,,,,COLONIAL_POSTCOLONIAL
Colonial Stud*,Colonial Stud*,,,,,,,,,COLONIAL_POSTCOLONIAL
Theor* of Colonial,Theor* of Colonial,,,,,,,,,COLONIAL_POSTCOLONIAL
Postcolonial Theor*,Postcolonial Theor*,,,,,,,,,COLONIAL_POSTCOLONIAL
Post-colonial Theor*,Post-colonial Theor*,,,,,,,,,COLONIAL_POSTCOLONIAL
Postcolonial Stud*,Postcolonial Stud*,,,,,,,,,COLONIAL_POSTCOLONIAL
Post-colonial Stud*,Post-colonial Stud*,,,,,,,,,COLONIAL_POSTCOLONIAL
Theor* of Postcolonial,Theor* of Postcolonial,,,,,,,,,COLONIAL_POSTCOLONIAL
Theor* of Post-colonial,Theor* of Post-colonial,,,,,,,,,COLONIAL_POSTCOLONIAL
Transnational Studies,Transnational Studies,,,,,,,,,COLONIAL_POSTCOLONIAL
Sigmund Freud,Sigmund Freud,Q9215,1939-09-23T00:00:00Z,1856-05-06T00:00:00Z,34456780,118535315,Austria-Hungary,human,male,PSYCHOANALYSIS
Freud,Sigmund Freud,Q9215,1939-09-23T00:00:00Z,1856-05-06T00:00:00Z,34456780,118535315,Austria-Hungary,human,male,PSYCHOANALYSIS
Frantz Fanon,Frantz Fanon,Q193670,1961-12-06T00:00:00Z,1925-07-20T00:00:00Z,22490,118686070,France,human,male,PSYCHOANALYSIS
Fanon,Frantz Fanon,Q193670,1961-12-06T00:00:00Z,1925-07-20T00:00:00Z,22490,118686070,France,human,male,PSYCHOANALYSIS
Nancy Chodorow,Nancy Chodorow,Q598648,,1944-01-21T00:00:00Z,51815924,121922308,United States of America,human,female,PSYCHOANALYSIS
Chodorow,Nancy Chodorow,Q598648,,1944-01-21T00:00:00Z,51815924,121922308,United States of America,human,female,PSYCHOANALYSIS
Bessel A. van der Kolk,Bessel A. van der Kolk,Q4896407,,1943-01-01T00:00:00Z,113477655,122384326,Kingdom of the Netherlands,human,male,PSYCHOANALYSIS
van der Kolk,Bessel van der Kolk,Q4896407,,1943-01-01T00:00:00Z,113477655,122384326,Kingdom of the Netherlands,human,male,PSYCHOANALYSIS
Kolk,Bessel van der Kolk,Q4896407,,1943-01-01T00:00:00Z,113477655,122384326,Kingdom of the Netherlands,human,male,PSYCHOANALYSIS
Alexander C. McFarlane,Alexander C. McFarlane,Q109805373,,,44595853,1058152491,,human,male,PSYCHOANALYSIS
McFarlane,Alexander C. McFarlane,Q109805373,,,44595853,1058152491,,human,male,PSYCHOANALYSIS
Jacques Lacan,Jacques Lacan,Q169906,1981-09-09T00:00:00Z,1901-04-13T00:00:00Z,36920510,118568507,France,human,male,PSYCHOANALYSIS
Lacan,Jacques Lacan,Q169906,1981-09-09T00:00:00Z,1901-04-13T00:00:00Z,36920510,118568507,France,human,male,PSYCHOANALYSIS
Julia Kristeva,Julia Kristeva,Q159876,,1941-06-24T00:00:00Z,108172648,118778056,France,human,female,PSYCHOANALYSIS
Kristeva,Julia Kristeva,Q159876,,1941-06-24T00:00:00Z,108172648,118778056,France,human,female,PSYCHOANALYSIS
Psychoanalytic Theor*,Psychoanalytic Theor*,,,,,,,,,PSYCHOANALYSIS
Theor* of Psychoanaly*,Theor* of Psychoanaly*,,,,,,,,,PSYCHOANALYSIS
G. W. F. Hegel,Georg Wilhelm Friedrich Hegel,Q9235,1831-11-14T00:00:00Z,1770-08-27T00:00:00Z,89774942,118547739,Germany,human,male,POLITICAL_CRITCISM
Hegel,Georg Wilhelm Friedrich Hegel,Q9235,1831-11-14T00:00:00Z,1770-08-27T00:00:00Z,89774942,118547739,Germany,human,male,POLITICAL_CRITCISM
Antonio Gramsci,Antonio Gramsci,Q83003,1937-04-27T00:00:00Z,1891-01-22T00:00:00Z,44299576,118541463,Kingdom of Italy,human,male,POLITICAL_CRITCISM
Gramsci,Antonio Gramsci,Q83003,1937-04-27T00:00:00Z,1891-01-22T00:00:00Z,44299576,118541463,Kingdom of Italy,human,male,POLITICAL_CRITCISM
Louis Althusser,Louis Althusser,Q184169,1990-10-22T00:00:00Z,1918-10-16T00:00:00Z,24596917,118502298,France,human,male,POLITICAL_CRITCISM
Althusser,Louis Althusser,Q184169,1990-10-22T00:00:00Z,1918-10-16T00:00:00Z,24596917,118502298,France,human,male,POLITICAL_CRITCISM
Pierre Macherey,Pierre Macherey,Q326897,,1938-02-17T00:00:00Z,108291115,142370789,France,human,male,POLITICAL_CRITCISM
Macherey,Pierre Macherey,Q326897,,1938-02-17T00:00:00Z,108291115,142370789,France,human,male,POLITICAL_CRITCISM
Slavoj Zizek,Slavoj Žižek,Q184750,,1949-03-21T00:00:00Z,2478493,104308281,Slovenia,human,male,POLITICAL_CRITCISM
Zizek,Slavoj Žižek,Q184750,,1949-03-21T00:00:00Z,2478493,104308281,Slovenia,human,male,POLITICAL_CRITCISM
Antonio Negri,Antonio Negri,Q310341,,1933-08-01T00:00:00Z,108238827,119063492,Italy,human,male,POLITICAL_CRITCISM
Negri,Antonio Negri,Q310341,,1933-08-01T00:00:00Z,108238827,119063492,Italy,human,male,POLITICAL_CRITCISM
Alan Sinfield,Alan Sinfield,Q2202147,2017-12-02T00:00:00Z,1941-12-17T00:00:00Z,27082932,,United Kingdom,human,male,POLITICAL_CRITCISM
Sinfield,Peter Sinfield,Q471967,,1943-12-27T00:00:00Z,274160733,134609190,United Kingdom,human,male,POLITICAL_CRITCISM
Political Criticism,Political Criticism,,,,,,,,,POLITICAL_CRITCISM
Cultural Materialism,Cultural Materialism,,,,,,,,,POLITICAL_CRITCISM
Dialecti* Theor*,Dialecti* Theor*,,,,,,,,,POLITICAL_CRITCISM
Gayle Rubin,Gayle Rubin,Q444593,,1949-01-01T00:00:00Z,19898616,180041037,United States of America,human,female,GENDER_QUEER
Judith Butler,Judith Butler,Q219368,,1956-02-24T00:00:00Z,98486723,119237873,United States of America,human,non-binary,GENDER_QUEER
Eve Kosofsky Sedgwick,Eve Kosofsky Sedgwick,Q258462,2009-04-12T00:00:00Z,1950-05-02T00:00:00Z,79051317,124897908,United States of America,human,female,GENDER_QUEER
Sedgwick,Eve Kosofsky Sedgwick,Q258462,2009-04-12T00:00:00Z,1950-05-02T00:00:00Z,79051317,124897908,United States of America,human,female,GENDER_QUEER
Michael Moon,Michael Moon,Q16732803,,,100966892,188429956,United States of America,human,male,GENDER_QUEER
Judith Halberstam,Jack Halberstam,Q433322,,1961-12-15T00:00:00Z,56760858,188482679,United States of America,human,non-binary,GENDER_QUEER
Halberstam,David Halberstam,Q467156,2007-04-23T00:00:00Z,1934-04-10T00:00:00Z,68930206,105767107,United States of America,human,male,GENDER_QUEER
Teresa de Lauretis,Teresa de Lauretis,Q292326,,1938-01-01T00:00:00Z,234270747,137804814,Italy,human,female,GENDER_QUEER
de Lauretis,Teresa de Lauretis,Q292326,,1938-01-01T00:00:00Z,234270747,137804814,Italy,human,female,GENDER_QUEER
Queer Theor*,Queer Theor*,,,,,,,,,GENDER_QUEER
Gender Theor*,Gender Theor*,,,,,,,,,GENDER_QUEER
Luce Irigaray,Luce Irigaray,Q28918,,1930-05-03T00:00:00Z,54149176,119010941,Belgium,human,female,FEMINISM
Irigaray,Luce Irigaray,Q28918,,1930-05-03T00:00:00Z,54149176,119010941,Belgium,human,female,FEMINISM
Sandra Gilbert,Sandra Gilbert,Q7416620,,1936-12-27T00:00:00Z,24683823,119162822,United States of America,human,female,FEMINISM
Susan Gubar,Susan Gubar,Q7647901,,1944-11-30T00:00:00Z,108499527,,United States of America,human,female,FEMINISM
Gubar,Susan Gubar,Q7647901,,1944-11-30T00:00:00Z,108499527,,United States of America,human,female,FEMINISM
Coppelia Kahn,Coppélia Kahn,Q58099856,,1939-01-01T00:00:00Z,108273030,,,human,female,FEMINISM
Kahn,Kahn,Q58099856,,1939-01-01T00:00:00Z,108273030,,,human,female,FEMINISM
Audre Lorde,Audre Lorde,Q463319,1992-11-17T00:00:00Z,1934-02-18T00:00:00Z,61565157,119143666,United States of America,human,female,FEMINISM
