.,query_string,normalized_string,freq
82,theory of suspensions,theory of suspensions,4
83,theory of transformational,theory of transformational,4
84,theory of verse,theory of verse ,4
85,theory of writing,theory of writing,4
86,theories of electoral,theories of electoral,3
87,theories of enunciation,theories of enunciation,3
88,theories of gender,theories of gender,3
89,theories of information,theories of information ,3
90,theories of intelligence,theories of intelligence,3
91,theories of late,theories of late,3
92,theories of modern,theories of modern,3
93,theories of multimodality,theories of multimodality,3
94,theories of structure,theories of structure,3
95,theories of textual,theories of textual,3
96,theorist of digital,theorist of digital,3
97,theorization of digital,theorization of digital,3
98,theory of .,theory of .,3
99,theory of composition,theory of composition,3
100,theory of computer,theory of computer,3
101,theory of conceptual,theory of conceptual,3
102,theory of diffusion,theory of diffusion,3
103,theory of directed,theory of directed,3
104,theory of everything,theory of everything,3
105,theory of interface,theory of interface,3
106,theory of interpretation,theory of interpretation,3
107,theory of justification,theory of justification,3
108,theory of oral-formulaic,theory of oral formulaic,3
109,theory of punctuation,theory of punctuation,3
110,theory of relativity,theory of relativity ,3
111,theory of representation,theory of representation ,3
112,theory of rhythm,theory of rhythm,3
113,theory of semantics,theory of semantics,3
114,theory of single,theory of single,3
115,theory of speech,theory of speech,3
116,theory of syntax,theory of syntax,3
117,theory of textuality,theory of textuality,3
118,theory of tonality,theory of tonality ,3
119,theory of translation,theory of translation ,3
120,theories of animal,theories of animal,2
121,theories of arts,theories of arts,2
122,theories of cognition,theories of cognition ,2
123,theories of collaborative,theories of collaborative,2
124,theories of complex,theories of complex,2
125,theories of composition,theories of composition ,2
126,theories of domain,theories of domain,2
127,theories of economic,theories of economic,2
128,theories of editorial,theories of editorial,2
129,theories of electronic,theories of electronic,2
130,theories of games,theories of games ,2
131,theories of grammar,theories of grammar,2
132,theories of history,theories of history,2
133,theories of intertextuality,theories of intertextuality,2
134,theories of learning,theories of learning ,2
135,theories of lexical,theories of lexical,2
136,theories of linked,theories of linked,2
137,theories of margins,theories of margins ,2
138,theories of mental,theories of mental,2
139,theories of morphology,theories of morphology ,2
140,theories of musical,theories of musical,2
141,theories of oral,theories of oral,2
142,theories of passions,theories of passions,2
143,theories of reader,theories of reader,2
144,theories of reading,theories of reading ,2
145,theories of relativity,theories of relativity,2
146,theories of sign,theories of sign,2
147,theories of structural,theories of structural,2
148,theories of style,theories of style,2
149,theories of subject,theories of subject,2
150,theories of tonality,theories of tonality,2
151,theorists of digital,theorists of digital,2
152,theorists of new,theorists of new,2
153,theorists of technology,theorists of technology,2
154,theorists of theatrical,theorists of theatrical,2
155,theory of (,theory of .,2
156,theory of 1817,theory of 1817,2
157,theory of 1960s,theory of 1960s,2
158,theory of action,theory of action,2
159,theory of aesthetics,theory of aesthetics ,2
160,theory of aurality,theory of aurality,2
161,theory of automata,theory of automata,2
162,theory of book,theory of book,2
163,theory of c,theory of c,2
164,theory of cognition,theory of cognition,2
165,theory of cognitive,theory of cognitive,2
166,theory of collective,theory of collective,2
167,theory of computability,theory of computability,2
168,theory of constitutes,theory of constitutes,2
169,theory of content,theory of content,2
170,theory of conversational,theory of conversational,2
171,theory of cultural,theory of cultural,2
172,theory of data,theory of data ,2
173,theory of determinants,theory of determinants,2
174,theory of domain,theory of domain ,2
175,theory of dynamic,theory of dynamic,2
176,theory of early,theory of early,2
177,theory of electromagnetism,theory of electromagnetism ,2
178,theory of english,theory of english,2
179,theory of finite,theory of finite,2
180,theory of han4-zi4,theory of han4-zi4,2
181,theory of hypermedia,theory of hypermedia,2
182,theory of hypertext,theory of hypertext ,2
183,theory of ideas,theory of ideas ,2
184,theory of indexing,theory of indexing ,2
185,theory of inexact,theory of inexact,2
186,theory of infinite,theory of infinite,2
187,theory of instruction,theory of instruction ,2
188,theory of intelligent,theory of intelligent,2
189,theory of lexicon,theory of lexicon,2
190,theory of linguistics,theory of linguistics,2
191,theory of markup,theory of markup ,2
192,theory of media,theory of media,2
193,theory of memorial,theory of memorial,2
194,theory of memory,theory of memory ,2
195,theory of meter,theory of meter ,2
196,theory of modeling,theory of modeling,2
197,theory of modes,theory of modes,2
198,theory of mt,theory of mt ,2
199,theory of multimodal,theory of multimodal,2
200,theory of musical,theory of musical,2
201,theory of mystical,theory of mystical,2
202,theory of numbers,theory of numbers ,2
203,theory of old,theory of old,2
204,theory of origin,theory of origin,2
205,theory of poetry,theory of poetry,2
206,theory of prosody,theory of prosody,2
207,theory of quests,theory of quests,2
208,theory of reading,theory of reading,2
209,theory of relational,theory of relational,2
210,theory of representational,theory of representational,2
211,theory of resulting,theory of resulting,2
212,theory of rhetorical,theory of  rhetorical,2
213,theory of scholarly,theory of scholarly,2
214,theory of semantic-pragmatic,theory of semantic-pragmatic,2
215,theory of semiotics,theory of semiotics,2
216,theory of sense,theory of sense,2
217,theory of sequence,theory of sequence,2
218,theory of si,theory of si,2
219,theory of statistical,theory of statistical,2
220,theory of strategies,theory of strategies ,2
221,theory of streaming,theory of streaming,2
222,theory of structure,theory of structure,2
223,theory of styles,theory of styles,2
224,theory of subject,theory of subject,2
225,theory of subjective,theory of subjective,2
226,theory of technology,theory of technology,2
227,theory of term,theory of term,2
228,theory of tropes,theory of tropes,2
229,theory of types,theory of types,2
230,theory of value,theory of value ,2
231,theory of vision,theory of vision ,2
232,theorem of ',theorem of ',1
233,theorems of foundations,theorems of foundations,1
234,theorems of theory,theorems of theory,1
235,theoretical of essays,theoretical of essays,1
236,theoretician of french,theoretician of french,1
237,theoreticians of bibliographic,theoreticians of bibliographic,1
238,theoreticians of literature,theoreticians of literature,1
239,theoreticians of variationist,theoreticians of variationist,1
240,theoreticizing of process,theoreticizing of process ,1
241,theories of ',theories of ',1
242,"theories of \""",theories of ',1
243,theories of affordance,theories of affordance,1
244,theories of agency,theories of agency,1
245,theories of agent,theories of agent,1
246,theories of alan,theories of alan,1
247,theories of allegory,theories of allegory ,1
248,theories of allusion,theories of allusion,1
249,theories of aurality,theories of aurality,1
250,theories of authorial,theories of authorial,1
251,theories of authorship,theories of authorship,1
252,theories of barthes,theories of barthes ,1
253,theories of behaviour,theories of behaviour,1
254,theories of brain,theories of brain,1
255,theories of calculus,theories of calculus,1
256,theories of case,theories of case ,1
257,theories of character,theories of character,1
258,theories of child,theories of child,1
259,theories of church,theories of church,1
260,theories of classical,theories of classical,1
261,theories of classification,theories of classification ,1
262,theories of cohesion,theories of cohesion,1
263,theories of comics,theories of comics,1
264,theories of communicative,theories of communicative,1
265,theories of composing,theories of composing,1
266,theories of computation,theories of computation ,1
267,theories of copy-text,theories of copy-text ,1
268,theories of counts,theories of counts,1
269,theories of critical,theories of critical,1
270,theories of crowdsourcing,theories of crowdsourcing,1
271,theories of cultural,theories of cultural,1
272,theories of curating,theories of curating,1
273,theories of currency,theories of currency,1
274,theories of dates,theories of dates,1
275,theories of david,theories of david,1
276,theories of deep,theories of deep,1
277,theories of demography,theories of demography,1
278,theories of development,theories of development,1
279,theories of diffusion,theories of diffusion,1
280,theories of discovery,theories of discovery,1
281,theories of dispersed,theories of dispersed,1
282,theories of distributed,theories of distributed,1
283,theories of document,theories of document,1
284,theories of dom,theories of dom,1
285,theories of dora,theories of dora,1
286,theories of dreams,theories of dreams,1
287,theories of e.g,theories of e.g,1
288,theories of ekphrasis,theories of ekphrasis,1
289,theories of encoding,theories of encoding,1
290,theories of epistemology,theories of epistemology ,1
291,theories of extended,theories of extended,1
292,theories of feature,theories of feature,1
293,theories of feminism,theories of feminism ,1
294,theories of finding,theories of finding,1
295,theories of foucault,theories of foucault ,1
296,theories of globalization,theories of globalization,1
297,theories of governmentality,theories of governmentality ,1
298,theories of handwriting,theories of handwriting,1
299,theories of health,theories of health,1
300,theories of humans,theories of humans,1
301,theories of hypermedia,theories of hypermedia,1
302,theories of imperfected,theories of imperfected,1
303,theories of incremental,theories of incremental,1
304,theories of inference,theories of inference,1
305,theories of influence,theories of influence,1
306,theories of interactive,theories of interactive,1
307,theories of intercultural,theories of intercultural,1
308,theories of interpretation,theories of interpretation,1
309,theories of interrelationships,theories of interrelationships,1
310,theories of intersectionality,theories of intersectionality,1
311,theories of investigator,theories of investigator,1
312,theories of jacques,theories of jacques,1
313,theories of late-18th,theories of late-18th,1
314,theories of letter,theories of letter,1
315,theories of linguistic,theories of linguistic,1
316,theories of long-run,theories of long-run,1
317,theories of long-term,theories of long-term,1
318,theories of man,theories of man,1
319,theories of mannheim,theories of mannheim ,1
320,theories of materiality,theories of materiality,1
321,theories of meanings,theories of meanings,1
322,theories of mediation,theories of mediation,1
323,theories of mid,theories of mid,1
324,theories of mind,theories of mind,1
325,theories of multimedia,theories of multimedia,1
326,theories of multiple,theories of multiple,1
327,theories of names,theories of names,1
328,theories of narratives,theories of narrative,1
329,theories of natural,theories of  natural,1
330,theories of network,theories of network,1
331,theories of neural,theories of neural,1
332,theories of new,theories of new,1
333,theories of orderly,theories of orderly,1
334,theories of party,theories of party,1
335,theories of perception,theories of perception,1
336,theories of period,theories of period,1
337,theories of personality,theories of personality,1
338,theories of phenomenological,theories of phenomenological,1
339,theories of piracy,theories of piracy,1
340,theories of play,theories of play,1
341,theories of post-structuralist,theories of post-structuralist,1
342,theories of practitioners,theories of practitioners,1
343,theories of public,theories of public,1
344,theories of punctuation,theories of punctuation,1
345,theories of quantitative,theories of quantitative,1
346,theories of rational,theories of rational,1
347,theories of readers,theories of readers,1
348,theories of recognition,theories of recognition ,1
349,theories of relevance,theories of relevance,1
350,theories of representational,theories of representational,1
351,theories of retinal,theories of retinal,1
352,theories of rhyme,theories of rhyme,1
353,theories of rhythm,theories of rhythm,1
354,theories of russian,theories of russian,1
355,theories of salvation,theories of salvation ,1
356,theories of schank,theories of schank,1
357,theories of second,theories of second,1
358,theories of secret,theories of secret,1
359,theories of semantics,theories of semantics,1
360,theories of shakespearean,theories of shakespearean,1
361,theories of similarity,theories of similarity,1
362,theories of simulating,theories of simulating,1
363,theories of skill,theories of skill,1
364,theories of so-called,theories of so-called,1
365,theories of sovereignty,theories of sovereignty,1
366,theories of spaces,theories of spaces,1
367,theories of spenserian,theories of spenserian,1
368,theories of stephen,theories of stephen,1
369,theories of stimulus,theories of stimulus,1
370,theories of storing,theories of storing,1
371,theories of stress,theories of stress,1
372,theories of stuart,theories of stuart,1
373,theories of stylistic,theories of stylistic,1
374,theories of survey,theories of survey,1
375,theories of symbolic,theories of symbolic,1
376,theories of targets,theories of targets ,1
377,theories of task,theories of task,1
378,theories of teaching,theories of teaching,1
379,theories of technological,theories of technological,1
380,theories of technology,theories of technology,1
381,theories of text-editing,theories of text-editing,1
382,theories of text-encoding,theories of text-encoding ,1
383,theories of transformational-generative,theories of transformational-generative,1
384,theories of translation,theories of translation,1
385,theories of transmission,theories of transmission,1
386,theories of truth,theories of truth,1
387,theories of tutoring,theories of tutoring ,1
388,theories of twentieth-century,theories of twentieth-century,1
389,theories of utopia,theories of utopia,1
390,theories of validity,theories of validity,1
391,theories of variety,theories of variety,1
392,theories of various,theories of various,1
393,theories of video,theories of video,1
394,theories of virality,theories of virality,1
395,theories of visual,theories of visual,1
396,theories of wittgenstein,theories of wittgenstein ,1
397,theories of word,theories of word,1
398,theories of work,theories of work,1
399,theories of world,theories of world ,1
400,theorisation of post-regional,theorisation of post-regional,1
401,theorisations of browsing,theorisations of browsing,1
402,theorisations of models,theorisations of models,1
403,"theorist of \""",theorist of ,1
404,theorist of form,theorist of form,1
405,theorist of hypertext,theorist of hypertext ,1
406,theorist of mothering,theorist of mothering,1
407,theorist of readerly,theorist of readerly,1
408,theorist of representative,theorist of representative,1
409,theorists of 1960s,theorists of 1960s,1
410,theorists of 1980s,theorists of 1980s,1
411,theorists of browsing,theorists of browsing,1
412,theorists of colloquial,theorists of colloquial ,1
413,theorists of cybernetic,theorists of cybernetic,1
414,theorists of discipline,theorists of discipline,1
415,theorists of electronic,theorists of electronic,1
416,theorists of field,theorists of field,1
417,theorists of held,theorists of held,1
418,theorists of hypermedia,theorists of hypermedia,1
419,theorists of hypertext,theorists of hypertext ,1
420,theorists of information,theorists of information ,1
421,theorists of language,theorists of language ,1
422,theorists of last,theorists of last,1
423,theorists of literature,theorists of literature,1
424,theorists of media,theorists of media,1
425,theorists of narrative,theorists of narrative,1
426,theorists of older,theorists of older ,1
427,theorists of quest,theorists of quest,1
428,theorists of text,theorists of text,1
429,theorists of tonal,theorists of tonal,1
430,theorists of transformation,theorists of transformation,1
431,theorists of twentieth-century,theorists of twentieth-century,1
432,theoriz-ers of hypertext,theorizers of hypertext,1
433,theorization of archives,theorization of archives,1
434,theorization of comics,theorization of comics,1
435,theorization of concept,theorization of concept,1
436,theorization of contingent,theorization of contingent,1
437,theorization of corpus,theorization of corpus,1
438,theorization of cybertext,theorization of cybertext,1
439,theorization of early,theorization of early,1
440,theorization of existing,theorization of existing,1
441,theorization of feminist,theorization of feminist,1
442,theorization of issues,theorization of issues,1
443,theorization of object,theorization of object,1
444,theorization of online,theorization of online,1
445,theorization of reading,theorization of reading,1
446,theorization of relationship,theorization of relationship,1
447,theorization of rule-making,theorization of rule-making,1
448,theorization of user-friendly,theorization of user-friendly,1
449,theorizations of collaboration,theorizations of collaboration,1
450,theorizations of distributed,theorizations of distributed,1
451,theorizations of postmodern,theorizations of postmodern,1
452,theorizations of relationship,theorizations of relationship,1
453,theorizations of utopia,theorizations of utopia,1
454,theorizing of 1990s,theorizing of 1990s,1
455,theorizing of avatar,theorizing of avatar,1
456,theorizing of earlier,theorizing of earlier,1
457,theorizing of higher,theorizing of higher,1
458,theorizing of late,theorizing of late,1
459,theorizing of posthuman,theorizing of posthuman,1
460,theorizing of underlying,theorizing of underlying,1
461,theory of 1940s,theory of 1940s,1
462,theory of 1965,theory of 1965,1
463,theory of accent,theory of accent,1
464,theory of acousmatics,theory of acousmatics ,1
465,theory of acquaintance,theory of acquaintance ,1
466,theory of acquisition,theory of acquisition,1
467,theory of affordance,theory of affordance,1
468,theory of algorithmic,theory of algorithmic,1
469,theory of alienation,theory of alienation,1
470,theory of allusion,theory of allusion,1
471,theory of american,theory of american,1
472,theory of analogy,theory of analogy,1
473,theory of animals,theory of animals,1
474,theory of animating,theory of animating,1
475,theory of annotation,theory of annotation ,1
476,theory of anything,theory of anything,1
477,theory of applications,theory of applications,1
478,theory of arithmetic,theory of arithmetic,1
479,theory of art,theory of art ,1
480,theory of arts,theory of arts,1
481,theory of automatic,theory of automatic,1
482,theory of ballad,theory of ballad,1
483,theory of baudrillard,theory of baudrillard ,1
484,theory of belief,theory of belief,1
485,theory of browsing,theory of browsing,1
486,theory of building,theory of building,1
487,theory of c:m,theory of c:m,1
488,theory of call,theory of call,1
489,theory of called,theory of called,1
490,theory of canonical,theory of canonical,1
491,theory of case,theory of case,1
492,theory of category,theory of category,1
493,theory of ceccato,theory of ceccato ,1
494,theory of central,theory of central,1
495,theory of change,theory of change,1
496,theory of change-point,theory of change-point,1
497,theory of characters,theory of characters,1
498,theory of christaller,theory of christaller ,1
499,theory of chronometry,theory of chronometry ,1
500,theory of class-based,theory of class-based,1
501,theory of clause,theory of clause,1
502,theory of co-creation,theory of co-creation,1
503,theory of collection,theory of collection,1
504,theory of collision,theory of collision,1
505,theory of color,theory of color,1
506,theory of colors,theory of colors,1
507,theory of comic,theory of comic,1
508,theory of communications,theory of communications,1
509,theory of community,theory of community,1
510,theory of comprehension,theory of comprehension,1
511,theory of computing,theory of computing,1
512,theory of concept,theory of concept,1
513,theory of concordance,theory of concordance,1
514,theory of concordances,theory of concordances,1
515,theory of conditions,theory of conditions,1
516,theory of conjecture,theory of conjecture,1
517,theory of consciousness,theory of consciousness,1
518,theory of conservation,theory of conservation,1
519,theory of constant-recording,theory of constant-recording,1
520,theory of contemporary,theory of contemporary,1
521,theory of context-free,theory of context-free,1
522,theory of conversation,theory of conversation ,1
523,theory of cooperative,theory of cooperative,1
524,theory of copy-text,theory of copy-text,1
525,theory of creativity,theory of creativity,1
526,theory of critical,theory of critical,1
527,theory of criticism,theory of criticism ,1
528,theory of culture,theory of culture ,1
529,theory of deliberative,theory of deliberative,1
530,theory of descriptive,theory of descriptive,1
531,theory of desire,theory of desire ,1
532,theory of development,theory of development,1
533,theory of deviant,theory of deviant,1
534,theory of deviser,theory of deviser ,1
535,theory of differential,theory of differential,1
536,theory of disruptive,theory of disruptive,1
537,theory of distant,theory of distant,1
538,theory of doctor,theory of doctor ,1
539,theory of documentation,theory of documentation ,1
540,theory of drama,theory of drama,1
541,theory of dramatic,theory of dramatic,1
542,theory of dreams,theory of dreams ,1
543,theory of dynamical,theory of dynamical,1
544,theory of ecological,theory of ecological,1
545,theory of economic-demographic,theory of economic-demographic,1
546,theory of economy,theory of economy,1
547,theory of editing,theory of editing,1
548,theory of editions,theory of editions,1
549,theory of educational,theory of educational,1
550,theory of either,theory of either,1
551,theory of elections,theory of elections,1
552,theory of embodied,theory of embodied,1
553,theory of embodiment,theory of embodiment,1
554,theory of emotions,theory of emotions,1
555,theory of enargeia,theory of enargeia,1
556,theory of engineering,theory of engineering,1
557,theory of ergodic,theory of ergodic,1
558,theory of essentially,theory of essentially,1
559,theory of evaluation,theory of evaluation,1
560,theory of event,theory of event,1
561,theory of extended,theory of extended,1
562,theory of feature,theory of feature,1
563,theory of feedback,theory of feedback,1
564,theory of fictionality,theory of fictionality,1
565,theory of field,theory of field ,1
566,theory of first-generation,theory of first-generation,1
567,theory of folktale,theory of folktale,1
568,theory of foregrounding,theory of foregrounding ,1
569,theory of formalism,theory of formalism ,1
570,theory of formalization,theory of formalization,1
571,theory of four,theory of four,1
572,theory of frame,theory of frame,1
573,theory of frequent,theory of frequent,1
574,theory of functional,theory of functional,1
575,theory of game,theory of game,1
576,theory of gaming,theory of gaming ,1
577,theory of gendered,theory of gendered,1
578,theory of genre,theory of genre ,1
579,theory of genres,theory of genres,1
580,theory of grammars,theory of grammars,1
581,theory of graphemics,theory of graphemics,1
582,theory of graphic,theory of graphic,1
583,theory of group,theory of group,1
584,theory of hardware,theory of hardware,1
585,theory of harmonious,theory of harmonious,1
586,theory of historicity,theory of historicity ,1
587,theory of humans,theory of humans,1
588,theory of humoral,theory of humoral,1
589,theory of humour,theory of humour,1
590,theory of hybrid,theory of hybrid,1
591,theory of hydraulics,theory of hydraulics,1
592,theory of hyper-circulation,theory of hyper-circulation,1
593,theory of hypertextual,theory of hypertextual,1
594,theory of ideal,theory of ideal,1
595,theory of idiolect,theory of idiolect ,1
596,theory of idiolectal,theory of idiolectal,1
597,theory of images,theory of images,1
598,theory of importance,theory of importance,1
599,theory of impossibility,theory of impossibility,1
600,theory of inclusive,theory of inclusive,1
601,theory of indices,theory of indices ,1
602,theory of indirect,theory of indirect,1
603,theory of induction,theory of induction,1
604,theory of inductive,theory of inductive,1
605,theory of inference,theory of inference,1
606,theory of influence,theory of influence,1
607,theory of innovation,theory of innovation,1
608,theory of integrative,theory of integrative,1
609,theory of intelligence,theory of intelligence,1
610,theory of interdisciplinarity,theory of interdisciplinarity,1
611,theory of invariants,theory of invariants,1
612,theory of j.j,theory of j.j,1
613,theory of javanese,theory of javanese,1
614,theory of jean,theory of jean,1
615,theory of karlsson,theory of karlsson,1
616,theory of katz,theory of katz,1
617,theory of koskenniemi,theory of koskenniemi,1
618,theory of kr,theory of kr,1
619,theory of lacan,theory of lacan,1
620,theory of languages,theory of languages,1
621,theory of langue,theory of langue,1
622,theory of learnable,theory of learnable,1
623,theory of legal,theory of legal,1
624,theory of levels,theory of levels,1
625,theory of lexis,theory of lexis,1
626,theory of light,theory of light,1
627,theory of link,theory of link,1
628,theory of liu4-shul,theory of liu4-shul,1
629,theory of man,theory of man,1
630,theory of manifested,theory of manifested,1
631,theory of manuscript,theory of manuscript,1
632,theory of matrix,theory of matrix,1
633,theory of meaningful,theory of meaningful,1
634,theory of medieval,theory of medieval,1
635,theory of medium,theory of medium,1
636,theory of metaphors,theory of metaphors ,1
637,theory of minimal,theory of minimal,1
638,theory of minimization,theory of minimization,1
639,theory of mirth,theory of mirth,1
640,theory of moderation,theory of moderation,1
641,theory of modern,theory of modern,1
642,theory of modernist,theory of modernist,1
643,theory of molecular,theory of molecular,1
644,theory of montage,theory of montage ,1
645,theory of montage-as-collision,theory of montage-as-collision ,1
646,theory of moral,theory of moral,1
647,theory of morphology,theory of morphology ,1
648,theory of motivation,theory of motivation ,1
649,theory of multimodality,theory of multimodality,1
650,theory of multistage,theory of multistage,1
651,theory of mysticism,theory of mysticism ,1
652,theory of NA,theory of .,1
653,theory of nation,theory of nation,1
654,theory of nature,theory of nature,1
655,theory of new,theory of new,1
656,theory of no-growth,theory of no-growth ,1
657,theory of nomad,theory of nomad,1
658,theory of nostalgia,theory of nostalgia,1
659,theory of number,theory of number,1
660,theory of omissions,theory of omissions,1
661,theory of one,theory of one,1
662,theory of owens,theory of owens,1
663,theory of parthood,theory of parthood ,1
664,theory of particular,theory of particular,1
665,theory of particularly,theory of particularly,1
666,theory of passion,theory of passion,1
667,theory of passions,theory of passions,1
668,theory of pauline,theory of pauline,1
669,theory of perceive,theory of perceive,1
670,theory of performalme,theory of performance,1
671,theory of performative,theory of performative,1
672,theory of phonetic,theory of phonetic,1
673,theory of phonology,theory of phonology,1
674,theory of photography,theory of photography,1
675,theory of phrase,theory of phrase,1
676,theory of pictures,theory of pictures,1
677,theory of plot,theory of plot,1
678,theory of poetics,theory of poetics,1
679,theory of political,theory of political,1
680,theory of popular,theory of popular,1
681,theory of posthuman,theory of posthuman ,1
682,theory of practice,theory of practice,1
683,theory of pragmatism,theory of pragmatism,1
684,theory of predication,theory of predication,1
685,theory of present,theory of present,1
686,theory of presidential,theory of presidential,1
687,theory of primitives,theory of primitives,1
688,theory of procedural,theory of procedural,1
689,theory of produced,theory of produced,1
690,theory of propositions,theory of propositions ,1
691,theory of psychophysical,theory of psychophysical,1
692,theory of questions,theory of questions,1
693,theory of random,theory of random,1
694,theory of reader-response,theory of reader-response,1
695,theory of reasons,theory of reasons ,1
696,theory of recursive,theory of recursive,1
697,theory of reference,theory of reference ,1
698,theory of register,theory of register,1
699,theory of regular,theory of regular ,1
700,theory of relation,theory of relation,1
701,theory of relations,theory of relations,1
702,theory of relatively,theory of relatively,1
703,theory of relevance,theory of relevance,1
704,theory of reoccupation,theory of reoccupation,1
705,theory of revolution,theory of revolution,1
706,theory of ruin-value,theory of ruin-value,1
707,theory of rumors,theory of rumors,1
708,theory of scales,theory of scales,1
709,theory of science,theory of science ,1
710,theory of sciences,theory of sciences ,1
711,theory of self-orientation,theory of self-orientation,1
712,theory of sema,theory of sema,1
713,theory of serial,theory of serial,1
714,theory of set,theory of set,1
715,theory of set-complexes,theory of set complexes,1
716,theory of sexual,theory of sexual,1
717,theory of shakespeare,theory of shakespeare,1
718,theory of shape,theory of shape,1
719,theory of sign,theory of sign,1
720,theory of skill,theory of skill,1
721,theory of smith,theory of smith,1
722,theory of so-called,theory of so-called,1
723,theory of software,theory of software,1
724,theory of solution,theory of solution,1
725,theory of soul,theory of soul ,1
726,theory of south,theory of south,1
727,theory of spanish,theory of spanish,1
728,theory of spatial,theory of spatial,1
729,theory of split,theory of split,1
730,theory of stories,theory of stories,1
731,theory of story,theory of story,1
732,theory of stratification,theory of stratification,1
733,theory of stratificational,theory of stratificational,1
734,theory of stress,theory of stress,1
735,theory of students,theory of students,1
736,theory of stylistic,theory of stylistic,1
737,theory of stylistics,theory of stylistics ,1
738,theory of subjectivity,theory of subjectivity ,1
739,theory of sublanguages,theory of sublanguages,1
740,theory of sublime,theory of sublime,1
741,theory of superiority,theory of superiority,1
742,theory of swedish,theory of swedish,1
743,theory of symbolic,theory of symbolic,1
744,theory of syntactic,theory of syntactic,1
745,theory of systems,theory of systems,1
746,theory of tei,theory of tei,1
747,theory of tei's,theory of tei's,1
748,theory of thematic,theory of thematic,1
749,theory of things,theory of things,1
750,theory of thompson,theory of thompson,1
751,theory of tona#ty,theory of tona#ty,1
752,theory of topoi,theory of topoi,1
753,theory of transformation,theory of transformation,1
754,theory of transformative,theory of transformative,1
755,theory of tutoring,theory of tutoring,1
756,theory of typographic,theory of typographic,1
757,theory of uncertainty,theory of uncertainty ,1
758,theory of understanding,theory of understanding,1
759,theory of use,theory of use,1
760,theory of validate,theory of validate,1
761,theory of values,theory of values,1
762,theory of verification,theory of verification,1
763,theory of vibrant,theory of vibrant,1
764,theory of virtue,theory of virtue,1
765,theory of visual,theory of visual,1
766,theory of visuality,theory of visuality,1
767,theory of vocabulary,theory of vocabulary ,1
768,theory of word-distribution,theory of word-distribution ,1
769,theory of word-formation,theory of word-formation ,1
770,theory of world,theory of world,1
1,theory of language ,theory of language ,9
2,theories of knowledge representation,theories of knowledge representation,8
3,theory of fuzzy sets,theory of ' fuzzy sets,6
4,theory of generalized quantifiers,theory of generalized quantifiers,6
5,theory of literature ,theory of literature ,6
6,theory of tonal music,theory of tonal music,5
7,theory of aesthetic evolution,theory of aesthetic evolution,4
8,theory of evolution ,theory of evolution ,4
9,theory of grammar ,theory of grammar ,4
