query_string,category,levsim,pageid,timestamp,snippet,wordcount
theory of performance,Network performance,0.619047619047619,5075960,2020-07-27T20:12:23Z,"Network <span class=""searchmatch"">performance</span> encompasses topics in areas such as flow control, network congestion and network bandwidth. Top 0–9 A B C D E F G H I J K L M N O",44
theory of transformational,Program transformation,0.615384615384615,30677368,2014-05-08T09:46:49Z,NA,0
theory of mind,Philosophy of mind,0.611111111111111,772259,2021-04-05T10:58:40Z,"Wikimedia Commons has media related to Philosophy <span class=""searchmatch"">of</span> <span class=""searchmatch"">mind</span>.",29
theory of representation,Theorems in representation theory,0.606060606060606,34602685,2013-02-03T21:21:39Z,NA,0
theory of literature,Logic literature,0.6,22410600,2019-09-09T05:59:48Z,"Philosophy portal <span class=""searchmatch"">Literature</span> portal",4
theory of literature,Ethics literature,0.6,6283119,2019-08-03T18:29:53Z,"<span class=""searchmatch"">Literature</span> portal",2
theory of relativity,General relativity,0.6,782202,2020-04-22T19:01:16Z,"General <span class=""searchmatch"">relativity</span> is the best known relativistic classical field <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> gravitation. Top 0–9 A B C D E F G H I J K L M N O P Q R S T U V W X Y Z",41
theory of relativity,Special relativity,0.6,1197568,2015-01-15T05:38:52Z,"Special <span class=""searchmatch"">relativity</span> is the <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> spacetime published by Albert Einstein in 1905 to resolve some difficulties involving electromagnetism.",19
theory of communication,Interpersonal communication,0.592592592592593,34562178,2016-09-12T20:16:31Z,NA,0
"theory of language ,",Philosophy of language,0.590909090909091,744038,2020-04-25T17:59:38Z,"Philosophy <span class=""searchmatch"">of</span> <span class=""searchmatch"">language</span> is the branch <span class=""searchmatch"">of</span> philosophy that studies <span class=""searchmatch"">language</span>. Its primary concerns include the nature <span class=""searchmatch"">of</span> linguistic meaning, reference, <span class=""searchmatch"">language</span> use",73
theories of literature,Logic literature,0.590909090909091,22410600,2019-09-09T05:59:48Z,"Philosophy portal <span class=""searchmatch"">Literature</span> portal",4
theories of media,Theories of history,0.578947368421053,4220365,2020-04-30T20:24:56Z,"<span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> history are <span class=""searchmatch"">theories</span> for why things happened the way they did (and possibly what that means for the future). Top 0–9 A B C D E F G H I J K",50
theory of formal languages,Theories of language,0.576923076923077,22337303,2017-11-16T16:13:15Z,"Paul Watzlawick Richard Montague Barbara Partee <span class=""searchmatch"">Theories</span> Causal <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> reference Contrast <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> meaning Contrastivism Conventionalism Cratylism",0
theory of probability,Theory of probability distributions,0.571428571428571,17990732,2016-12-08T18:32:36Z,NA,0
theories of computer,Theory of computation,0.571428571428571,3233312,2020-01-28T20:25:57Z,"theoretical <span class=""searchmatch"">computer</span> science, the <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> computation is the branch that deals with whether and how efficiently problems can be solved on a model <span class=""searchmatch"">of</span> computation",46
theories of intelligence,Game artificial intelligence,0.571428571428571,5765514,2018-01-03T20:35:48Z,NA,0
theory of composition,Atonal compositions,0.571428571428571,37784434,2013-11-05T11:56:51Z,NA,0
theory of literature,Essays about literature,0.565217391304348,33685929,2018-07-09T08:12:59Z,"Essays about <span class=""searchmatch"">literature</span>.",3
theory of electronic,Synthesizer electronics,0.565217391304348,36437273,2020-10-10T22:52:48Z,"circuitry <span class=""searchmatch"">of</span> electrophones; characteristics <span class=""searchmatch"">of</span> <span class=""searchmatch"">electronic</span> circuits used in <span class=""searchmatch"">electronic</span> music and; principles, math, or <span class=""searchmatch"">theories</span> used to engineer <span class=""searchmatch"">electronic</span> music",48
theories of information,Entropy and information,0.565217391304348,9910848,2019-12-02T04:34:39Z,"relating to entropy and <span class=""searchmatch"">information</span> in <span class=""searchmatch"">information</span> <span class=""searchmatch"">theory</span>. The lead article for this category is Entropy (<span class=""searchmatch"">information</span> <span class=""searchmatch"">theory</span>). To be distinguished from:",69
theory of electronic,Radio electronics,0.55,1474255,2021-09-03T22:26:26Z,"category is for: anything relating to internal circuitry <span class=""searchmatch"">of</span> radio equipment; characteristics <span class=""searchmatch"">of</span> <span class=""searchmatch"">electronic</span> circuits used in audio processing, impedance matching",160
theories of literature,Theories of deduction,0.545454545454545,23357224,2019-09-09T06:00:09Z,"<span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> aesthetics Epistemological <span class=""searchmatch"">theories</span> Ethical <span class=""searchmatch"">theories</span> <span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> deduction Metaphysical <span class=""searchmatch"">theories</span> Social <span class=""searchmatch"">theories</span> Philosophers Concepts Literature",2
"theory of literature ,",Logic literature,0.545454545454545,22410600,2019-09-09T05:59:48Z,"Philosophy portal <span class=""searchmatch"">Literature</span> portal",4
"theory of literature ,",Ethics literature,0.545454545454545,6283119,2019-08-03T18:29:53Z,"<span class=""searchmatch"">Literature</span> portal",2
theory of aesthetic,Concepts in aesthetics,0.545454545454545,25062829,2021-10-05T05:15:30Z,"Aesthetics is a branch <span class=""searchmatch"">of</span> philosophy dealing with the nature <span class=""searchmatch"">of</span> art, beauty, and taste, with the creation and appreciation <span class=""searchmatch"">of</span> beauty. It is more scientifically",74
theory of interpretation,Interpretation,0.541666666666667,39427145,2021-07-01T22:42:55Z,"Category:Legal <span class=""searchmatch"">interpretation</span>. For literary <span class=""searchmatch"">theory</span>, see Category:Literary <span class=""searchmatch"">theory‎</span>. For <span class=""searchmatch"">interpretation</span> (philosophy), see Category:<span class=""searchmatch"">Interpretation</span> (philosophy)‎",0
theory of natural language,Theories of language,0.538461538461538,22337303,2017-11-16T16:13:15Z,"(Definite description) Unilalianism Verification <span class=""searchmatch"">theory</span> Concepts Ambiguity Cant Linguistic relativity <span class=""searchmatch"">Language</span> Truth-bearer Proposition Use–mention distinction",0
theory of interpretation,Theories of constitutional interpretation,0.536585365853659,65601624,2020-10-16T21:41:13Z,"Law portal <span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> constitutional <span class=""searchmatch"">interpretation</span> are different ways <span class=""searchmatch"">of</span> interpreting the Constitution <span class=""searchmatch"">of</span> the United States.",17
theory of performance,Point estimation performance,0.535714285714286,29359268,2013-03-30T02:49:22Z,"This category relates to point estimation, but not to interval estimation. It includes vector- and function-valued estimates.",18
theory of games,Game theory games,0.529411764705882,51883175,2020-09-02T00:15:42Z,"This category is located at Category:Non-cooperative <span class=""searchmatch"">games</span>. Note: This category should be empty. See the instructions for more information. Administrators:",0
theory of semantic,Metatheory of science,0.523809523809524,25004257,2014-10-19T17:09:05Z,"Reductionism / Determinism Rationalism / Empiricism Received view / <span class=""searchmatch"">Semantic</span> view <span class=""searchmatch"">of</span> <span class=""searchmatch"">theories</span> Scientific realism / Anti-realism Scientific essentialism Scientific",0
theory of literature,Epistemology literature,0.521739130434783,13083243,2019-07-19T21:12:50Z,"<span class=""searchmatch"">Literature</span> portal",2
theories of literature,Epistemology literature,0.521739130434783,13083243,2019-07-19T21:12:50Z,"<span class=""searchmatch"">Literature</span> portal",2
theories of literature,Essays about literature,0.521739130434783,33685929,2018-07-09T08:12:59Z,"Essays about <span class=""searchmatch"">literature</span>.",3
theory of meaning,Theories of language,0.5,22337303,2017-11-16T16:13:15Z,"Watzlawick Richard Montague Barbara Partee <span class=""searchmatch"">Theories</span> Causal <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> reference Contrast <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">meaning</span> Contrastivism Conventionalism Cratylism Deconstruction",0
theory of linguistic,Theories of language,0.5,22337303,2017-11-16T16:13:15Z,"Direct reference <span class=""searchmatch"">theory</span> Dramatism Dynamic semantics Expressivism Inquisitive semantics <span class=""searchmatch"">Linguistic</span> determinism Mediated reference <span class=""searchmatch"">theory</span> Nominalism Non-cognitivism",0
theory of formal,Theory of cryptography,0.5,3539694,2013-03-23T14:34:47Z,"<span class=""searchmatch"">Theory</span> <span class=""searchmatch"">of</span> cryptography refers to the study <span class=""searchmatch"">of</span> cryptographic algorithms and protocols in a <span class=""searchmatch"">formal</span> framework. The two main goals <span class=""searchmatch"">of</span> the study are definitions",29
theory of statistics,Asymptotic theory (statistics),0.5,31180880,2016-11-25T09:49:52Z,NA,0
theory of statistics,U-statistics,0.5,39274925,2016-11-25T09:50:18Z,NA,0
theory of composition,Sections of gamelan compositions,0.5,5183494,2014-12-20T15:21:02Z,Indonesia portal,2
theory of authorship,Baconian theory of Shakespeare authorship,0.487804878048781,38942921,2018-04-01T17:07:26Z,"Wikimedia Commons has media related to Baconian <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> Shakespeare <span class=""searchmatch"">authorship</span>.",0
theory of authorship,Derbyite theory of Shakespeare authorship,0.487804878048781,38942920,2013-03-28T04:08:40Z,NA,0
"theory of literature , literary",Books of literary criticism,0.483870967741936,31955243,2018-07-09T08:12:58Z,"Category:Essays in <span class=""searchmatch"">literary</span> criticism Category:Books about <span class=""searchmatch"">literary</span> <span class=""searchmatch"">theory</span> Category:Works about writers",11
theory of representation,Unitary representation theory,0.482758620689655,19348955,2015-03-04T13:01:16Z,NA,0
theory of evolution,Non-Darwinian evolution,0.478260869565217,57706190,2018-12-31T21:09:41Z,NA,0
"theory of literature ,",Essays about literature,0.478260869565217,33685929,2018-07-09T08:12:59Z,"Essays about <span class=""searchmatch"">literature</span>.",3
theory of language,Programming languages,0.476190476190476,690571,2021-10-10T00:05:17Z,"individual programming <span class=""searchmatch"">languages</span>. Articles about general programming <span class=""searchmatch"">language</span> topics should be moved to Category:Programming <span class=""searchmatch"">language</span> topics. Top 0–9 A B",48
theories of language,Programming languages,0.476190476190476,690571,2021-10-10T00:05:17Z,"individual programming <span class=""searchmatch"">languages</span>. Articles about general programming <span class=""searchmatch"">language</span> topics should be moved to Category:Programming <span class=""searchmatch"">language</span> topics. Top 0–9 A B",48
theory of authorship,Marlovian theory of Shakespeare authorship,0.476190476190476,38942901,2013-08-02T04:54:48Z,NA,0
theory of authorship,Oxfordian theory of Shakespeare authorship,0.476190476190476,38942906,2013-03-28T04:06:24Z,NA,0
theory of knowledge,Metatheory of science,0.476190476190476,25004257,2014-10-19T17:09:05Z,"Paradigm Problem <span class=""searchmatch"">of</span> induction Scientific law Scientific method Scientific revolution Scientific <span class=""searchmatch"">theory</span> Testability <span class=""searchmatch"">Theory</span> choice <span class=""searchmatch"">Theory</span>-ladenness Underdetermination",0
theory of tonal music,Spectral music,0.476190476190476,10604547,2014-01-03T12:33:41Z,"Wikimedia Commons has media related to Spectral <span class=""searchmatch"">music</span>.",0
theory of models,Theory of computation,0.476190476190476,3233312,2020-01-28T20:25:57Z,"computer science, the <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> computation is the branch that deals with whether and how efficiently problems can be solved on a <span class=""searchmatch"">model</span> <span class=""searchmatch"">of</span> computation, using",46
theory of narrative ',Metanarratives,0.476190476190476,845575,2020-10-02T18:12:09Z,"A metanarrative is a grand overarching account or worldview, which is thought to give order to the historical record.",19
theory of narrative,Metanarratives,0.473684210526316,845575,2020-10-02T18:12:09Z,"A metanarrative is a grand overarching account or worldview, which is thought to give order to the historical record.",19
theories of editing,Film editing,0.473684210526316,5695592,2015-10-06T13:23:56Z,"This is a category for articles about Film <span class=""searchmatch"">editing</span>.",9
theory of games,Solved games,0.466666666666667,54606998,2017-08-15T16:16:42Z,"Articles relating to solved <span class=""searchmatch"">games</span>.",5
theory of formal languages,Philosophy of language,0.461538461538462,744038,2020-04-25T17:59:38Z,"Philosophy <span class=""searchmatch"">of</span> <span class=""searchmatch"">language</span> is the branch <span class=""searchmatch"">of</span> philosophy that studies <span class=""searchmatch"">language</span>. Its primary concerns include the nature <span class=""searchmatch"">of</span> linguistic meaning, reference, <span class=""searchmatch"">language</span> use",73
theory of signs,Theories of language,0.45,22337303,2017-11-16T16:13:15Z,"Paul Watzlawick Richard Montague Barbara Partee <span class=""searchmatch"">Theories</span> Causal <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> reference Contrast <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> meaning Contrastivism Conventionalism Cratylism",0
"theory of meaning ,",Theories of language,0.45,22337303,2017-11-16T16:13:15Z,"Watzlawick Richard Montague Barbara Partee <span class=""searchmatch"">Theories</span> Causal <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> reference Contrast <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">meaning</span> Contrastivism Conventionalism Cratylism Deconstruction",0
"theory of signs ,",Theories of language,0.45,22337303,2017-11-16T16:13:15Z,"Paul Watzlawick Richard Montague Barbara Partee <span class=""searchmatch"">Theories</span> Causal <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> reference Contrast <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> meaning Contrastivism Conventionalism Cratylism",0
theory of literary,Books of literary criticism,0.444444444444444,31955243,2018-07-09T08:12:58Z,"Category:Essays in <span class=""searchmatch"">literary</span> criticism Category:Books about <span class=""searchmatch"">literary</span> <span class=""searchmatch"">theory</span> Category:Works about writers",11
theory of games,Ninja Theory games,0.444444444444444,57753432,2018-06-24T08:13:30Z,NA,0
theories of gender,Non-binary gender,0.444444444444444,61827911,2021-04-23T05:27:05Z,"(also spelled nonbinary) is an umbrella term for <span class=""searchmatch"">gender</span> identities that are neither male nor female‍—‌identities that are outside the <span class=""searchmatch"">gender</span> binary.",25
theory of models,Quantum models,0.4375,1880678,2021-11-06T00:32:31Z,"The category <span class=""searchmatch"">of</span> quantum <span class=""searchmatch"">models</span> encompasses a variety <span class=""searchmatch"">of</span> exactly solvable problems in quantum mechanics. Each exactly solvable problem is <span class=""searchmatch"">of</span> interest for",73
"theory of literature ,",Epistemology literature,0.434782608695652,13083243,2019-07-19T21:12:50Z,"<span class=""searchmatch"">Literature</span> portal",2
theory of models,Exactly solvable models,0.434782608695652,2621841,2013-03-23T12:37:29Z,"with exactly solvable <span class=""searchmatch"">models</span> or integrable systems in physics, and specifically in statistical mechanics, quantum field <span class=""searchmatch"">theory</span> and fluid mechanics. There",55
theory of everything,Theories of gravitation,0.434782608695652,2317048,2020-10-09T22:44:15Z,"Paradigms Classical <span class=""searchmatch"">theories</span> <span class=""searchmatch"">of</span> gravitation Quantum gravity <span class=""searchmatch"">Theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">everything</span> Classical Einstein–Cartan Bimetric <span class=""searchmatch"">theories</span> Gauge <span class=""searchmatch"">theory</span> gravity Teleparallelism",0
theory of tonal music .,Spectral music,0.434782608695652,10604547,2014-01-03T12:33:41Z,"Wikimedia Commons has media related to Spectral <span class=""searchmatch"">music</span>.",0
theory of ',Theory of computation,0.428571428571429,3233312,2020-01-28T20:25:57Z,"computer science, the <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> computation is the branch that deals with whether and how efficiently problems can be solved on a model <span class=""searchmatch"">of</span> computation, using",46
"theory of language ,",Programming languages,0.428571428571429,690571,2021-10-10T00:05:17Z,"individual programming <span class=""searchmatch"">languages</span>. Articles about general programming <span class=""searchmatch"">language</span> topics should be moved to Category:Programming <span class=""searchmatch"">language</span> topics. Top 0–9 A B",48
theories of narrative,Metanarratives,0.428571428571429,845575,2020-10-02T18:12:09Z,"A metanarrative is a grand overarching account or worldview, which is thought to give order to the historical record.",19
theory of .,Theory of computation,0.428571428571429,3233312,2020-01-28T20:25:57Z,"computer science, the <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> computation is the branch that deals with whether and how efficiently problems can be solved on a model <span class=""searchmatch"">of</span> computation, using",46
theory of natural language,Philosophy of language,0.423076923076923,744038,2020-04-25T17:59:38Z,"Philosophy <span class=""searchmatch"">of</span> <span class=""searchmatch"">language</span> is the branch <span class=""searchmatch"">of</span> philosophy that studies <span class=""searchmatch"">language</span>. Its primary concerns include the nature <span class=""searchmatch"">of</span> linguistic meaning, reference, <span class=""searchmatch"">language</span> use",73
theory of authorship,Shakespeare authorship question,0.419354838709677,31868239,2021-01-05T12:23:39Z,"for adherents <span class=""searchmatch"">of</span> the various alternative-<span class=""searchmatch"">authorship</span> <span class=""searchmatch"">theories</span>—believe that Shakespeare <span class=""searchmatch"">of</span> Stratford was a front to shield the identity <span class=""searchmatch"">of</span> the real author",76
theory of authorship,Shakespeare authorship theories,0.419354838709677,38114214,2014-05-20T00:27:14Z,NA,0
theories of computer,Theoretical computer scientists,0.419354838709677,13980543,2020-04-22T19:45:01Z,"theoretical <span class=""searchmatch"">computer</span> science, including but not limited to algorithm design and analysis, computational complexity <span class=""searchmatch"">theory</span>, and computability <span class=""searchmatch"">theory</span>. Top 0–9",52
theory of computer,Theoretical computer scientists,0.419354838709677,13980543,2020-04-22T19:45:01Z,"theoretical <span class=""searchmatch"">computer</span> science, including but not limited to algorithm design and analysis, computational complexity <span class=""searchmatch"">theory</span>, and computability <span class=""searchmatch"">theory</span>. Top 0–9",52
"theory of literature , literary",Essays in literary theory,0.419354838709677,17611284,2018-07-09T08:13:06Z,"Essays in <span class=""searchmatch"">literary</span> <span class=""searchmatch"">theory</span>.",4
theory of literary,Terms in literary theory,0.416666666666667,17707884,2016-09-25T18:57:42Z,NA,0
theories of literary,Terms in literary theory,0.416666666666667,17707884,2016-09-25T18:57:42Z,NA,0
theories of intelligence,Metatheory of science,0.416666666666667,25004257,2014-10-19T17:09:05Z,"Reductionism / Determinism Rationalism / Empiricism Received view / Semantic view <span class=""searchmatch"">of</span> <span class=""searchmatch"">theories</span> Scientific realism / Anti-realism Scientific essentialism Scientific",0
theories of structure,Categories in category theory,0.413793103448276,3151376,2019-09-17T05:32:00Z,"Mathematics portal Category <span class=""searchmatch"">theory</span> is a field <span class=""searchmatch"">of</span> mathematics which deals in an abstract way with mathematical <span class=""searchmatch"">structures</span> and relationships between them",86
theories of media,Theories,0.411764705882353,1963117,2020-07-26T11:44:39Z,"A <span class=""searchmatch"">theory</span> provides an explanatory framework for some observation, and from the assumptions <span class=""searchmatch"">of</span> the explanation follows a number <span class=""searchmatch"">of</span> possible hypotheses that",36
theory of graphs,Individual graphs,0.411764705882353,19652899,2016-01-31T20:44:15Z,"category is for individual <span class=""searchmatch"">graphs</span> (in <span class=""searchmatch"">graph</span> <span class=""searchmatch"">theory</span>) sufficiently notable to be discussed in mathematics. See also Category:Parametric families <span class=""searchmatch"">of</span> <span class=""searchmatch"">graphs</span>.",22
theory of probability,Types of probability distributions,0.411764705882353,17923612,2016-12-07T21:06:10Z,"See also: Category:Systems <span class=""searchmatch"">of</span> <span class=""searchmatch"">probability</span> distributions",6
theory of probability,Tails of probability distributions,0.411764705882353,18112594,2021-04-07T15:11:16Z,"Wikimedia Commons has media related to Tails <span class=""searchmatch"">of</span> <span class=""searchmatch"">probability</span> distributions.",0
"theory of games ,",Solved games,0.411764705882353,54606998,2017-08-15T16:16:42Z,"Articles relating to solved <span class=""searchmatch"">games</span>.",5
"theory of games ,",Game theory games,0.411764705882353,51883175,2020-09-02T00:15:42Z,"This category is located at Category:Non-cooperative <span class=""searchmatch"">games</span>. Note: This category should be empty. See the instructions for more information. Administrators:",0
theory of meaning,Philosophy of language,0.409090909090909,744038,2020-04-25T17:59:38Z,"Philosophy <span class=""searchmatch"">of</span> language is the branch <span class=""searchmatch"">of</span> philosophy that studies language. Its primary concerns include the nature <span class=""searchmatch"">of</span> linguistic <span class=""searchmatch"">meaning</span>, reference, language",73
theory of linguistic,Philosophy of language,0.409090909090909,744038,2020-04-25T17:59:38Z,"Philosophy <span class=""searchmatch"">of</span> language is the branch <span class=""searchmatch"">of</span> philosophy that studies language. Its primary concerns include the nature <span class=""searchmatch"">of</span> <span class=""searchmatch"">linguistic</span> meaning, reference, language",73
theory of learning,Philosophy of language,0.409090909090909,744038,2020-04-25T17:59:38Z,"include the nature of linguistic meaning, reference, language use, language <span class=""searchmatch"">learning</span> and creation, language understanding, truth, thought and experience (to",73
theory of diffusion,Theories of aesthetics,0.409090909090909,22281589,2019-10-06T22:44:40Z,"<span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> aesthetics Epistemological <span class=""searchmatch"">theories</span> Ethical <span class=""searchmatch"">theories</span> <span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> deduction Metaphysical <span class=""searchmatch"">theories</span> Social <span class=""searchmatch"">theories</span> Philosophers Concepts Literature",2
theory of literary,Books about literary theory,0.407407407407407,31955254,2018-07-09T08:13:05Z,NA,0
theories of literary,Books of literary criticism,0.407407407407407,31955243,2018-07-09T08:12:58Z,"Category:Essays in <span class=""searchmatch"">literary</span> criticism Category:Books about <span class=""searchmatch"">literary</span> <span class=""searchmatch"">theory</span> Category:Works about writers",11
theory of narrative ',Parts of the narrative structure,0.40625,28608050,2019-02-21T08:23:57Z,"Articles about parts <span class=""searchmatch"">of</span> the <span class=""searchmatch"">narrative</span> structure.",7
theory of language,Academic programming languages,0.4,31005405,2018-04-20T17:25:14Z,"Programming <span class=""searchmatch"">languages</span> influential in computer science and programming <span class=""searchmatch"">language</span> <span class=""searchmatch"">theory</span>. Some are only widely used by computer scientists and may even lack",41
theory of literary,Essays in literary theory,0.4,17611284,2018-07-09T08:13:06Z,"Essays in <span class=""searchmatch"">literary</span> <span class=""searchmatch"">theory</span>.",4
theories of language,Academic programming languages,0.4,31005405,2018-04-20T17:25:14Z,"Programming <span class=""searchmatch"">languages</span> influential in computer science and programming <span class=""searchmatch"">language</span> <span class=""searchmatch"">theory</span>. Some are only widely used by computer scientists and may even lack",41
theory of semantic,Theories of language,0.4,22337303,2017-11-16T16:13:15Z,"Relevance <span class=""searchmatch"">theory</span> <span class=""searchmatch"">Semantic</span> externalism <span class=""searchmatch"">Semantic</span> holism Situation semantics Structuralism Supposition <span class=""searchmatch"">theory</span> Symbiosism Theological noncognitivism <span class=""searchmatch"">Theory</span> <span class=""searchmatch"">of</span> descriptions",0
"theory of evolution ,",Sociocultural evolution theory,0.4,50629666,2018-12-31T22:33:52Z,"Wikimedia Commons has media related to Sociocultural <span class=""searchmatch"">evolution</span>.",0
theory of directed,Theories of language,0.4,22337303,2017-11-16T16:13:15Z,"Partee <span class=""searchmatch"">Theories</span> Causal <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> reference Contrast <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> meaning Contrastivism Conventionalism Cratylism Deconstruction Descriptivism <span class=""searchmatch"">Direct</span> reference",0
