,ns,title,pageid,size,wordcount,snippet,timestamp,query_string
2,14.0,Category:Ethics literature,6283119.0,227.0,2.0,"<span class=""searchmatch"">Literature</span> portal",2019-08-03T18:29:53Z,theory of literature
3,14.0,Category:Epistemology literature,13083243.0,221.0,2.0,"<span class=""searchmatch"">Literature</span> portal",2019-07-19T21:12:50Z,theory of literature
4,14.0,Category:Literary criticism,733855.0,671.0,62.0,"interpretation <span class=""searchmatch"">of</span> <span class=""searchmatch"">literature</span>. Modern literary criticism is often influenced by literary <span class=""searchmatch"">theory</span>, which is the philosophical discussion <span class=""searchmatch"">of</span> <span class=""searchmatch"">literature</span>'s goals and",2021-01-05T12:52:22Z,theory of literature
5,14.0,Category:Postmodern theory,704758.0,972.0,82.0,"as an ambiguous overarching term for skeptical interpretations <span class=""searchmatch"">of</span> culture, <span class=""searchmatch"">literature</span>, art, philosophy, economics, architecture, fiction, and literary",2021-01-08T11:16:04Z,theory of literature
6,14.0,Category:Mathematics stubs,1676945.0,2765.0,192.0,"stubs: {{topology-stub}} Knot <span class=""searchmatch"">theory</span> stubs: {{knottheory-stub}} Probability stubs: {{probability-stub}} Mathematics <span class=""searchmatch"">literature</span> stubs: {{mathematics-lit-stub}}",2020-12-27T09:26:07Z,theory of literature
7,14.0,Category:Essays about literature,33685929.0,200.0,3.0,"Essays about <span class=""searchmatch"">literature</span>.",2018-07-09T08:12:59Z,theory of literature
8,14.0,Category:Logic stubs,12198154.0,490.0,214.0,"Force Philosophical <span class=""searchmatch"">Literature</span> Task Force Ethics Task Force Epistemology Task Force Philosophy <span class=""searchmatch"">of</span> Science Task Force Philosophy <span class=""searchmatch"">of</span> Language Task Force",2021-01-01T11:04:00Z,theory of literature
9,14.0,Category:Personality trait theorists,16146832.0,981.0,98.0,"influence behavior. Although trait <span class=""searchmatch"">theories</span> <span class=""searchmatch"">of</span> personality are currently the most dominant <span class=""searchmatch"">theories</span> in the personality <span class=""searchmatch"">literature</span>, it was the Greek philosopher",2019-11-01T10:58:47Z,theory of literature
0,14.0,Category:Parts of the narrative structure,28608050.0,226.0,7.0,"Articles about parts <span class=""searchmatch"">of</span> the <span class=""searchmatch"">narrative</span> structure.",2019-02-21T08:23:57Z,theory of narrative
1,14.0,Category:Creationism,919511.0,1850.0,190.0,"specific acts <span class=""searchmatch"">of</span> divine creation.&quot; For young Earth creationists, this includes a biblical literalist interpretation <span class=""searchmatch"">of</span> the Genesis creation <span class=""searchmatch"">narrative</span> and the",2021-11-15T06:56:07Z,theory of narrative
2,14.0,Category:Creationists,1529210.0,1677.0,190.0,"specific acts <span class=""searchmatch"">of</span> divine creation. For young Earth creationists, this includes a biblical literalist interpretation <span class=""searchmatch"">of</span> the Genesis creation <span class=""searchmatch"">narrative</span> and the",2021-10-03T13:50:27Z,theory of narrative
3,14.0,Category:Romance (genre),28355653.0,365.0,27.0,"or chivalric romance is a style <span class=""searchmatch"">of</span> heroic prose and verse <span class=""searchmatch"">narrative</span> that was popular in the aristocratic circles <span class=""searchmatch"">of</span> High Medieval and Early Modern Europe",2019-05-17T11:41:48Z,theory of narrative
4,14.0,Category:Metanarratives,845575.0,302.0,19.0,"A metanarrative is a grand overarching account or worldview, which is thought to give order to the historical record.",2020-10-02T18:12:09Z,theory of narrative
5,14.0,Category:Psychotherapy,964972.0,428.0,40.0,"Psychotherapy is a set <span class=""searchmatch"">of</span> techniques believed to cure or to help solve behavioral and other psychological problems in humans. The common part <span class=""searchmatch"">of</span> these techniques",2021-11-28T22:17:17Z,theory of narrative
6,14.0,Category:Poetic form,696979.0,169.0,29.0,Top 0–9 A B C D E F G H I J K L M N O P Q R S T U V W X Y Z,2020-05-06T19:23:43Z,theory of narrative
7,14.0,Category:Psychological trauma interventions,53288610.0,654.0,19.0,"There are a number <span class=""searchmatch"">of</span> Interventions intended for clients who have experienced psychological trauma. See also Category:Stress-related disorders",2021-11-28T22:13:34Z,theory of narrative
0,14.0,Category:Meaning–text theory,34757602.0,189.0,24.0,"<span class=""searchmatch"">Meaning</span>–text <span class=""searchmatch"">theory</span> is a linguistic <span class=""searchmatch"">theory</span> originating in the 1960s in Russia. It has mainly been promoted in the West by Igor Mel’čuk.",2014-08-27T10:46:57Z,theory of meaning
1,14.0,Category:Functionalism (social theory),36599442.0,228.0,21.0,"This category is for all social <span class=""searchmatch"">theories</span> and theorists related to functionalism. For other <span class=""searchmatch"">meanings</span> <span class=""searchmatch"">of</span> the word, see Functionalism (disambiguation).",2019-10-24T21:17:28Z,theory of meaning
2,14.0,Category:Social constructionism,4228486.0,836.0,54.0,"form the basis for shared assumptions about reality. The <span class=""searchmatch"">theory</span> centers on the notion that <span class=""searchmatch"">meanings</span> are developed in coordination with others rather than",2021-09-27T08:07:59Z,theory of meaning
3,14.0,Category:Mathematical logic,693685.0,993.0,143.0,"has several <span class=""searchmatch"">meanings</span> in common usage. It originally referred to symbolic or formal logic, and then came to be associated with the study <span class=""searchmatch"">of</span> the logical",2020-04-22T19:22:12Z,theory of meaning
4,14.0,Category:Philosophy of language,744038.0,730.0,73.0,"Philosophy <span class=""searchmatch"">of</span> language is the branch <span class=""searchmatch"">of</span> philosophy that studies language. Its primary concerns include the nature <span class=""searchmatch"">of</span> linguistic <span class=""searchmatch"">meaning</span>, reference, language",2020-04-25T17:59:38Z,theory of meaning
5,14.0,Category:Theories of language,22337303.0,120.0,0.0,"Watzlawick Richard Montague Barbara Partee <span class=""searchmatch"">Theories</span> Causal <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> reference Contrast <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">meaning</span> Contrastivism Conventionalism Cratylism Deconstruction",2017-11-16T16:13:15Z,theory of meaning
6,14.0,Category:Logic,693678.0,577.0,51.0,"has a variety <span class=""searchmatch"">of</span> <span class=""searchmatch"">meanings</span> including word, thought, idea, argument, account, reason or principle) is the study <span class=""searchmatch"">of</span> reasoning, or the study <span class=""searchmatch"">of</span> the principles",2021-12-01T02:37:30Z,theory of meaning
7,14.0,Category:Deconstruction,733405.0,624.0,27.0,"the relationship between text and <span class=""searchmatch"">meaning</span>. Jacques Derrida's 1967 work <span class=""searchmatch"">Of</span> Grammatology introduced the majority <span class=""searchmatch"">of</span> ideas influential within deconstruction",2016-08-28T05:01:21Z,theory of meaning
0,14.0,Category:Set theory,693646.0,1016.0,161.0,"Mathematics portal Set <span class=""searchmatch"">theory</span> is any <span class=""searchmatch"">of</span> a number <span class=""searchmatch"">of</span> subtly different things in mathematics: Naive set <span class=""searchmatch"">theory</span> is the original set <span class=""searchmatch"">theory</span> developed by mathematicians",2020-04-22T19:22:50Z,theory of .
1,14.0,Category:Critics of the Christ myth theory,55606186.0,145.0,13.0,"This category includes authors and scholars who have criticized the Christ myth <span class=""searchmatch"">theory</span>.",2017-10-23T19:52:43Z,theory of .
2,14.0,Category:Number theory,693745.0,682.0,125.0,"Traditionally, number <span class=""searchmatch"">theory</span> is the branch <span class=""searchmatch"">of</span> mathematics concerned with the properties <span class=""searchmatch"">of</span> integers and many <span class=""searchmatch"">of</span> its open problems are easily understood",2020-04-25T19:13:57Z,theory of .
3,14.0,Category:Theory of computation,3233312.0,465.0,46.0,"computer science, the <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> computation is the branch that deals with whether and how efficiently problems can be solved on a model <span class=""searchmatch"">of</span> computation, using",2020-01-28T20:25:57Z,theory of .
4,14.0,Category:Computability theory,30870610.0,615.0,94.0,"computability <span class=""searchmatch"">theory</span>, also known as recursion <span class=""searchmatch"">theory</span>, a branch <span class=""searchmatch"">of</span> mathematical logic and computer science concerned with generalizations <span class=""searchmatch"">of</span> the notion <span class=""searchmatch"">of</span> computable",2021-05-04T05:02:20Z,theory of .
5,14.0,Category:Category theory,695968.0,340.0,50.0,"Mathematics portal Category <span class=""searchmatch"">theory</span> is a mathematical <span class=""searchmatch"">theory</span> that deals in an abstract way with mathematical structures and relationships between them",2021-02-08T12:15:49Z,theory of .
6,14.0,Category:Graph theory,691898.0,1075.0,146.0,"Mathematics portal Graph <span class=""searchmatch"">theory</span> is the branch <span class=""searchmatch"">of</span> mathematics that examines the properties <span class=""searchmatch"">of</span> mathematical graphs. See glossary <span class=""searchmatch"">of</span> graph <span class=""searchmatch"">theory</span> for common terms",2021-08-26T18:06:47Z,theory of .
7,14.0,Category:Model theory,693979.0,550.0,71.0,"mathematics, model <span class=""searchmatch"">theory</span> is the study <span class=""searchmatch"">of</span> (classes <span class=""searchmatch"">of</span>) mathematical structures such as groups, fields, graphs or even models <span class=""searchmatch"">of</span> set <span class=""searchmatch"">theory</span> using tools from",2020-04-22T19:22:34Z,theory of .
8,14.0,Category:Organizational theory,1030978.0,553.0,50.0,"pursue collective goals. <span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> organizations include rational system perspective, division <span class=""searchmatch"">of</span> labor, bureaucratic <span class=""searchmatch"">theory</span>, and contingency <span class=""searchmatch"">theory</span>.",2020-12-31T18:12:12Z,theory of .
9,14.0,Category:Fringe theory,24080755.0,693.0,89.0,"A fringe <span class=""searchmatch"">theory</span> is an idea or a collection <span class=""searchmatch"">of</span> ideas that departs significantly from the prevailing or mainstream view. It can include work done to the",2018-01-14T16:08:10Z,theory of .
0,14.0,Category:Meaning–text theory,34757602.0,189.0,24.0,"Meaning–<span class=""searchmatch"">text</span> <span class=""searchmatch"">theory</span> is a linguistic <span class=""searchmatch"">theory</span> originating in the 1960s in Russia. It has mainly been promoted in the West by Igor Mel’čuk.",2014-08-27T10:46:57Z,theory of text
1,14.0,Category:WikiProject Game theory participants,19079865.0,12081.0,1415.0,"Wikiquote <span class=""searchmatch"">Texts</span> from Wikisource Textbooks from Wikibooks Resources from Wikiversity This category comprises the user pages <span class=""searchmatch"">of</span> WikiProject Game <span class=""searchmatch"">theory</span> participants",2021-08-01T19:06:59Z,theory of text
2,14.0,Category:Wikipedians interested in game theory,55006807.0,940.0,66.0,"Wikiquote <span class=""searchmatch"">Texts</span> from Wikisource Textbooks from Wikibooks Resources from Wikiversity This user interest category comprises the user pages <span class=""searchmatch"">of</span> Wikipedia",2018-02-13T18:38:01Z,theory of text
3,14.0,Category:Additive number theory,20902687.0,221.0,17.0,"Additive number <span class=""searchmatch"">theory</span> is the branch <span class=""searchmatch"">of</span> number <span class=""searchmatch"">theory</span> that studies ways to represent numbers as sums.",2013-03-27T04:38:09Z,theory of text
4,14.0,Category:The Juliana Theory members,59273456.0,506.0,10.0,"Members <span class=""searchmatch"">of</span> the American alternative rock band The Juliana <span class=""searchmatch"">Theory</span>.",2021-11-09T01:02:16Z,theory of text
5,14.0,Category:Pastafarian Wikipedians,18105867.0,1651.0,101.0,"This category consists <span class=""searchmatch"">of</span> Wikipedians who believe in the <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> the Flying Spaghetti Monster, and who believe that if intelligent design is taught",2020-07-27T10:41:52Z,theory of text
6,14.0,Category:Wikipedians interested in numbers,54959566.0,815.0,67.0,"Wikiquote <span class=""searchmatch"">Texts</span> from Wikisource Textbooks from Wikibooks Resources from Wikiversity This user interest category comprises the user pages <span class=""searchmatch"">of</span> Wikipedia",2018-02-13T18:19:15Z,theory of text
7,14.0,Category:Literary theory,3101549.0,192.0,0.0,"Wikimedia Commons has media related to Literary <span class=""searchmatch"">theory</span>.",2021-07-01T22:43:52Z,theory of text
8,14.0,Category:Disciples of Gautama Buddha,32322574.0,203.0,0.0,"Yasa Key concepts Avidyā (Ignorance) Bardo Bodhicitta Buddha-nature Dhamma <span class=""searchmatch"">theory</span> Dharma Enlightenment Five hindrances Indriya Karma Kleshas Mental factors",2021-04-18T09:54:38Z,theory of text
9,14.0,Category:Deconstruction,733405.0,624.0,27.0,"with the relationship between <span class=""searchmatch"">text</span> and meaning. Jacques Derrida's 1967 work <span class=""searchmatch"">Of</span> Grammatology introduced the majority <span class=""searchmatch"">of</span> ideas influential within deconstruction",2016-08-28T05:01:21Z,theory of text
0,14.0,Category:Meaning–text theory,34757602.0,189.0,24.0,"Meaning–<span class=""searchmatch"">text</span> <span class=""searchmatch"">theory</span> is a linguistic <span class=""searchmatch"">theory</span> originating in the 1960s in Russia. It has mainly been promoted in the West by Igor Mel’čuk.",2014-08-27T10:46:57Z,theories of text
1,14.0,Category:WikiProject Game theory participants,19079865.0,12081.0,1415.0,"Wikiquote <span class=""searchmatch"">Texts</span> from Wikisource Textbooks from Wikibooks Resources from Wikiversity This category comprises the user pages <span class=""searchmatch"">of</span> WikiProject Game <span class=""searchmatch"">theory</span> participants",2021-08-01T19:06:59Z,theories of text
2,14.0,Category:Wikipedians interested in game theory,55006807.0,940.0,66.0,"Wikiquote <span class=""searchmatch"">Texts</span> from Wikisource Textbooks from Wikibooks Resources from Wikiversity This user interest category comprises the user pages <span class=""searchmatch"">of</span> Wikipedia",2018-02-13T18:38:01Z,theories of text
3,14.0,Category:Additive number theory,20902687.0,221.0,17.0,"Additive number <span class=""searchmatch"">theory</span> is the branch <span class=""searchmatch"">of</span> number <span class=""searchmatch"">theory</span> that studies ways to represent numbers as sums.",2013-03-27T04:38:09Z,theories of text
4,14.0,Category:Pastafarian Wikipedians,18105867.0,1651.0,101.0,"This category consists <span class=""searchmatch"">of</span> Wikipedians who believe in the <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> the Flying Spaghetti Monster, and who believe that if intelligent design is taught",2020-07-27T10:41:52Z,theories of text
5,14.0,Category:The Juliana Theory members,59273456.0,506.0,10.0,"Members <span class=""searchmatch"">of</span> the American alternative rock band The Juliana <span class=""searchmatch"">Theory</span>.",2021-11-09T01:02:16Z,theories of text
6,14.0,Category:Wikipedians interested in numbers,54959566.0,815.0,67.0,"Wikiquote <span class=""searchmatch"">Texts</span> from Wikisource Textbooks from Wikibooks Resources from Wikiversity This user interest category comprises the user pages <span class=""searchmatch"">of</span> Wikipedia",2018-02-13T18:19:15Z,theories of text
7,14.0,Category:Giordano Bruno,35686199.0,1070.0,54.0,"Dominican friar, philosopher, mathematician and astronomer. His cosmological <span class=""searchmatch"">theories</span> went beyond the Copernican model in proposing that the Sun was essentially",2021-05-24T14:29:21Z,theories of text
8,14.0,Category:Literary theory,3101549.0,192.0,0.0,"Wikimedia Commons has media related to Literary <span class=""searchmatch"">theory</span>.",2021-07-01T22:43:52Z,theories of text
9,14.0,Category:Disciples of Gautama Buddha,32322574.0,203.0,0.0,"Songtsen Gampo Emperor Wen <span class=""searchmatch"">of</span> Sui Dalai Lama Panchen Lama Karmapa Shamarpa Naropa Xuanzang Zhiyi <span class=""searchmatch"">Texts</span> Early Buddhist <span class=""searchmatch"">Texts</span> Tripiṭaka Mahayana sutras Pāli",2021-04-18T09:54:38Z,theories of text
0,14.0,Category:Essays in literary theory,17611284.0,126.0,4.0,"Essays in <span class=""searchmatch"">literary</span> <span class=""searchmatch"">theory</span>.",2018-07-09T08:13:06Z,theory of ' literary
1,14.0,Category:Literary criticism,733855.0,671.0,62.0,"to <span class=""searchmatch"">literary</span> criticism, the study, evaluation, and interpretation <span class=""searchmatch"">of</span> literature. Modern <span class=""searchmatch"">literary</span> criticism is often influenced by <span class=""searchmatch"">literary</span> <span class=""searchmatch"">theory</span>, which",2021-01-05T12:52:22Z,theory of ' literary
2,14.0,Category:Books of literary criticism,31955243.0,227.0,11.0,"Category:Essays in <span class=""searchmatch"">literary</span> criticism Category:Books about <span class=""searchmatch"">literary</span> <span class=""searchmatch"">theory</span> Category:Works about writers",2018-07-09T08:12:58Z,theory of ' literary
3,14.0,Category:Essays in literary criticism,17724904.0,190.0,8.0,"Category:Books <span class=""searchmatch"">of</span> <span class=""searchmatch"">literary</span> criticism Category:Essays in <span class=""searchmatch"">literary</span> <span class=""searchmatch"">theory</span>",2021-04-17T17:42:50Z,theory of ' literary
4,14.0,Category:Postmodern theory,704758.0,972.0,82.0,"for skeptical interpretations <span class=""searchmatch"">of</span> culture, literature, art, philosophy, economics, architecture, fiction, and <span class=""searchmatch"">literary</span> criticism. It is often associated",2021-01-08T11:16:04Z,theory of ' literary
5,14.0,Category:Biblical studies organizations,57907459.0,576.0,55.0,"academic application <span class=""searchmatch"">of</span> a set <span class=""searchmatch"">of</span> diverse disciplines to the study <span class=""searchmatch"">of</span> the Bible (the Tanakh and the New Testament). For its <span class=""searchmatch"">theory</span> and methods, the field",2021-04-03T09:25:28Z,theory of ' literary
6,14.0,Category:French biblical scholars,30605592.0,454.0,41.0,"French scholars in the field <span class=""searchmatch"">of</span> biblical studies. For its <span class=""searchmatch"">theory</span> and methods, the field draws on disciplines ranging from archaeology, ancient history",2019-11-08T13:01:31Z,theory of ' literary
7,14.0,Category:Literary theory,3101549.0,192.0,0.0,"Wikimedia Commons has media related to <span class=""searchmatch"">Literary</span> <span class=""searchmatch"">theory</span>.",2021-07-01T22:43:52Z,theory of ' literary
8,14.0,Category:Terms in literary theory,17707884.0,62.0,0.0,,2016-09-25T18:57:42Z,theory of ' literary
9,14.0,Category:Books about literary theory,31955254.0,178.0,0.0,,2018-07-09T08:13:05Z,theory of ' literary
0,14.0,Category:Grammar frameworks,1761683.0,213.0,11.0,"These <span class=""searchmatch"">theories</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">grammar</span> are used to describe natural (human) languages.",2017-02-23T20:36:00Z,theory of grammar
1,14.0,"Category:Military science, technology, and theory articles needing attention to grammar",25703537.0,91.0,86.0,"the Military science, technology, and <span class=""searchmatch"">theory</span> task force which have been marked as needing attention to <span class=""searchmatch"">grammar</span> (B-Class criterion #4). Articles are automatically",2016-06-21T14:04:00Z,theory of grammar
2,14.0,Category:Generative linguistics,3377325.0,288.0,24.0,"Generative linguistics is a school <span class=""searchmatch"">of</span> linguistics started by Noam Chomsky in the late 1950s. This category contains articles on <span class=""searchmatch"">theories</span> within this school.",2021-02-03T09:16:14Z,theory of grammar
0,14.0,Category:Biblical studies organizations,57907459.0,576.0,55.0,"archaeology, ancient history, historical criticism, cultural anthropology, <span class=""searchmatch"">textual</span> criticism, literary criticism, historical backgrounds, mythology, and comparative",2021-04-03T09:25:28Z,theory of textual
1,14.0,Category:French biblical scholars,30605592.0,454.0,41.0,"French scholars in the field <span class=""searchmatch"">of</span> biblical studies. For its <span class=""searchmatch"">theory</span> and methods, the field draws on disciplines ranging from archaeology, ancient history",2019-11-08T13:01:31Z,theory of textual
0,14.0,Category:Communication theorists,22048965.0,220.0,15.0,"This category includes all scientists who explore the <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span>. See also: Category:Mass media theorists",2020-05-22T05:49:50Z,theory of communication
1,14.0,Category:Information theory,694025.0,597.0,43.0,"Articles relating to information <span class=""searchmatch"">theory</span>, which studies the quantification, storage, and <span class=""searchmatch"">communication</span> <span class=""searchmatch"">of</span> information. Top 0–9 A B C D E F G H I J K L",2020-12-13T00:23:18Z,theory of communication
2,14.0,Category:WikiProject Game theory participants,19079865.0,12081.0,1415.0,"and there. Khamsin - I'm actually one <span class=""searchmatch"">of</span> Pete.Hurd's graduate students, studying game <span class=""searchmatch"">theory</span> models <span class=""searchmatch"">of</span> <span class=""searchmatch"">communication</span>. MegamanZero I am a Junior in High school",2021-08-01T19:06:59Z,theory of communication
3,14.0,Category:Social constructionism,4228486.0,836.0,54.0,"constructionism, a <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> knowledge in sociology and <span class=""searchmatch"">communication</span> <span class=""searchmatch"">theory</span> that examines the development <span class=""searchmatch"">of</span> jointly-constructed understandings <span class=""searchmatch"">of</span> the world that",2021-09-27T08:07:59Z,theory of communication
4,14.0,Category:Communication theory,1527661.0,260.0,29.0,Top 0–9 A B C D E F G H I J K L M N O P Q R S T U V W X Y Z,2020-04-25T16:42:54Z,theory of communication
5,14.0,Category:Philosophy of language,744038.0,730.0,73.0,"truth, thought and experience (to the extent that both are linguistic), <span class=""searchmatch"">communication</span>, interpretation, and translation. Top 0–9 A B C D E F G H I J K L M",2020-04-25T17:59:38Z,theory of communication
6,14.0,Category:International Digital Organization for Scientific Information academic journals,60717401.0,1581.0,163.0,"and Predatory Practices: A Dilemma for All Stakeholders <span class=""searchmatch"">of</span> Science <span class=""searchmatch"">Communication</span>&quot;. Journal <span class=""searchmatch"">of</span> Korean Medical Science. 30 (8): 1010–1016. doi:10.3346/jkms",2021-01-19T00:45:13Z,theory of communication
7,14.0,Category:Interpersonal communication,34562178.0,163.0,0.0,,2016-09-12T20:16:31Z,theory of communication
8,14.0,Category:Mass media scholars,22597433.0,374.0,29.0,"researchers, scholars, or academics whose works have made notable contributions towards one or more fields (criticism, history, <span class=""searchmatch"">theory</span>, etc.) in media studies.",2021-05-22T21:46:39Z,theory of communication
9,14.0,Category:Radio electronics,1474255.0,1290.0,160.0,"pieces <span class=""searchmatch"">of</span> equipment used in radio communications networks, consider Category:Wireless. For example, articles about blocking and traffic <span class=""searchmatch"">theory</span> used in",2021-09-03T22:26:26Z,theory of communication
0,14.0,Category:Economy,47397287.0,931.0,73.0,"that emphasize the practices, <span class=""searchmatch"">discourses</span>, and material expressions associated with the production, use, and management <span class=""searchmatch"">of</span> resources'. James, Paul; with",2021-08-04T09:54:58Z,theory of discourse
1,14.0,Category:Anti-intellectualism,8862983.0,871.0,83.0,"<span class=""searchmatch"">of</span> common folk—populists against political and academic elitism—and tend to see educated people as a status class that dominates political <span class=""searchmatch"">discourse</span> and",2021-05-12T05:35:53Z,theory of discourse
0,14.0,Category:Military theory,14872290.0,495.0,53.0,"military <span class=""searchmatch"">theory</span>, the analysis <span class=""searchmatch"">of</span> normative behavior and trends in military affairs and military history, beyond simply describing events in war. <span class=""searchmatch"">Theories</span> and",2021-07-29T17:54:23Z,theory of human
1,14.0,Category:Social learning theory,16162632.0,483.0,50.0,"Social learning <span class=""searchmatch"">theory</span> is a <span class=""searchmatch"">theory</span> to explain how people (or animals) learn behavior. People may learn through observing and consequently copy others'",2018-12-31T21:29:54Z,theory of human
2,14.0,Category:Social philosophy,771308.0,749.0,100.0,"to the development <span class=""searchmatch"">of</span> novel theoretical frameworks, from social ontology to care ethics to cosmopolitan <span class=""searchmatch"">theories</span> <span class=""searchmatch"">of</span> democracy, <span class=""searchmatch"">human</span> rights, gender equity",2021-09-11T21:52:22Z,theory of human
3,14.0,Category:Solar System dynamic theories,10772136.0,425.0,44.0,"<span class=""searchmatch"">theories</span> about Solar System bodies, their formation, and other important, mostly cataclysmic, events that deeply affected the orbits and surfaces <span class=""searchmatch"">of</span> the",2020-12-24T01:04:44Z,theory of human
4,14.0,Category:Creationism,919511.0,1850.0,190.0,"the Genesis creation narrative and the rejection <span class=""searchmatch"">of</span> the scientific <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> evolution. As the history <span class=""searchmatch"">of</span> evolutionary thought developed from the 18th century",2021-11-15T06:56:07Z,theory of human
5,14.0,Category:Popular psychology,1056200.0,378.0,58.0,"The term popular psychology refers to concepts and <span class=""searchmatch"">theories</span> about <span class=""searchmatch"">human</span> mental life and behaviour that are purportedly based on psychology and that attain",2020-12-04T06:30:43Z,theory of human
6,14.0,Category:Patriot movement,58166043.0,1638.0,77.0,"2001). The Age <span class=""searchmatch"">of</span> Anxiety: Conspiracy <span class=""searchmatch"">Theory</span> and the <span class=""searchmatch"">Human</span> Sciences. Wiley. ISBN 9780631231684 – via Google Books. &quot;Key Events and Crimes <span class=""searchmatch"">of</span> the Patriot",2021-12-01T20:37:48Z,theory of human
7,14.0,Category:Creationists,1529210.0,1677.0,190.0,"the Genesis creation narrative and the rejection <span class=""searchmatch"">of</span> the scientific <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> evolution. As the history <span class=""searchmatch"">of</span> evolutionary thought developed from the 18th century",2021-10-03T13:50:27Z,theory of human
8,14.0,Category:Esoteric anthropogenesis,4111953.0,989.0,98.0,"The occult history <span class=""searchmatch"">of</span> <span class=""searchmatch"">human</span> evolution according to esoteric knowledge presented in the philosophies <span class=""searchmatch"">of</span> H.P. Blavatsky, Rudolf Steiner and Max Heindel",2020-07-19T22:19:08Z,theory of human
9,14.0,Category:Applied psychology,1061365.0,816.0,63.0,"Applied psychology is the use <span class=""searchmatch"">of</span> psychological principles and <span class=""searchmatch"">theories</span> to overcome problems in other areas, such as mental health, business management",2019-10-19T10:12:40Z,theory of human
