...1,ns,title,pageid,size,wordcount,snippet,timestamp,query_string,category,jac,lev
0,14,Category:Information theory,694025,597,43,"Articles relating to <span class=""searchmatch"">information</span> <span class=""searchmatch"">theory</span>, which studies the quantification, storage, and communication <span class=""searchmatch"">of</span> <span class=""searchmatch"">information</span>. Top 0–9 A B C D E F G H I J K L",2020-12-13T00:23:18Z,theory of information,Information theory,0.4782608695652174,17
1,14,Category:Quantum information theory,1159516,424,29,"Quantum <span class=""searchmatch"">information</span> <span class=""searchmatch"">theory</span> is a generalization <span class=""searchmatch"">of</span> classical <span class=""searchmatch"">information</span> <span class=""searchmatch"">theory</span> to use quantum-mechanical particles and interference. It is used in the",2013-03-29T05:31:28Z,theory of information,Quantum information theory,0.5172413793103448,16
0,14,Category:Theory of mind,22332699,217,29,"Wikimedia Commons has media related to <span class=""searchmatch"">Theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">mind</span>.",2020-04-23T15:51:39Z,theory of mind,Theory of mind,0.15384615384615385,1
1,14,Category:Theories of mind,52090732,45,0,"This category is located at Category:<span class=""searchmatch"">Theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">mind</span>. Note: This category should be empty. See the instructions for more information. Administrators: If",2016-10-25T08:50:52Z,theory of mind,Theories of mind,0.5555555555555556,4
1,14,Category:Theory of probability distributions,17990732,40,0,NA,2016-12-08T18:32:36Z,theory of probability,Theory of probability distributions,0.47058823529411764,15
8,14,Category:Probability theory,693985,127,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Probability</span> <span class=""searchmatch"">theory</span>.",2016-12-15T07:10:08Z,theory of probability,Probability theory,0.4782608695652174,18
0,14,Category:Theory of computation,3233312,465,46,"computation, using an algorithm. The field is divided into three major branches: automata <span class=""searchmatch"">theory</span>, computability <span class=""searchmatch"">theory</span> and <span class=""searchmatch"">computational</span> complexity <span class=""searchmatch"">theory</span>.",2020-01-28T20:25:57Z,theory of computational,Theory of computation,0.18181818181818177,3
6,14,Category:Models of computation,31036668,435,48,"The category <span class=""searchmatch"">of</span> <span class=""searchmatch"">Computational</span> Models lists abstract models for investigating computing machines. Standard <span class=""searchmatch"">computational</span> models assume discrete time paradigm",2020-07-27T20:12:23Z,theory of computational,Models of computation,0.5185185185185186,8
0,14,Category:Theories of history,4220365,268,50,"<span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">history</span> are <span class=""searchmatch"">theories</span> for why things happened the way they did (and possibly what that means for the future). Top 0–9 A B C D E F G H I J K",2020-04-30T20:24:56Z,theory of history,Theories of history,0.44999999999999996,4
0,14,Category:Social learning theory,16162632,483,50,"Social <span class=""searchmatch"">learning</span> <span class=""searchmatch"">theory</span> is a <span class=""searchmatch"">theory</span> to explain how people (or animals) learn behavior. People may learn through observing and consequently copy others'",2018-12-31T21:29:54Z,theory of learning,Social learning theory,0.56,15
6,14,Category:Asymptotic theory (statistics),31180880,108,0,NA,2016-11-25T09:49:52Z,theory of statistics,Asymptotic theory (statistics),0.59375,15
6,14,Category:Program transformation,30677368,83,0,NA,2014-05-08T09:46:49Z,theory of transformational,Program transformation,0.5806451612903225,10
0,14,Category:Gender theories,63068457,115,4,"Social <span class=""searchmatch"">theories</span> on <span class=""searchmatch"">gender</span>.",2020-02-14T18:27:16Z,theories of gender,Gender theories,0.55,14
0,14,Category:Information theory,694025,597,43,"Articles relating to <span class=""searchmatch"">information</span> <span class=""searchmatch"">theory</span>, which studies the quantification, storage, and communication <span class=""searchmatch"">of</span> <span class=""searchmatch"">information</span>. Top 0–9 A B C D E F G H I J K L",2020-12-13T00:23:18Z,theories of information,Information theory,0.5769230769230769,17
1,14,Category:Quantum information theory,1159516,424,29,"Quantum <span class=""searchmatch"">information</span> <span class=""searchmatch"">theory</span> is a generalization <span class=""searchmatch"">of</span> classical <span class=""searchmatch"">information</span> <span class=""searchmatch"">theory</span> to use quantum-mechanical particles and interference. It is used in the",2013-03-29T05:31:28Z,theories of information,Quantum information theory,0.59375,18
1,14,Category:Theory of computation,3233312,465,46,"theoretical <span class=""searchmatch"">computer</span> science, the <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> computation is the branch that deals with whether and how efficiently problems can be solved on a model <span class=""searchmatch"">of</span> computation",2020-01-28T20:25:57Z,theory of computer,Theory of computation,0.40909090909090906,6
0,14,Category:Theories of constitutional interpretation,65601624,217,17,"Law portal <span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> constitutional <span class=""searchmatch"">interpretation</span> are different ways <span class=""searchmatch"">of</span> interpreting the Constitution <span class=""searchmatch"">of</span> the United States.",2020-10-16T21:41:13Z,theory of interpretation,Theories of constitutional interpretation,0.5952380952380952,19
3,14,Category:Interpretation,39427145,454,0,"Category:Legal <span class=""searchmatch"">interpretation</span>. For literary <span class=""searchmatch"">theory</span>, see Category:Literary <span class=""searchmatch"">theory‎</span>. For <span class=""searchmatch"">interpretation</span> (philosophy), see Category:<span class=""searchmatch"">Interpretation</span> (philosophy)‎",2021-07-01T22:42:55Z,theory of interpretation,Interpretation,0.5217391304347826,11
0,14,Category:Theory of relativity,35196789,340,12,"The <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">relativity</span> encompasses Einstein's <span class=""searchmatch"">theories</span> <span class=""searchmatch"">of</span> special and general <span class=""searchmatch"">relativity</span>.",2020-12-14T19:53:52Z,theory of relativity,Theory of relativity,0.10526315789473684,1
2,14,Category:Representation theory,888073,136,29,"Wikimedia Commons has media related to <span class=""searchmatch"">Representation</span> <span class=""searchmatch"">theory</span>.",2021-02-08T12:17:34Z,theory of representation,Representation theory,0.42307692307692313,18
4,14,Category:Representation theory of groups,999912,91,0,NA,2013-03-30T14:38:57Z,theory of representation,Representation theory of groups,0.40625,26
5,14,Category:Unitary representation theory,19348955,44,0,NA,2015-03-04T13:01:16Z,theory of representation,Unitary representation theory,0.4193548387096774,15
6,14,Category:Representation theory of Lie algebras,7377879,109,0,NA,2013-03-31T02:09:50Z,theory of representation,Representation theory of Lie algebras,0.5,27
7,14,Category:Theorems in representation theory,34602685,163,0,NA,2013-02-03T21:21:39Z,theory of representation,Theorems in representation theory,0.5,13
8,14,Category:Representation theory of Lie groups,7377748,112,0,NA,2019-09-14T04:10:09Z,theory of representation,Representation theory of Lie groups,0.4722222222222222,28
9,14,Category:Representation theory of algebraic groups,7377770,84,0,NA,2019-09-14T04:05:45Z,theory of representation,Representation theory of algebraic groups,0.5476190476190477,29
9,14,Category:Economic theories,780365,234,0,NA,2020-04-05T12:53:45Z,theories of economic,Economic theories,0.5,16
0,14,Category:Theories of history,4220365,268,50,"<span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">history</span> are <span class=""searchmatch"">theories</span> for why things happened the way they did (and possibly what that means for the future). Top 0–9 A B C D E F G H I J K",2020-04-30T20:24:56Z,theories of history,Theories of history,0.11111111111111116,1
0,14,Category:Theory of relativity,35196789,340,12,"The <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">relativity</span> encompasses Einstein's <span class=""searchmatch"">theories</span> <span class=""searchmatch"">of</span> special and general <span class=""searchmatch"">relativity</span>.",2020-12-14T19:53:52Z,theories of relativity,Theory of relativity,0.41666666666666663,4
4,14,Category:Relativity theorists,9643999,304,15,"The category Relativists is for people who have made contributions to the <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">relativity</span>.",2021-01-11T01:24:32Z,theories of relativity,Relativity theorists,0.5925925925925926,18
7,14,Category:Conspiracy theories by subject,38840557,74,0,NA,2013-11-23T00:04:43Z,theories of subject,Conspiracy theories by subject,0.59375,13
1,14,Category:Theories of aesthetics,22281589,219,2,"<span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">aesthetics</span> Epistemological <span class=""searchmatch"">theories</span> Ethical <span class=""searchmatch"">theories</span> <span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> deduction Metaphysical <span class=""searchmatch"">theories</span> Social <span class=""searchmatch"">theories</span> Philosophers Concepts Literature",2019-10-06T22:44:40Z,theory of aesthetics,Theories of aesthetics,0.3913043478260869,4
1,14,Category:Automata theory,3596860,44,0,"This category is located at Category:<span class=""searchmatch"">Automata</span> (computation). Note: This category should be empty. See the instructions for more information. Administrators:",2015-11-19T03:32:58Z,theory of automata,Automata theory,0.55,15
0,14,Category:Computability theory,30870610,615,94,"of the notion <span class=""searchmatch"">of</span> <span class=""searchmatch"">computable</span> function, and with related concepts such as Turing degrees. Related information about <span class=""searchmatch"">computability</span> <span class=""searchmatch"">theory</span> in computer science",2021-05-04T05:02:20Z,theory of computability,Computability theory,0.43999999999999995,18
1,14,Category:Theory of computation,3233312,465,46,"computation, using an algorithm. The field is divided into three major branches: automata <span class=""searchmatch"">theory</span>, <span class=""searchmatch"">computability</span> <span class=""searchmatch"">theory</span> and computational complexity <span class=""searchmatch"">theory</span>.",2020-01-28T20:25:57Z,theory of computability,Theory of computation,0.46153846153846156,6
1,14,Category:Determinants,1504581,134,0,NA,2021-02-19T20:20:17Z,theory of determinants,Determinants,0.5714285714285714,11
0,14,Category:Theory of value (economics),6535659,113,0,"<span class=""searchmatch"">Theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">value</span> (economics) is included in the JEL classification codes as JEL: D46",2017-07-12T01:54:43Z,theory of value,Theory of value (economics),0.5384615384615384,13
0,14,Category:Theorems in the foundations of mathematics,33454664,343,23,"This category includes <span class=""searchmatch"">theorems</span> on the foundational aspects <span class=""searchmatch"">of</span> mathematics, including: mathematical logic, model theory, set theory, some general topology",2020-10-10T22:43:50Z,theorems of foundations,Theorems in the foundations of mathematics,0.4736842105263158,22
0,14,Category:Theories of history,4220365,268,50,"<span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> history are <span class=""searchmatch"">theories</span> for why things happened the way they did (and possibly what that means for the future). Top 0–9 A B C D E F G H I J K",2020-04-30T20:24:56Z,theories of ',Theories of history,0.5263157894736843,8
5,14,Category:Theories,1963117,368,36,"A <span class=""searchmatch"">theory</span> provides an explanatory framework for some observation, and from the assumptions <span class=""searchmatch"">of</span> the explanation follows a number <span class=""searchmatch"">of</span> possible hypotheses that",2020-07-26T11:44:39Z,theories of ',Theories,0.5833333333333333,6
9,14,Category:Theories of dyslexia,23136231,252,10,"This category lists Wikipedia articles about the <span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> Dyslexia",2021-12-08T06:56:53Z,theories of ',Theories of dyslexia,0.55,9
5,14,Category:Shakespeare authorship theories,38114214,99,0,NA,2014-05-20T00:27:14Z,theories of authorship,Shakespeare authorship theories,0.5588235294117647,19
0,14,Category:Theory of computation,3233312,465,46,"science, the <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">computation</span> is the branch that deals with whether and how efficiently problems can be solved on a model <span class=""searchmatch"">of</span> <span class=""searchmatch"">computation</span>, using an algorithm",2020-01-28T20:25:57Z,theories of computation,Theory of computation,0.4,4
2,14,Category:Models of computation,31036668,435,48,"The category <span class=""searchmatch"">of</span> <span class=""searchmatch"">Computational</span> Models lists abstract models for investigating computing machines. Standard <span class=""searchmatch"">computational</span> models assume discrete time paradigm",2020-07-27T20:12:23Z,theories of computation,Models of computation,0.46153846153846156,6
0,14,Category:Theories of history,4220365,268,50,"<span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> history are <span class=""searchmatch"">theories</span> for why things happened the way they did (and possibly what that means for the future). Top 0–9 A B C D <span class=""searchmatch"">E</span> F <span class=""searchmatch"">G</span> H I J K",2020-04-30T20:24:56Z,theories of e.g,Theories of history,0.5714285714285714,8
7,14,Category:Epistemological theories,22185483,274,29,"<span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> aesthetics Epistemological <span class=""searchmatch"">theories</span> Ethical <span class=""searchmatch"">theories</span> <span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> deduction Metaphysical <span class=""searchmatch"">theories</span> Social <span class=""searchmatch"">theories</span> Philosophers Concepts Literature",2020-07-29T00:40:02Z,theories of epistemology,Epistemological theories,0.5333333333333333,21
4,14,Category:Forms of government,737235,545,13,"Forms <span class=""searchmatch"">of</span> <span class=""searchmatch"">government</span> are sets <span class=""searchmatch"">of</span> constitutional institutions by which states are organized.",2021-09-02T11:22:29Z,theories of governmentality,Forms of government,0.5517241379310345,10
4,14,Category:Rules of inference,3326986,558,41,"category may be also expressed in terms <span class=""searchmatch"">of</span> arguments, or theorems. Very often the same concept is in more than one <span class=""searchmatch"">of</span> these categories, expressed a different",2018-12-31T14:32:19Z,theories of inference,Rules of inference,0.40909090909090906,6
5,14,Category:Spheres of influence,67232909,216,0,NA,2021-03-28T04:28:26Z,theories of influence,Spheres of influence,0.45833333333333337,4
0,14,Category:Theories of constitutional interpretation,65601624,217,17,"Law portal <span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> constitutional <span class=""searchmatch"">interpretation</span> are different ways <span class=""searchmatch"">of</span> interpreting the Constitution <span class=""searchmatch"">of</span> the United States.",2020-10-16T21:41:13Z,theories of interpretation,Theories of constitutional interpretation,0.4358974358974359,16
3,14,Category:Interpretation,39427145,454,0,"Category:Legal <span class=""searchmatch"">interpretation</span>. For literary <span class=""searchmatch"">theory</span>, see Category:Literary <span class=""searchmatch"">theory‎</span>. For <span class=""searchmatch"">interpretation</span> (philosophy), see Category:<span class=""searchmatch"">Interpretation</span> (philosophy)‎",2021-07-01T22:42:55Z,theories of interpretation,Interpretation,0.56,13
2,14,Category:Intersectionality,30216268,181,0,NA,2020-07-25T02:43:10Z,theories of intersectionality,Intersectionality,0.5,13
4,14,Category:Theories of language,22337303,120,0,"Paul Watzlawick Richard Montague Barbara Partee <span class=""searchmatch"">Theories</span> Causal <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> reference Contrast <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> meaning Contrastivism Conventionalism Cratylism",2017-11-16T16:13:15Z,theories of linguistic,Theories of language,0.5925925925925926,7
0,14,Category:Theories of mind,52090732,45,0,"This category is located at Category:<span class=""searchmatch"">Theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">mind</span>. Note: This category should be empty. See the instructions for more information. Administrators: If",2016-10-25T08:50:52Z,theories of mind,Theories of mind,0.1333333333333333,1
1,14,Category:Theory of mind,22332699,217,29,"Wikimedia Commons has media related to <span class=""searchmatch"">Theory</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">mind</span>.",2020-04-23T15:51:39Z,theories of mind,Theory of mind,0.5555555555555556,4
4,14,Category:Personality theories,16182273,286,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Personality</span> <span class=""searchmatch"">theories</span>.",2019-10-04T18:51:19Z,theories of personality,Personality theories,0.43999999999999995,20
0,14,Category:Theories of truth,13138241,113,0,"Wikimedia Commons has media related to <span class=""searchmatch"">Theories</span> <span class=""searchmatch"">of</span> <span class=""searchmatch"">truth</span>.",2020-03-03T08:55:19Z,theories of truth,Theories of truth,0.125,1
0,14,Category:Information theorists,5700219,197,4,"See also Category:Coding <span class=""searchmatch"">theorists</span>",2013-05-06T18:01:39Z,theorists of information,Information theorists,0.42307692307692313,16
1,14,Category:American information theorists,38554683,152,0,NA,2013-02-17T15:24:24Z,theorists of information,American information theorists,0.48484848484848486,19
2,14,Category:Pakistani information theorists,40687825,154,0,NA,2016-08-15T15:16:47Z,theorists of information,Pakistani information theorists,0.48484848484848486,19
3,14,Category:British information theorists,38554677,150,0,NA,2013-02-17T15:24:11Z,theorists of information,British information theorists,0.46875,19
4,14,Category:Japanese information theorists,38554664,152,0,NA,2013-02-17T15:23:34Z,theorists of information,Japanese information theorists,0.48484848484848486,21
5,14,Category:Swedish information theorists,26342297,211,6,Biography portal Mathematics portal Sweden portal,2019-09-13T06:11:12Z,theorists of information,Swedish information theorists,0.46875,19
6,14,Category:Argentine information theorists,38554663,154,0,NA,2013-02-17T15:23:26Z,theorists of information,Argentine information theorists,0.5,21
7,14,Category:Italian information theorists,38554660,167,2,Italy portal,2018-08-04T08:03:00Z,theorists of information,Italian information theorists,0.46875,21
8,14,Category:French information theorists,38554674,148,0,NA,2013-02-17T15:24:00Z,theorists of information,French information theorists,0.4516129032258065,21
9,14,Category:Austrian information theorists,38554679,171,2,Austria portal,2018-03-02T18:20:55Z,theorists of information,Austrian information theorists,0.48484848484848486,20
8,14,Category:Mass media theorists,1873104,254,29,Top 0–9 A B C D E F G H I J K L M N O P Q R S T U V W X Y Z,2020-08-06T18:37:40Z,theorists of media,Mass media theorists,0.5217391304347826,19
0,14,Category:Formal theories of arithmetic,11504157,228,23,"These systems provide a logical framework and a set <span class=""searchmatch"">of</span> axioms for the formal study <span class=""searchmatch"">of</span> <span class=""searchmatch"">arithmetic</span> in the context <span class=""searchmatch"">of</span> mathematical logic.",2015-09-30T17:20:28Z,theory of arithmetic,Formal theories of arithmetic,0.5,10
0,14,Category:Categories in category theory,3151376,697,86,"Mathematics portal <span class=""searchmatch"">Category</span> <span class=""searchmatch"">theory</span> is a field <span class=""searchmatch"">of</span> mathematics which deals in an abstract way with mathematical structures and relationships between them",2019-09-17T05:32:00Z,theory of category,Categories in category theory,0.5769230769230769,16
1,14,Category:Category theory,695968,340,50,"Mathematics portal <span class=""searchmatch"">Category</span> <span class=""searchmatch"">theory</span> is a mathematical <span class=""searchmatch"">theory</span> that deals in an abstract way with mathematical structures and relationships between them.",2021-02-08T12:15:49Z,theory of category,Category theory,0.5,11
0,14,Category:The Big Bang Theory characters,30407836,165,0,NA,2018-05-22T06:41:34Z,theory of characters,The Big Bang Theory characters,0.59375,15
2,14,Category:Lists of colors,44409892,296,0,"Lists List <span class=""searchmatch"">of</span> <span class=""searchmatch"">colors</span>: A–F List <span class=""searchmatch"">of</span> <span class=""searchmatch"">colors</span>: G–M List <span class=""searchmatch"">of</span> <span class=""searchmatch"">colors</span>: N–Z List <span class=""searchmatch"">of</span> <span class=""searchmatch"">colors</span> (compact) List <span class=""searchmatch"">of</span> <span class=""searchmatch"">colors</span> by shade List <span class=""searchmatch"">of</span> color palettes List <span class=""searchmatch"">of</span> color spaces",2021-06-21T01:24:25Z,theory of colors,Lists of colors,0.5789473684210527,6
1,14,Category:Theory of computation,3233312,465,46,"computation, using an algorithm. The field is divided into three major branches: automata <span class=""searchmatch"">theory</span>, <span class=""searchmatch"">computability</span> <span class=""searchmatch"">theory</span> and computational complexity <span class=""searchmatch"">theory</span>.",2020-01-28T20:25:57Z,theory of computing,Theory of computation,0.4347826086956522,5
0,14,Category:Consciousness,28059872,898,66,"<span class=""searchmatch"">Consciousness</span> is the quality or state <span class=""searchmatch"">of</span> being aware <span class=""searchmatch"">of</span> an external object or something within oneself. It has been defined as: subjectivity, awareness",2021-04-04T15:07:34Z,theory of consciousness,Consciousness,0.5454545454545454,11
2,14,Category:Critical theory,692017,382,29,"Wikimedia Commons has media related to <span class=""searchmatch"">Critical</span> <span class=""searchmatch"">theory</span>.",2021-01-07T09:11:54Z,theory of critical,Critical theory,0.55,17
0,14,Category:Effective descriptive set theory,3244119,423,42,"Effective <span class=""searchmatch"">descriptive</span> set <span class=""searchmatch"">theory</span> is the branch <span class=""searchmatch"">of</span> <span class=""searchmatch"">descriptive</span> set <span class=""searchmatch"">theory</span> dealing with sets <span class=""searchmatch"">of</span> reals having lightface definitions; that is, definitions",2013-03-28T06:49:19Z,theory of descriptive,Effective descriptive set theory,0.5625,20
2,14,Category:Descriptive set theory,2194865,60,0,NA,2013-03-28T04:27:24Z,theory of descriptive,Descriptive set theory,0.5555555555555556,20
5,14,Category:Educational theory,50340433,38,0,"This category is located at Category:Education <span class=""searchmatch"">theory</span>. Note: This category should be empty. See the instructions for more information. Administrators:",2020-09-01T20:51:28Z,theory of educational,Educational theory,0.4782608695652174,18
0,14,Category:Ergodic theory,974653,227,9,"This category roughly corresponds to MSC 37A <span class=""searchmatch"">Ergodic</span> <span class=""searchmatch"">theory</span>.",2016-12-06T22:08:53Z,theory of ergodic,Ergodic theory,0.5789473684210527,14
9,14,Category:Density functional theory,2865531,117,0,NA,2019-11-28T04:08:31Z,theory of functional,Density functional theory,0.5357142857142857,15
4,14,Category:Rules of inference,3326986,558,41,"category may be also expressed in terms <span class=""searchmatch"">of</span> arguments, or theorems. Very often the same concept is in more than one <span class=""searchmatch"">of</span> these categories, expressed a different",2018-12-31T14:32:19Z,theory of inference,Rules of inference,0.5,6
5,14,Category:Spheres of influence,67232909,216,0,NA,2021-03-28T04:28:26Z,theory of influence,Spheres of influence,0.5416666666666667,5
5,14,Category:Invariant theory,1089492,211,0,NA,2019-03-21T09:27:40Z,theory of invariants,Invariant theory,0.5454545454545454,17
7,14,Category:Knot invariants,38986371,85,0,"Wikimedia Commons has media related to Knot <span class=""searchmatch"">invariants</span>.",2013-04-29T00:29:54Z,theory of invariants,Knot invariants,0.5909090909090908,8
4,14,Category:Theories of language,22337303,120,0,"Paul Watzlawick Richard Montague Barbara Partee <span class=""searchmatch"">Theories</span> Causal <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> reference Contrast <span class=""searchmatch"">theory</span> <span class=""searchmatch"">of</span> meaning Contrastivism Conventionalism Cratylism",2017-11-16T16:13:15Z,theory of languages,Theories of language,0.4782608695652174,5
9,14,Category:Philosophy of language,744038,730,73,"Philosophy <span class=""searchmatch"">of</span> <span class=""searchmatch"">language</span> is the branch <span class=""searchmatch"">of</span> philosophy that studies <span class=""searchmatch"">language</span>. Its primary concerns include the nature <span class=""searchmatch"">of</span> linguistic meaning, reference, <span class=""searchmatch"">language</span> use",2020-04-25T17:59:38Z,theory of languages,Philosophy of language,0.5769230769230769,8
4,14,Category:Frames of reference,2433258,662,65,"frame <span class=""searchmatch"">of</span> <span class=""searchmatch"">reference</span> is often a useful way <span class=""searchmatch"">of</span> defining a particular state <span class=""searchmatch"">of</span> motion, the expected properties <span class=""searchmatch"">of</span> a set <span class=""searchmatch"">of</span> objects with a common state <span class=""searchmatch"">of</span> motion",2021-10-04T22:36:47Z,theory of reference,Frames of reference,0.5217391304347826,6
9,14,Category:Object relations theory,39387372,34,0,NA,2021-11-27T16:22:23Z,theory of relations,Object relations theory,0.5384615384615384,16
