name,name_reco,wikidata_id,instance of,date of death,date of birth,VIAF ID,GND ID,country of citizenship,sex or gender,theory
Deconstructivism,Deconstructivism,Q180348,,,,,,,,POSTSTRUCTURALSIM
Postmodern Theor*,Postmodern Theor*,,,,,,,,,POSTSTRUCTURALSIM
Ian F. Haney Lopez,Ian Haney-López,Q16973024,human,,1964-07-06T00:00:00Z,15001011,,,male,ETHNIC_STRUCTURAL
Haney Lopez,Haney Lopez,Q16973024,human,,1964-07-06T00:00:00Z,15001011,,,male,ETHNIC_STRUCTURAL
Shelley Fisher Fishkin,Shelley Fisher Fishkin,Q41146039,human,,1950-05-09T00:00:00Z,61565489,1050750071,,female,ETHNIC_STRUCTURAL
Fishkin,Shelley Fisher Fishkin,Q41146039,human,,1950-05-09T00:00:00Z,61565489,1050750071,,female,ETHNIC_STRUCTURAL
Henry Louis Gates,"Henry Louis Gates, Jr.",Q561458,human,,1950-09-16T00:00:00Z,79046442,119198037,United States of America,male,ETHNIC_STRUCTURAL
Toni Morrison,Toni Morrison,Q72334,human,2019-08-05T00:00:00Z,1931-02-18T00:00:00Z,109406177,118911627,United States of America,female,ETHNIC_STRUCTURAL
Gloria Anzaldua,Gloria E. Anzaldúa,Q3109110,human,2004-05-15T00:00:00Z,1942-09-26T00:00:00Z,9863544,119419408,Mexico,female,ETHNIC_STRUCTURAL
Anzaldua,Gloria E. Anzaldúa,Q3109110,human,2004-05-15T00:00:00Z,1942-09-26T00:00:00Z,9863544,119419408,Mexico,female,ETHNIC_STRUCTURAL
Lisa Lowe,Lisa Lowe,Q6558207,human,,1955-11-03T00:00:00Z,14850181,171728386,,female,ETHNIC_STRUCTURAL
Lowe,Lisa Lowe,Q6558207,human,,1955-11-03T00:00:00Z,14850181,171728386,,female,ETHNIC_STRUCTURAL
Robert Dale Parker,Robert Dale Parker,Q105658876,human,,1953-01-01T00:00:00Z,109126998,136179266,,male,ETHNIC_STRUCTURAL
Ethnic Literary,Ethnic Literary,,,,,,,,,ETHNIC_STRUCTURAL
Critical Race Theory,Critical Race Theory,Q5186753,philosophy,,,,,,,ETHNIC_STRUCTURAL
,,,political movement,,,,,,,
Dennis Walder,Dennis Walder,Q109805171,human,,1943-01-01T00:00:00Z,46777377,140603379,,male,COLONIAL_POSTCOLONIAL
Walder,Dennis Walder,Q109805171,human,,1943-01-01T00:00:00Z,46777377,140603379,,male,COLONIAL_POSTCOLONIAL
Ania Loomba,Ania Loomba,Q546061,human,,1955-01-01T00:00:00Z,92350545,1081794232,India,female,COLONIAL_POSTCOLONIAL
Loomba,Loomba,Q546061,human,,1955-01-01T00:00:00Z,92350545,1081794232,India,female,COLONIAL_POSTCOLONIAL
C.C. Eldridge,C. C Eldridge,Q104534601,human,,1942-05-16T00:00:00Z,12352197,170053083,United Kingdom,male,COLONIAL_POSTCOLONIAL
Eldridge,Eldridge,Q104534601,human,,1942-05-16T00:00:00Z,12352197,170053083,United Kingdom,male,COLONIAL_POSTCOLONIAL
Edward Said,Edward Said,Q201538,human,2003-09-25T00:00:00Z,1935-11-01T00:00:00Z,82539804,119174308,United States of America,male,COLONIAL_POSTCOLONIAL
Ngugi wa Thiong'o,Ngugi wa Thiong’o,Q302910,human,,1938-01-05T00:00:00Z,104717886,118587587,Kenya,male,COLONIAL_POSTCOLONIAL
Thiong'o,Ngugi wa Thiong’o,Q302910,human,,1938-01-05T00:00:00Z,104717886,118587587,Kenya,male,COLONIAL_POSTCOLONIAL
Edward Kamau Brathwaite,Kamau Brathwaite,Q1722859,human,2020-02-04T00:00:00Z,1930-05-11T00:00:00Z,113673788,119042304,Barbados,male,COLONIAL_POSTCOLONIAL
Brathwaite,Kamau Brathwaite,Q1722859,human,2020-02-04T00:00:00Z,1930-05-11T00:00:00Z,113673788,119042304,Barbados,male,COLONIAL_POSTCOLONIAL
Homi K. Bhabha,Homi K. Bhabha,Q325741,human,,1949-01-01T00:00:00Z,111325907,119556154,India,male,COLONIAL_POSTCOLONIAL
Bhabha,Homi K. Bhabha,Q325741,human,,1949-01-01T00:00:00Z,111325907,119556154,India,male,COLONIAL_POSTCOLONIAL
Anne McClintock,Anne McClintock,Q4768629,human,,1954-08-27T00:00:00Z,92109836,,Zimbabwe,female,COLONIAL_POSTCOLONIAL
McClintock,Anne McClintock,Q4768629,human,,1954-08-27T00:00:00Z,92109836,,Zimbabwe,female,COLONIAL_POSTCOLONIAL
Chidi Okonkwo,Chidi Okonkwo,Q109805064,human,,1952-01-01T00:00:00Z,117964418,,Nigeria,male,COLONIAL_POSTCOLONIAL
Okonkwo,Okonkwo,,,,,,,,,COLONIAL_POSTCOLONIAL
Alan Lawson,Alan Lawson,Q109805313,human,,,123148996003459752157,,,male,COLONIAL_POSTCOLONIAL
Lawson,Alan Lawson,Q109805313,human,,,123148996003459752157,,,male,COLONIAL_POSTCOLONIAL
Jamaica Kincaid,Jamaica Kincaid,Q275601,human,,1949-05-25T00:00:00Z,76335318,11911223X,United States of America,female,COLONIAL_POSTCOLONIAL
Kincaid,Jamaica Kincaid,Q275601,human,,1949-05-25T00:00:00Z,76335318,11911223X,United States of America,female,COLONIAL_POSTCOLONIAL
Gayatri Chakravorty Spivak,Gayatri Chakravorty Spivak,Q240851,human,,1942-02-24T00:00:00Z,109346071,11902747X,India,female,COLONIAL_POSTCOLONIAL
Spivak,Gayatri Chakravorty Spivak,Q240851,human,,1942-02-24T00:00:00Z,109346071,11902747X,India,female,COLONIAL_POSTCOLONIAL
Colonial Theor*,Colonial Theor*,,,,,,,,,COLONIAL_POSTCOLONIAL
Colonial Stud*,Colonial Stud*,,,,,,,,,COLONIAL_POSTCOLONIAL
Theor* of Colonial,Theor* of Colonial,,,,,,,,,COLONIAL_POSTCOLONIAL
Postcolonial Theor*,Postcolonial Theor*,Q265425,term,,,,,,,COLONIAL_POSTCOLONIAL
,,,philosophical movement,,,,,,,
Post-colonial Theor*,Post-colonial Theor*,Q265425,term,,,,,,,COLONIAL_POSTCOLONIAL
,,,philosophical movement,,,,,,,
Postcolonial Stud*,Postcolonial Stud*,Q265425,term,,,,,,,COLONIAL_POSTCOLONIAL
,,,philosophical movement,,,,,,,
Post-colonial Stud*,Post-colonial Stud*,Q265425,term,,,,,,,COLONIAL_POSTCOLONIAL
,,,philosophical movement,,,,,,,
Theor* of Postcolonial,Theor* of Postcolonial,Q265425,term,,,,,,,COLONIAL_POSTCOLONIAL
,,,philosophical movement,,,,,,,
Theor* of Post-colonial,Theor* of Post-colonial,Q265425,term,,,,,,,COLONIAL_POSTCOLONIAL
,,,philosophical movement,,,,,,,
Transnational Studies,Transnational Studies,,,,,,,,,COLONIAL_POSTCOLONIAL
Sigmund Freud,Sigmund Freud,Q9215,human,1939-09-23T00:00:00Z,1856-05-06T00:00:00Z,34456780,118535315,Austria-Hungary,male,PSYCHOANALYSIS
Freud,Sigmund Freud,Q9215,human,1939-09-23T00:00:00Z,1856-05-06T00:00:00Z,34456780,118535315,Austria-Hungary,male,PSYCHOANALYSIS
Frantz Fanon,Frantz Fanon,Q193670,human,1961-12-06T00:00:00Z,1925-07-20T00:00:00Z,22490,118686070,France,male,PSYCHOANALYSIS
Fanon,Frantz Fanon,Q193670,human,1961-12-06T00:00:00Z,1925-07-20T00:00:00Z,22490,118686070,France,male,PSYCHOANALYSIS
Nancy Chodorow,Nancy Chodorow,Q598648,human,,1944-01-21T00:00:00Z,51815924,121922308,United States of America,female,PSYCHOANALYSIS
Chodorow,Nancy Chodorow,Q598648,human,,1944-01-21T00:00:00Z,51815924,121922308,United States of America,female,PSYCHOANALYSIS
Bessel A. van der Kolk,Bessel A. van der Kolk,Q4896407,human,,1943-01-01T00:00:00Z,113477655,122384326,Kingdom of the Netherlands,male,PSYCHOANALYSIS
van der Kolk,Bessel van der Kolk,Q4896407,human,,1943-01-01T00:00:00Z,113477655,122384326,Kingdom of the Netherlands,male,PSYCHOANALYSIS
Kolk,Bessel van der Kolk,Q4896407,human,,1943-01-01T00:00:00Z,113477655,122384326,Kingdom of the Netherlands,male,PSYCHOANALYSIS
Alexander C. McFarlane,Alexander C. McFarlane,Q109805373,human,,,44595853,1058152491,,male,PSYCHOANALYSIS
McFarlane,Alexander C. McFarlane,Q109805373,human,,,44595853,1058152491,,male,PSYCHOANALYSIS
Jacques Lacan,Jacques Lacan,Q169906,human,1981-09-09T00:00:00Z,1901-04-13T00:00:00Z,36920510,118568507,France,male,PSYCHOANALYSIS
Lacan,Jacques Lacan,Q169906,human,1981-09-09T00:00:00Z,1901-04-13T00:00:00Z,36920510,118568507,France,male,PSYCHOANALYSIS
Julia Kristeva,Julia Kristeva,Q159876,human,,1941-06-24T00:00:00Z,108172648,118778056,France,female,PSYCHOANALYSIS
Kristeva,Julia Kristeva,Q159876,human,,1941-06-24T00:00:00Z,108172648,118778056,France,female,PSYCHOANALYSIS
Psychoanalytic Theor*,Psychoanalytic Theor*,Q7256338,,,,,,,,PSYCHOANALYSIS
Theor* of Psychoanaly*,Theor* of Psychoanaly*,Q7256338,,,,,,,,PSYCHOANALYSIS
G. W. F. Hegel,Georg Wilhelm Friedrich Hegel,Q9235,human,1831-11-14T00:00:00Z,1770-08-27T00:00:00Z,89774942,118547739,Germany,male,POLITICAL_CRITCISM
Hegel,Georg Wilhelm Friedrich Hegel,Q9235,human,1831-11-14T00:00:00Z,1770-08-27T00:00:00Z,89774942,118547739,Germany,male,POLITICAL_CRITCISM
Antonio Gramsci,Antonio Gramsci,Q83003,human,1937-04-27T00:00:00Z,1891-01-22T00:00:00Z,44299576,118541463,Kingdom of Italy,male,POLITICAL_CRITCISM
Gramsci,Antonio Gramsci,Q83003,human,1937-04-27T00:00:00Z,1891-01-22T00:00:00Z,44299576,118541463,Kingdom of Italy,male,POLITICAL_CRITCISM
Louis Althusser,Louis Althusser,Q184169,human,1990-10-22T00:00:00Z,1918-10-16T00:00:00Z,24596917,118502298,France,male,POLITICAL_CRITCISM
Althusser,Louis Althusser,Q184169,human,1990-10-22T00:00:00Z,1918-10-16T00:00:00Z,24596917,118502298,France,male,POLITICAL_CRITCISM
Pierre Macherey,Pierre Macherey,Q326897,human,,1938-02-17T00:00:00Z,108291115,142370789,France,male,POLITICAL_CRITCISM
Macherey,Pierre Macherey,Q326897,human,,1938-02-17T00:00:00Z,108291115,142370789,France,male,POLITICAL_CRITCISM
Slavoj Zizek,Slavoj Žižek,Q184750,human,,1949-03-21T00:00:00Z,2478493,104308281,Slovenia,male,POLITICAL_CRITCISM
Zizek,Slavoj Žižek,Q184750,human,,1949-03-21T00:00:00Z,2478493,104308281,Slovenia,male,POLITICAL_CRITCISM
Antonio Negri,Antonio Negri,Q310341,human,,1933-08-01T00:00:00Z,108238827,119063492,Italy,male,POLITICAL_CRITCISM
Negri,Antonio Negri,Q310341,human,,1933-08-01T00:00:00Z,108238827,119063492,Italy,male,POLITICAL_CRITCISM
Alan Sinfield,Alan Sinfield,Q2202147,human,2017-12-02T00:00:00Z,1941-12-17T00:00:00Z,27082932,,United Kingdom,male,POLITICAL_CRITCISM
Sinfield,Peter Sinfield,Q471967,human,,1943-12-27T00:00:00Z,274160733,134609190,United Kingdom,male,POLITICAL_CRITCISM
Political Criticism,Political Criticism,,,,,,,,,POLITICAL_CRITCISM
Cultural Materialism,Cultural Materialism,Q1791800,branch of science,,,,,,,POLITICAL_CRITCISM
Dialecti* Theor*,Dialecti* Theor*,,,,,,,,,POLITICAL_CRITCISM
Gayle Rubin,Gayle Rubin,Q444593,human,,1949-01-01T00:00:00Z,19898616,180041037,United States of America,female,GENDER_QUEER
Judith Butler,Judith Butler,Q219368,human,,1956-02-24T00:00:00Z,98486723,119237873,United States of America,non-binary,GENDER_QUEER
Eve Kosofsky Sedgwick,Eve Kosofsky Sedgwick,Q258462,human,2009-04-12T00:00:00Z,1950-05-02T00:00:00Z,79051317,124897908,United States of America,female,GENDER_QUEER
Sedgwick,Eve Kosofsky Sedgwick,Q258462,human,2009-04-12T00:00:00Z,1950-05-02T00:00:00Z,79051317,124897908,United States of America,female,GENDER_QUEER
Michael Moon,Michael Moon,Q16732803,human,,,100966892,188429956,United States of America,male,GENDER_QUEER
Judith Halberstam,Jack Halberstam,Q433322,human,,1961-12-15T00:00:00Z,56760858,188482679,United States of America,non-binary,GENDER_QUEER
Halberstam,David Halberstam,Q467156,human,2007-04-23T00:00:00Z,1934-04-10T00:00:00Z,68930206,105767107,United States of America,male,GENDER_QUEER
Teresa de Lauretis,Teresa de Lauretis,Q292326,human,,1938-01-01T00:00:00Z,234270747,137804814,Italy,female,GENDER_QUEER
de Lauretis,Teresa de Lauretis,Q292326,human,,1938-01-01T00:00:00Z,234270747,137804814,Italy,female,GENDER_QUEER
Queer Theor*,Queer Theor*,Q658022,theory,,,,,,,GENDER_QUEER
Gender Theor*,Gender Theor*,,,,,,,,,GENDER_QUEER
Luce Irigaray,Luce Irigaray,Q28918,human,,1930-05-03T00:00:00Z,54149176,119010941,Belgium,female,FEMINISM
Irigaray,Luce Irigaray,Q28918,human,,1930-05-03T00:00:00Z,54149176,119010941,Belgium,female,FEMINISM
Sandra Gilbert,Sandra Gilbert,Q7416620,human,,1936-12-27T00:00:00Z,24683823,119162822,United States of America,female,FEMINISM
Susan Gubar,Susan Gubar,Q7647901,human,,1944-11-30T00:00:00Z,108499527,,United States of America,female,FEMINISM
