category,item.x,itemLabel,item.y,q_id,date of birth,description,sex_gender,country_citizenship
Category:Combinatorial game theorists,http://www.wikidata.org/entity/Q92760,Claude Shannon,http://www.wikidata.org/entity/Q92760,Q92760,1916-04-30T00:00:00Z,American mathematician and information theorist,male,United States of America
Category:Control theorists,http://www.wikidata.org/entity/Q92760,Claude Shannon,http://www.wikidata.org/entity/Q92760,Q92760,1916-04-30T00:00:00Z,American mathematician and information theorist,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q92826,Terry Winograd,http://www.wikidata.org/entity/Q92826,Q92826,1946-02-24T00:00:00Z,American professor,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q93781,Paul Watzlawick,http://www.wikidata.org/entity/Q93781,Q93781,1921-07-25T00:00:00Z,Austrian-American psychologist and philosopher,male,Austria|United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q156201,Roman Jakobson,http://www.wikidata.org/entity/Q156201,Q156201,1896-10-10T00:00Z|1896-09-11T00:00Z,"American linguist, philosopher and educationist",male,Russian Empire|Russian Socialist Federative Soviet Republic|Soviet Union|United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q180819,Lev Vygotsky,http://www.wikidata.org/entity/Q180819,Q180819,1896-11-17T00:00:00Z,Soviet psychologist,male,Russian Empire|Soviet Union
Category:Communication theorists,http://www.wikidata.org/entity/Q193871,Marshall McLuhan,http://www.wikidata.org/entity/Q193871,Q193871,1911-07-21T00:00:00Z,"Canadian educator, philosopher, scholar, professor of English literature, literary critic, and communications theorist",male,Canada
Category:Mass media theorists,http://www.wikidata.org/entity/Q193871,Marshall McLuhan,http://www.wikidata.org/entity/Q193871,Q193871,1911-07-21T00:00:00Z,"Canadian educator, philosopher, scholar, professor of English literature, literary critic, and communications theorist",male,Canada
Category:Literary theorists,http://www.wikidata.org/entity/Q193871,Marshall McLuhan,http://www.wikidata.org/entity/Q193871,Q193871,1911-07-21T00:00:00Z,"Canadian educator, philosopher, scholar, professor of English literature, literary critic, and communications theorist",male,Canada
Category:Critical theorists,http://www.wikidata.org/entity/Q193871,Marshall McLuhan,http://www.wikidata.org/entity/Q193871,Q193871,1911-07-21T00:00:00Z,"Canadian educator, philosopher, scholar, professor of English literature, literary critic, and communications theorist",male,Canada
Category:Communication theorists,http://www.wikidata.org/entity/Q295012,John Searle,http://www.wikidata.org/entity/Q295012,Q295012,1932-07-31T00:00:00Z,American philosopher,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q311776,Paul Grice,http://www.wikidata.org/entity/Q311776,Q311776,1913-03-13T00:00:00Z,philosopher,male,United Kingdom|United Kingdom of Great Britain and Ireland
Category:Communication theorists,http://www.wikidata.org/entity/Q314252,Gregory Bateson,http://www.wikidata.org/entity/Q314252,Q314252,1904-05-09T00:00:00Z,"English anthropologist, social scientist, linguist, visual anthropologist, semiotician and cyberneticist",male,United Kingdom|United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q314462,Harold Lasswell,http://www.wikidata.org/entity/Q314462,Q314462,1902-02-13T00:00:00Z,American political scientist,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q321585,Donald deAvila Jackson,http://www.wikidata.org/entity/Q321585,Q321585,1920-01-28T00:00:00Z,American psychiatrist,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q323107,Patrick Suppes,http://www.wikidata.org/entity/Q323107,Q323107,1922-03-17T00:00:00Z,philosopher from United States of America,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q426218,Anthony Wilden,http://www.wikidata.org/entity/Q426218,Q426218,1935-12-14T00:00:00Z,British academic,male,United Kingdom|United States of America
Category:Systems theory,http://www.wikidata.org/entity/Q426218,Anthony Wilden,http://www.wikidata.org/entity/Q426218,Q426218,1935-12-14T00:00:00Z,British academic,male,United Kingdom|United States of America
Category:Postmodern theory,http://www.wikidata.org/entity/Q426218,Anthony Wilden,http://www.wikidata.org/entity/Q426218,Q426218,1935-12-14T00:00:00Z,British academic,male,United Kingdom|United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q433619,Joan Chittister,http://www.wikidata.org/entity/Q433619,Q433619,1936-04-26T00:00:00Z,"Roman Catholic nun, activist, writer and academic",female,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q504346,Fernando Flores,http://www.wikidata.org/entity/Q504346,Q504346,1943-01-09T00:00:00Z,Chilean politician,male,Chile
Category:Communication theorists,http://www.wikidata.org/entity/Q505528,Harold Innis,http://www.wikidata.org/entity/Q505528,Q505528,1894-11-05T00:00:00Z,Canadian professor of political economy,male,Canada
Category:Communication theorists,http://www.wikidata.org/entity/Q510591,Warren Weaver,http://www.wikidata.org/entity/Q510591,Q510591,1894-07-17T00:00:00Z,American mathematician,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q511624,Rob Grootendorst,http://www.wikidata.org/entity/Q511624,Q511624,1944-02-11T00:00:00Z,Dutch linguist,male,Kingdom of the Netherlands
Category:Communication theorists,http://www.wikidata.org/entity/Q634125,George Gerbner,http://www.wikidata.org/entity/Q634125,Q634125,1919-08-08T00:00:00Z,"American writer, freelancer and sociologist",male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q722347,Walter J. Ong,http://www.wikidata.org/entity/Q722347,Q722347,1912-11-30T00:00:00Z,American philosopher and historian,male,United States of America
Category:Mass media theorists,http://www.wikidata.org/entity/Q722347,Walter J. Ong,http://www.wikidata.org/entity/Q722347,Q722347,1912-11-30T00:00:00Z,American philosopher and historian,male,United States of America
Category:Literary theorists,http://www.wikidata.org/entity/Q722347,Walter J. Ong,http://www.wikidata.org/entity/Q722347,Q722347,1912-11-30T00:00:00Z,American philosopher and historian,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q1161998,Daniel J. O'Keefe,http://www.wikidata.org/entity/Q1161998,Q1161998,1950-03-30T00:00:00Z,American academic,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q1445486,Frans H. van Eemeren,http://www.wikidata.org/entity/Q1445486,Q1445486,1946-04-07T00:00:00Z,Dutch academic,male,Kingdom of the Netherlands
Category:Communication theorists,http://www.wikidata.org/entity/Q1512329,Molefi Kete Asante,http://www.wikidata.org/entity/Q1512329,Q1512329,1942-08-14T00:00:00Z,American academic,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q1662255,Inez De Florio-Hansen,http://www.wikidata.org/entity/Q1662255,Q1662255,1943-01-01T00:00:00Z,linguist,female,Germany
Category:Communication theorists,http://www.wikidata.org/entity/Q2227424,Alfons Vansteenwegen,http://www.wikidata.org/entity/Q2227424,Q2227424,1941-07-06T00:00:00Z,Belgian communication theorist,male,Belgium
Category:Communication theorists,http://www.wikidata.org/entity/Q2530910,Denis McQuail,http://www.wikidata.org/entity/Q2530910,Q2530910,1935-04-12T00:00:00Z,"British communication theorist, academic and writer",male,United Kingdom
Category:Communication theorists,http://www.wikidata.org/entity/Q3061477,Everett Rogers,http://www.wikidata.org/entity/Q3061477,Q3061477,1931-03-06T00:00:00Z,American academic,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q3430760,Richard Fisch,http://www.wikidata.org/entity/Q3430760,Q3430760,1926-12-15T00:00:00Z,American psychiatrist,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q3893206,Herbert Schiller,http://www.wikidata.org/entity/Q3893206,Q3893206,1919-11-05T00:00:00Z,American media critic,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q3896211,Osmo Antero Wiio,http://www.wikidata.org/entity/Q3896211,Q3896211,1928-02-04T00:00:00Z,"Finnish communications professor, journalist and Member of Parliament",male,Finland
Category:Communication theorists,http://www.wikidata.org/entity/Q4056821,Dmitry Ageyev,http://www.wikidata.org/entity/Q4056821,Q4056821,1911-02-21T00:00:00Z,NA,male,Russia
Category:Communication theorists,http://www.wikidata.org/entity/Q4751469,Anantha Babbili,http://www.wikidata.org/entity/Q4751469,Q4751469,NA,Pprovost/Vice President for Academic Affairs/Texas A&M University–Corpus Christi,male,NA
Category:Communication theorists,http://www.wikidata.org/entity/Q5006855,C. Scott Jacobs,http://www.wikidata.org/entity/Q5006855,Q5006855,NA,American academic,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q5075559,Charles Berger,http://www.wikidata.org/entity/Q5075559,Q5075559,1950-01-01T00:00Z|1939-01-01T00:00Z,American academic and professor of communication,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q5144983,Colin Cherry,http://www.wikidata.org/entity/Q5144983,Q5144983,1914-06-23T00:00:00Z,British scientist,male,United Kingdom|United Kingdom of Great Britain and Ireland
Category:Communication theorists,http://www.wikidata.org/entity/Q5203712,D. Lawrence Kincaid,http://www.wikidata.org/entity/Q5203712,Q5203712,1945-01-01T00:00:00Z,American academic,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q5203816,D. Shelton A. Gunaratne,http://www.wikidata.org/entity/Q5203816,Q5203816,1940-01-22T00:00:00Z,Professor of mass communications,male,Sri Lanka
Category:Communication theorists,http://www.wikidata.org/entity/Q5392806,Ernest Bormann,http://www.wikidata.org/entity/Q5392806,Q5392806,1925-07-28T00:00:00Z,American academic,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q5493221,François Cooren,http://www.wikidata.org/entity/Q5493221,Q5493221,1965-01-01T00:00:00Z,French sociologist,male,NA
Category:Communication theorists,http://www.wikidata.org/entity/Q5512116,G. A. Swanson,http://www.wikidata.org/entity/Q5512116,Q5512116,1949-01-01T00:00:00Z,American systems scientist,male,NA
Category:Communication theorists,http://www.wikidata.org/entity/Q5512502,G. Thomas Goodnight,http://www.wikidata.org/entity/Q5512502,Q5512502,1948-01-01T00:00:00Z,American academic,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q5538864,George Edward Cheney,http://www.wikidata.org/entity/Q5538864,Q5538864,NA,American academic,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q5644620,Hamid Mowlana,http://www.wikidata.org/entity/Q5644620,Q5644620,1937-01-01T00:00:00Z,Iranian politician,male,Iran
Category:Communication theorists,http://www.wikidata.org/entity/Q6094597,Ithiel de Sola Pool,http://www.wikidata.org/entity/Q6094597,Q6094597,1917-10-26T00:00:00Z,American social scientist,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q6141741,James R. Taylor,http://www.wikidata.org/entity/Q6141741,Q6141741,1928-01-01T00:00:00Z,Canadian sociologist,male,Canada
Category:Communication theorists,http://www.wikidata.org/entity/Q6144743,James W. Carey,http://www.wikidata.org/entity/Q6144743,Q6144743,1934-09-07T00:00:00Z,American sociologist,male,United States of America
Category:Mass media theorists,http://www.wikidata.org/entity/Q6144743,James W. Carey,http://www.wikidata.org/entity/Q6144743,Q6144743,1934-09-07T00:00:00Z,American sociologist,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q6144923,"James W. Tankard, Jr.",http://www.wikidata.org/entity/Q6144923,Q6144923,1941-06-20T00:00:00Z,American writer,male,NA
Category:Communication theorists,http://www.wikidata.org/entity/Q6397268,Kevin Porée,http://www.wikidata.org/entity/Q6397268,Q6397268,1965-02-11T00:00:00Z,Jersey musician,male,United Kingdom
Category:Communication theorists,http://www.wikidata.org/entity/Q6419923,Klaus Krippendorff,http://www.wikidata.org/entity/Q6419923,Q6419923,1932-03-21T00:00:00Z,cyberneticist,male,NA
Category:Communication theorists,http://www.wikidata.org/entity/Q6768451,Mark L. Knapp,http://www.wikidata.org/entity/Q6768451,Q6768451,1938-07-12T00:00:00Z,American academic,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q7129259,Pamela J. Shoemaker,http://www.wikidata.org/entity/Q7129259,Q7129259,1950-10-25T00:00:00Z,American media studies researcher and author,female,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q7296621,Ravi Gomatam,http://www.wikidata.org/entity/Q7296621,Q7296621,1950-01-01T00:00:00Z,Indian academic,male,NA
Category:Communication theorists,http://www.wikidata.org/entity/Q7350217,Robert T. Craig,http://www.wikidata.org/entity/Q7350217,Q7350217,1947-05-10T00:00:00Z,Communication Theorists from the University of Colorado,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q7350243,Robert T. Oliver,http://www.wikidata.org/entity/Q7350243,Q7350243,1909-07-07T00:00:00Z,American academic,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q7681141,Tamer Başar,http://www.wikidata.org/entity/Q7681141,Q7681141,1946-01-19T00:00:00Z,Turkish electrical engineer,male,Turkey
Category:Control theorists,http://www.wikidata.org/entity/Q7681141,Tamer Başar,http://www.wikidata.org/entity/Q7681141,Q7681141,1946-01-19T00:00:00Z,Turkish electrical engineer,male,Turkey
Category:Communication theorists,http://www.wikidata.org/entity/Q7781501,Theo van Leeuwen,http://www.wikidata.org/entity/Q7781501,Q7781501,1947-02-08T00:00:00Z,Australian communication theorist,male,Australia
Category:Communication theorists,http://www.wikidata.org/entity/Q7964834,Walter Fisher,http://www.wikidata.org/entity/Q7964834,Q7964834,1931-01-01T00:00:00Z,American psychologist,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q8000236,Wilbur Schramm,http://www.wikidata.org/entity/Q8000236,Q8000236,1907-08-05T00:00:00Z,"writer, journalist, scholar",male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q8060544,Lee Yuk-Wing,http://www.wikidata.org/entity/Q8060544,Q8060544,1904-01-01T00:00:00Z,Professor of Electrical Engineering,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q11556282,Yukio Tsuda,http://www.wikidata.org/entity/Q11556282,Q11556282,1950-01-01T00:00:00Z,Japanese communication theorist,male,Japan
Category:Communication theorists,http://www.wikidata.org/entity/Q12369646,Marcel Danesi,http://www.wikidata.org/entity/Q12369646,Q12369646,1946-10-01T00:00:00Z,Italian semiotician,male,Italy
Category:Communication theorists,http://www.wikidata.org/entity/Q15402044,Michael H. Prosser,http://www.wikidata.org/entity/Q15402044,Q15402044,1936-03-29T00:00:00Z,American academic,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q15498046,James Chesebro,http://www.wikidata.org/entity/Q15498046,Q15498046,1944-06-24T00:00:00Z,American academic,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q16105257,Muneo Yoshikawa,http://www.wikidata.org/entity/Q16105257,Q16105257,1938-01-01T00:00:00Z,Japanese writer,male,Japan
Category:Communication theorists,http://www.wikidata.org/entity/Q16181368,Stein Braten,http://www.wikidata.org/entity/Q16181368,Q16181368,1934-11-03T00:00:00Z,Norwegian sociologist,male,Norway
Category:Communication theorists,http://www.wikidata.org/entity/Q16730114,Sally Jackson,http://www.wikidata.org/entity/Q16730114,Q16730114,1952-01-01T00:00:00Z,American academic,female,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q16745343,Ronald L. Jackson II,http://www.wikidata.org/entity/Q16745343,Q16745343,1970-01-01T00:00:00Z,American writer,male,NA
Category:Communication theorists,http://www.wikidata.org/entity/Q17306246,Ramón Massó Tarruella,http://www.wikidata.org/entity/Q17306246,Q17306246,1928-01-01T00:00:00Z,Spanish politician,male,Spain
Category:Critical theorists,http://www.wikidata.org/entity/Q17306246,Ramón Massó Tarruella,http://www.wikidata.org/entity/Q17306246,Q17306246,1928-01-01T00:00:00Z,Spanish politician,male,Spain
Category:Communication theorists,http://www.wikidata.org/entity/Q17447358,Jaan Valsiner,http://www.wikidata.org/entity/Q17447358,Q17447358,1951-06-29T00:00:00Z,Estonian-American developmental and cultural psychologist of Estonian origin,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q23023239,Robert M. Shuter,http://www.wikidata.org/entity/Q23023239,Q23023239,1946-07-14T00:00:00Z,American intercultural communication scholar,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q23542561,Adriano Duarte Rodrigues,http://www.wikidata.org/entity/Q23542561,Q23542561,1942-04-07T00:00:00Z,portuguese communication theorist,male,Portugal
Category:Communication theorists,http://www.wikidata.org/entity/Q28477851,Hazel Gaudet-Erskine,http://www.wikidata.org/entity/Q28477851,Q28477851,1908-10-15T00:00:00Z,American social and communications scientist,female,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q50822200,Magoroh Maruyama,http://www.wikidata.org/entity/Q50822200,Q50822200,1929-04-29T00:00:00Z,NA,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q55966239,Bradley S. Greenberg,http://www.wikidata.org/entity/Q55966239,Q55966239,1934-01-01T00:00:00Z,American communications theorist,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q55966577,David Berlo,http://www.wikidata.org/entity/Q55966577,Q55966577,1929-01-01T00:00:00Z,American communications theorist,male,United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q60735950,Timothy R. Levine,http://www.wikidata.org/entity/Q60735950,Q60735950,NA,"American communication professor, researcher, and theorist",male,NA
Category:Communication theorists,http://www.wikidata.org/entity/Q58851,Karl Bühler,http://www.wikidata.org/entity/Q58851,Q58851,1879-05-27T00:00:00Z,German psychologist,male,German Empire|Austria|United States of America
Category:Communication theorists,http://www.wikidata.org/entity/Q58853,Karl-Otto Apel,http://www.wikidata.org/entity/Q58853,Q58853,1922-03-15T00:00:00Z,German philosopher,male,Germany
Category:Critical theorists,http://www.wikidata.org/entity/Q58853,Karl-Otto Apel,http://www.wikidata.org/entity/Q58853,Q58853,1922-03-15T00:00:00Z,German philosopher,male,Germany
Category:Social theories,http://www.wikidata.org/entity/Q116789,Boris Parygin,http://www.wikidata.org/entity/Q116789,Q116789,1930-06-19T00:00:00Z,Russian academic,male,Soviet Union|Russia
Category:Social theories,http://www.wikidata.org/entity/Q569063,Roberto Mangabeira Unger,http://www.wikidata.org/entity/Q569063,Q569063,1947-03-24T00:00:00Z,Brazilian philosopher and politician,male,Brazil
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q276090,Elizebeth Smith Friedman,http://www.wikidata.org/entity/Q276090,Q276090,1892-08-26T00:00:00Z,American cryptanalyst and author (1892-1980),female,United States of America
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q457286,Delia Bacon,http://www.wikidata.org/entity/Q457286,Q457286,1811-02-02T00:00:00Z,American author best known for her work on Shakespearean authorship,female,United States of America
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q918937,Ignatius L. Donnelly,http://www.wikidata.org/entity/Q918937,Q918937,1831-11-03T00:00:00Z,American politician (1831-1901),male,United States of America
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q969082,William F. Friedman,http://www.wikidata.org/entity/Q969082,Q969082,1891-09-24T00:00:00Z,American cryptologist,male,United States of America
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q2543934,Walter Conrad Arensberg,http://www.wikidata.org/entity/Q2543934,Q2543934,1878-04-04T00:00:00Z,"American art collector, critic and poet",male,United States of America
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q5346368,Edwin Durning-Lawrence,http://www.wikidata.org/entity/Q5346368,Q5346368,1837-02-02T00:00:00Z,British politician,male,United Kingdom of Great Britain and Ireland
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q5363714,Elizabeth Wells Gallup,http://www.wikidata.org/entity/Q5363714,Q5363714,1848-01-01T00:00:00Z,American educator,female,United States of America
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q5539165,George Fabyan,http://www.wikidata.org/entity/Q5539165,Q5539165,1867-01-01T00:00:00Z,American businessman,male,NA
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q5728228,Henry Seymour,http://www.wikidata.org/entity/Q5728228,Q5728228,1861-01-01T00:00:00Z,British secularist,male,NA
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q5750019,Hezekiah Lord Hosmer,http://www.wikidata.org/entity/Q5750019,Q5750019,1814-12-10T00:00:00Z,"U.S. lawyer, judge, journalist, and author",male,United States of America
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q6145675,James Wilmot,http://www.wikidata.org/entity/Q6145675,Q6145675,1726-01-01T00:00:00Z,"clergyman, scholar",male,NA
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q6229164,John Denham Parsons,http://www.wikidata.org/entity/Q6229164,Q6229164,1861-01-01T00:00:00Z,British writer,male,United Kingdom
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q7105264,Orville Ward Owen,http://www.wikidata.org/entity/Q7105264,Q7105264,1854-01-01T00:00:00Z,American academic,male,NA
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q14954633,"James Wilde, 1st Baron Penzance",http://www.wikidata.org/entity/Q14954633,Q14954633,1816-07-12T00:00:00Z,British judge and rose breeder,male,United Kingdom of Great Britain and Ireland
Category:Baconian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q37388,Francis Bacon,http://www.wikidata.org/entity/Q37388,Q37388,1561-01-22T00:00:00Z,English philosopher and statesman (1561–1626),male,Kingdom of England
Category:Marlovian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q1027678,Calvin Hoffman,http://www.wikidata.org/entity/Q1027678,Q1027678,1914-11-01T00:00:00Z,American historian,male,United States of America
Category:Marlovian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q1235822,Dolly Walker-Wraight,http://www.wikidata.org/entity/Q1235822,Q1235822,1920-04-24T00:00:00Z,British academic,female,United Kingdom|United Kingdom of Great Britain and Ireland
Category:Marlovian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q1607389,Henry Watterson,http://www.wikidata.org/entity/Q1607389,Q1607389,1840-02-16T00:00:00Z,United States journalist (1840-1921),male,United States of America
Category:Marlovian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q1663270,Ingram Frizer,http://www.wikidata.org/entity/Q1663270,Q1663270,1600-01-01T00:00:00Z,English businessman,male,Kingdom of England
Category:Marlovian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q2158508,Robert Poley,http://www.wikidata.org/entity/Q2158508,Q2158508,1600-01-01T00:00:00Z,NA,male,NA
Category:Marlovian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q3308492,Michael Rubbo,http://www.wikidata.org/entity/Q3308492,Q3308492,1938-12-31T00:00:00Z,Australian film director,male,Australia
Category:Marlovian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q8000190,Wilbur G. Zeigler,http://www.wikidata.org/entity/Q8000190,Q8000190,1857-01-01T00:00:00Z,American writer,male,NA
Category:Marlovian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q28946323,Ros Barber,http://www.wikidata.org/entity/Q28946323,Q28946323,1964-01-25T00:00:00Z,English novelist and poet,female,NA
Category:Marlovian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q28975,Christopher Marlowe,http://www.wikidata.org/entity/Q28975,Q28975,1564-02-23T00:00:00Z,"English dramatist, poet and translator (1564-1593)",male,Kingdom of England
Category:Derbyite theory of Shakespeare authorship,http://www.wikidata.org/entity/Q318468,Abel Lefranc,http://www.wikidata.org/entity/Q318468,Q318468,1863-07-27T00:00:00Z,Literature historian,male,France
Category:Derbyite theory of Shakespeare authorship,http://www.wikidata.org/entity/Q2032636,"William Stanley, 6th Earl of Derby",http://www.wikidata.org/entity/Q2032636,Q2032636,1561-07-01T00:00:00Z,6th Earl of Derby,male,United Kingdom of Great Britain and Ireland
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q374210,"Edward de Vere, 17th Earl of Oxford",http://www.wikidata.org/entity/Q374210,Q374210,1550-04-12T00:00:00Z,English peer and courtier of the Elizabethan era,male,United Kingdom
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q1411615,Richard Kennedy,http://www.wikidata.org/entity/Q1411615,Q1411615,1932-12-23T00:00:00Z,American writer known for literary fairy tales,male,United States of America
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q1871900,Louis P. Bénézet,http://www.wikidata.org/entity/Q1871900,Q1871900,1878-03-21T00:00:00Z,American educator and writer,male,United States of America
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q3103888,Gerald Henry Rendall,http://www.wikidata.org/entity/Q3103888,Q3103888,1851-01-25T00:00:00Z,British antiquarian,male,United Kingdom|United Kingdom of Great Britain and Ireland
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q3805138,J. Thomas Looney,http://www.wikidata.org/entity/Q3805138,Q3805138,1870-08-14T00:00:00Z,English school teacher,male,United Kingdom
Category:Fringe theories,http://www.wikidata.org/entity/Q3805138,J. Thomas Looney,http://www.wikidata.org/entity/Q3805138,Q3805138,1870-08-14T00:00:00Z,English school teacher,male,United Kingdom
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q4720341,Alexander Waugh,http://www.wikidata.org/entity/Q4720341,Q4720341,1963-12-30T00:00:00Z,English businessman and writer,male,United Kingdom
Category:Oxfordian theory of Shakespeare authorship,http://www.wikidata.org/entity/Q4893447,Bernard Mordaunt Ward,http://www.wikidata.org/entity/Q4893447,Q4893447,1893-01-20T00:00:00Z,English writer,male,United Kingdom
