item,itemLabel,q_id,date of birth,description,sex_gender,country_citizenship
http://www.wikidata.org/entity/Q722347,Walter J. Ong,Q722347,1912-11-30T00:00:00Z,American philosopher and historian,male,United States of America
http://www.wikidata.org/entity/Q1161998,Daniel J. O'Keefe,Q1161998,1950-03-30T00:00:00Z,American academic,male,United States of America
http://www.wikidata.org/entity/Q1445486,Frans H. van Eemeren,Q1445486,1946-04-07T00:00:00Z,Dutch academic,male,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q1512329,Molefi Kete Asante,Q1512329,1942-08-14T00:00:00Z,American academic,male,United States of America
http://www.wikidata.org/entity/Q1662255,Inez De Florio-Hansen,Q1662255,1943-01-01T00:00:00Z,linguist,female,Germany
http://www.wikidata.org/entity/Q2227424,Alfons Vansteenwegen,Q2227424,1941-07-06T00:00:00Z,Belgian communication theorist,male,Belgium
http://www.wikidata.org/entity/Q2530910,Denis McQuail,Q2530910,1935-04-12T00:00:00Z,"British communication theorist, academic and writer",male,United Kingdom
http://www.wikidata.org/entity/Q3061477,Everett Rogers,Q3061477,1931-03-06T00:00:00Z,American academic,male,United States of America
http://www.wikidata.org/entity/Q3430760,Richard Fisch,Q3430760,1926-12-15T00:00:00Z,American psychiatrist,male,United States of America
http://www.wikidata.org/entity/Q3893206,Herbert Schiller,Q3893206,1919-11-05T00:00:00Z,American media critic,male,United States of America
http://www.wikidata.org/entity/Q3896211,Osmo Antero Wiio,Q3896211,1928-02-04T00:00:00Z,"Finnish communications professor, journalist and Member of Parliament",male,Finland
http://www.wikidata.org/entity/Q4056821,Dmitry Ageyev,Q4056821,1911-02-21T00:00:00Z,,male,Russia
http://www.wikidata.org/entity/Q4751469,Anantha Babbili,Q4751469,,Pprovost/Vice President for Academic Affairs/Texas A&M University–Corpus Christi,male,
http://www.wikidata.org/entity/Q5006855,C. Scott Jacobs,Q5006855,,American academic,male,United States of America
http://www.wikidata.org/entity/Q5075559,Charles Berger,Q5075559,1950-01-01T00:00Z|1939-01-01T00:00Z,American academic and professor of communication,male,United States of America
http://www.wikidata.org/entity/Q5144983,Colin Cherry,Q5144983,1914-06-23T00:00:00Z,British scientist,male,United Kingdom|United Kingdom of Great Britain and Ireland
http://www.wikidata.org/entity/Q5203712,D. Lawrence Kincaid,Q5203712,1945-01-01T00:00:00Z,American academic,male,United States of America
http://www.wikidata.org/entity/Q5203816,D. Shelton A. Gunaratne,Q5203816,1940-01-22T00:00:00Z,Professor of mass communications,male,Sri Lanka
http://www.wikidata.org/entity/Q5392806,Ernest Bormann,Q5392806,1925-07-28T00:00:00Z,American academic,male,United States of America
http://www.wikidata.org/entity/Q5493221,François Cooren,Q5493221,1965-01-01T00:00:00Z,French sociologist,male,
http://www.wikidata.org/entity/Q5512116,G. A. Swanson,Q5512116,1949-01-01T00:00:00Z,American systems scientist,male,
http://www.wikidata.org/entity/Q5512502,G. Thomas Goodnight,Q5512502,1948-01-01T00:00:00Z,American academic,male,United States of America
http://www.wikidata.org/entity/Q5538864,George Edward Cheney,Q5538864,,American academic,male,United States of America
http://www.wikidata.org/entity/Q5644620,Hamid Mowlana,Q5644620,1937-01-01T00:00:00Z,Iranian politician,male,Iran
http://www.wikidata.org/entity/Q6094597,Ithiel de Sola Pool,Q6094597,1917-10-26T00:00:00Z,American social scientist,male,United States of America
http://www.wikidata.org/entity/Q6141741,James R. Taylor,Q6141741,1928-01-01T00:00:00Z,Canadian sociologist,male,Canada
http://www.wikidata.org/entity/Q6144743,James W. Carey,Q6144743,1934-09-07T00:00:00Z,American sociologist,male,United States of America
http://www.wikidata.org/entity/Q6144923,"James W. Tankard, Jr.",Q6144923,1941-06-20T00:00:00Z,American writer,male,
http://www.wikidata.org/entity/Q6397268,Kevin Porée,Q6397268,1965-02-11T00:00:00Z,Jersey musician,male,United Kingdom
http://www.wikidata.org/entity/Q6419923,Klaus Krippendorff,Q6419923,1932-03-21T00:00:00Z,cyberneticist,male,
http://www.wikidata.org/entity/Q6768451,Mark L. Knapp,Q6768451,1938-07-12T00:00:00Z,American academic,male,United States of America
http://www.wikidata.org/entity/Q7129259,Pamela J. Shoemaker,Q7129259,1950-10-25T00:00:00Z,American media studies researcher and author,female,United States of America
http://www.wikidata.org/entity/Q7296621,Ravi Gomatam,Q7296621,1950-01-01T00:00:00Z,Indian academic,male,
http://www.wikidata.org/entity/Q7350217,Robert T. Craig,Q7350217,1947-05-10T00:00:00Z,Communication Theorists from the University of Colorado,male,United States of America
http://www.wikidata.org/entity/Q7350243,Robert T. Oliver,Q7350243,1909-07-07T00:00:00Z,American academic,male,United States of America
http://www.wikidata.org/entity/Q7681141,Tamer Başar,Q7681141,1946-01-19T00:00:00Z,Turkish electrical engineer,male,Turkey
http://www.wikidata.org/entity/Q7781501,Theo van Leeuwen,Q7781501,1947-02-08T00:00:00Z,Australian communication theorist,male,Australia
http://www.wikidata.org/entity/Q7964834,Walter Fisher,Q7964834,1931-01-01T00:00:00Z,American psychologist,male,United States of America
http://www.wikidata.org/entity/Q8000236,Wilbur Schramm,Q8000236,1907-08-05T00:00:00Z,"writer, journalist, scholar",male,United States of America
http://www.wikidata.org/entity/Q8060544,Lee Yuk-Wing,Q8060544,1904-01-01T00:00:00Z,Professor of Electrical Engineering,male,United States of America
http://www.wikidata.org/entity/Q11556282,Yukio Tsuda,Q11556282,1950-01-01T00:00:00Z,Japanese communication theorist,male,Japan
http://www.wikidata.org/entity/Q12369646,Marcel Danesi,Q12369646,1946-10-01T00:00:00Z,Italian semiotician,male,Italy
http://www.wikidata.org/entity/Q15402044,Michael H. Prosser,Q15402044,1936-03-29T00:00:00Z,American academic,male,United States of America
http://www.wikidata.org/entity/Q15498046,James Chesebro,Q15498046,1944-06-24T00:00:00Z,American academic,male,United States of America
http://www.wikidata.org/entity/Q16105257,Muneo Yoshikawa,Q16105257,1938-01-01T00:00:00Z,Japanese writer,male,Japan
http://www.wikidata.org/entity/Q16181368,Stein Braten,Q16181368,1934-11-03T00:00:00Z,Norwegian sociologist,male,Norway
http://www.wikidata.org/entity/Q16730114,Sally Jackson,Q16730114,1952-01-01T00:00:00Z,American academic,female,United States of America
http://www.wikidata.org/entity/Q16745343,Ronald L. Jackson II,Q16745343,1970-01-01T00:00:00Z,American writer,male,
http://www.wikidata.org/entity/Q17306246,Ramón Massó Tarruella,Q17306246,1928-01-01T00:00:00Z,Spanish politician,male,Spain
http://www.wikidata.org/entity/Q17447358,Jaan Valsiner,Q17447358,1951-06-29T00:00:00Z,Estonian-American developmental and cultural psychologist of Estonian origin,male,United States of America
http://www.wikidata.org/entity/Q23023239,Robert M. Shuter,Q23023239,1946-07-14T00:00:00Z,American intercultural communication scholar,male,United States of America
http://www.wikidata.org/entity/Q23542561,Adriano Duarte Rodrigues,Q23542561,1942-04-07T00:00:00Z,portuguese communication theorist,male,Portugal
http://www.wikidata.org/entity/Q28477851,Hazel Gaudet-Erskine,Q28477851,1908-10-15T00:00:00Z,American social and communications scientist,female,United States of America
http://www.wikidata.org/entity/Q50822200,Magoroh Maruyama,Q50822200,1929-04-29T00:00:00Z,,male,United States of America
http://www.wikidata.org/entity/Q55966239,Bradley S. Greenberg,Q55966239,1934-01-01T00:00:00Z,American communications theorist,male,United States of America
http://www.wikidata.org/entity/Q55966577,David Berlo,Q55966577,1929-01-01T00:00:00Z,American communications theorist,male,United States of America
http://www.wikidata.org/entity/Q60735950,Timothy R. Levine,Q60735950,,"American communication professor, researcher, and theorist",male,
http://www.wikidata.org/entity/Q58851,Karl Bühler,Q58851,1879-05-27T00:00:00Z,German psychologist,male,German Empire|Austria|United States of America
http://www.wikidata.org/entity/Q58853,Karl-Otto Apel,Q58853,1922-03-15T00:00:00Z,German philosopher,male,Germany
http://www.wikidata.org/entity/Q116789,Boris Parygin,Q116789,1930-06-19T00:00:00Z,Russian academic,male,Soviet Union|Russia
http://www.wikidata.org/entity/Q569063,Roberto Mangabeira Unger,Q569063,1947-03-24T00:00:00Z,Brazilian philosopher and politician,male,Brazil
http://www.wikidata.org/entity/Q276090,Elizebeth Smith Friedman,Q276090,1892-08-26T00:00:00Z,American cryptanalyst and author (1892-1980),female,United States of America
http://www.wikidata.org/entity/Q457286,Delia Bacon,Q457286,1811-02-02T00:00:00Z,American author best known for her work on Shakespearean authorship,female,United States of America
http://www.wikidata.org/entity/Q918937,Ignatius L. Donnelly,Q918937,1831-11-03T00:00:00Z,American politician (1831-1901),male,United States of America
http://www.wikidata.org/entity/Q969082,William F. Friedman,Q969082,1891-09-24T00:00:00Z,American cryptologist,male,United States of America
http://www.wikidata.org/entity/Q2543934,Walter Conrad Arensberg,Q2543934,1878-04-04T00:00:00Z,"American art collector, critic and poet",male,United States of America
http://www.wikidata.org/entity/Q5346368,Edwin Durning-Lawrence,Q5346368,1837-02-02T00:00:00Z,British politician,male,United Kingdom of Great Britain and Ireland
http://www.wikidata.org/entity/Q5363714,Elizabeth Wells Gallup,Q5363714,1848-01-01T00:00:00Z,American educator,female,United States of America
http://www.wikidata.org/entity/Q5539165,George Fabyan,Q5539165,1867-01-01T00:00:00Z,American businessman,male,
http://www.wikidata.org/entity/Q5728228,Henry Seymour,Q5728228,1861-01-01T00:00:00Z,British secularist,male,
http://www.wikidata.org/entity/Q5750019,Hezekiah Lord Hosmer,Q5750019,1814-12-10T00:00:00Z,"U.S. lawyer, judge, journalist, and author",male,United States of America
http://www.wikidata.org/entity/Q6145675,James Wilmot,Q6145675,1726-01-01T00:00:00Z,"clergyman, scholar",male,
http://www.wikidata.org/entity/Q6229164,John Denham Parsons,Q6229164,1861-01-01T00:00:00Z,British writer,male,United Kingdom
http://www.wikidata.org/entity/Q7105264,Orville Ward Owen,Q7105264,1854-01-01T00:00:00Z,American academic,male,
http://www.wikidata.org/entity/Q14954633,"James Wilde, 1st Baron Penzance",Q14954633,1816-07-12T00:00:00Z,British judge and rose breeder,male,United Kingdom of Great Britain and Ireland
http://www.wikidata.org/entity/Q37388,Francis Bacon,Q37388,1561-01-22T00:00:00Z,English philosopher and statesman (1561–1626),male,Kingdom of England
http://www.wikidata.org/entity/Q1027678,Calvin Hoffman,Q1027678,1914-11-01T00:00:00Z,American historian,male,United States of America
http://www.wikidata.org/entity/Q1235822,Dolly Walker-Wraight,Q1235822,1920-04-24T00:00:00Z,British academic,female,United Kingdom|United Kingdom of Great Britain and Ireland
http://www.wikidata.org/entity/Q1607389,Henry Watterson,Q1607389,1840-02-16T00:00:00Z,United States journalist (1840-1921),male,United States of America
http://www.wikidata.org/entity/Q1663270,Ingram Frizer,Q1663270,1600-01-01T00:00:00Z,English businessman,male,Kingdom of England
http://www.wikidata.org/entity/Q2158508,Robert Poley,Q2158508,1600-01-01T00:00:00Z,,male,
http://www.wikidata.org/entity/Q3308492,Michael Rubbo,Q3308492,1938-12-31T00:00:00Z,Australian film director,male,Australia
http://www.wikidata.org/entity/Q8000190,Wilbur G. Zeigler,Q8000190,1857-01-01T00:00:00Z,American writer,male,
http://www.wikidata.org/entity/Q28946323,Ros Barber,Q28946323,1964-01-25T00:00:00Z,English novelist and poet,female,
http://www.wikidata.org/entity/Q28975,Christopher Marlowe,Q28975,1564-02-23T00:00:00Z,"English dramatist, poet and translator (1564-1593)",male,Kingdom of England
http://www.wikidata.org/entity/Q318468,Abel Lefranc,Q318468,1863-07-27T00:00:00Z,Literature historian,male,France
http://www.wikidata.org/entity/Q2032636,"William Stanley, 6th Earl of Derby",Q2032636,1561-07-01T00:00:00Z,6th Earl of Derby,male,United Kingdom of Great Britain and Ireland
http://www.wikidata.org/entity/Q374210,"Edward de Vere, 17th Earl of Oxford",Q374210,1550-04-12T00:00:00Z,English peer and courtier of the Elizabethan era,male,United Kingdom
http://www.wikidata.org/entity/Q1411615,Richard Kennedy,Q1411615,1932-12-23T00:00:00Z,American writer known for literary fairy tales,male,United States of America
http://www.wikidata.org/entity/Q1871900,Louis P. Bénézet,Q1871900,1878-03-21T00:00:00Z,American educator and writer,male,United States of America
http://www.wikidata.org/entity/Q3103888,Gerald Henry Rendall,Q3103888,1851-01-25T00:00:00Z,British antiquarian,male,United Kingdom|United Kingdom of Great Britain and Ireland
http://www.wikidata.org/entity/Q3805138,J. Thomas Looney,Q3805138,1870-08-14T00:00:00Z,English school teacher,male,United Kingdom
http://www.wikidata.org/entity/Q4720341,Alexander Waugh,Q4720341,1963-12-30T00:00:00Z,English businessman and writer,male,United Kingdom
http://www.wikidata.org/entity/Q4893447,Bernard Mordaunt Ward,Q4893447,1893-01-20T00:00:00Z,English writer,male,United Kingdom
http://www.wikidata.org/entity/Q5075500,"Charles Beauclerk, Earl of Burford",Q5075500,1965-02-22T00:00:00Z,British aristocrat and heir apparent to the Dukedom of St Albans (born 1965),male,United Kingdom
http://www.wikidata.org/entity/Q5082505,Charles Sidney Beauclerk,Q5082505,1855-01-01T00:00:00Z,British Jesuit priest,male,
http://www.wikidata.org/entity/Q5083669,Charles Wisner Barrell,Q5083669,1885-07-06T00:00:00Z,American writer,male,
http://www.wikidata.org/entity/Q5086298,Charlton Greenwood Ogburn,Q5086298,1882-01-01T00:00:00Z,American lawyer,male,United States of America
http://www.wikidata.org/entity/Q5086326,Charlton Ogburn,Q5086326,1911-03-15T00:00:00Z,American journalist and author,male,United States of America
http://www.wikidata.org/entity/Q6287091,Joseph Sobran,Q6287091,1946-02-23T00:00:00Z,"writer, columnist",male,United States of America
http://www.wikidata.org/entity/Q6766543,Mark Anderson,Q6766543,1967-08-13T00:00:00Z,"journalist, author",male,United States of America
http://www.wikidata.org/entity/Q7167223,Percy Allen,Q7167223,1875-01-01T00:00:00Z,"English journalist, writer, and lecturer",male,
http://www.wikidata.org/entity/Q7358963,Roger Stritmatter,Q7358963,1958-10-21T00:00:00Z,Professor of Humanities,male,United States of America
http://www.wikidata.org/entity/Q8008926,William Farina,Q8008926,1955-12-07T00:00:00Z,American lawyer and writer,male,United States of America
http://www.wikidata.org/entity/Q15998953,Montagu William Douglas,Q15998953,1863-01-01T00:00:00Z,British soldier and colonial administrator in India,male,
http://www.wikidata.org/entity/Q20657184,Tom Ligon,Q20657184,1940-09-10T00:00:00Z,American actor,male,United States of America
http://www.wikidata.org/entity/Q21062845,Ludwig Staiger,Q21062845,1948-01-01T00:00:00Z,German mathematician and computer scientist,male,
http://www.wikidata.org/entity/Q22958613,Andreas Brandstädt,Q22958613,1949-01-17T00:00:00Z,German mathematician and computer scientist,male,Germany
http://www.wikidata.org/entity/Q316022,Harry Nyquist,Q316022,1889-02-07T00:00:00Z,Swedish American mathematician,male,United States of America|Sweden
http://www.wikidata.org/entity/Q1442951,Frank Benford,Q1442951,1883-05-29T00:00:00Z,American electrical engineer & physicist best known for rediscovering Benford's Law,male,United States of America
http://www.wikidata.org/entity/Q156585,Marc Bloch,Q156585,1886-07-06T00:00:00Z,French historian and resistance fighter,male,France
http://www.wikidata.org/entity/Q162597,Henri Lefebvre,Q162597,1901-06-16T00:00:00Z,French philosopher (1901-1991),male,France
http://www.wikidata.org/entity/Q170078,Ernest Gellner,Q170078,1925-12-09T00:00:00Z,"Czech anthropologist, philosopher and sociologist",male,United Kingdom|United Kingdom of Great Britain and Ireland
http://www.wikidata.org/entity/Q178709,Giambattista Vico,Q178709,1668-06-23T00:00:00Z,"Italian philosopher, rhetorician, historian and jurist",male,Kingdom of Naples
http://www.wikidata.org/entity/Q185105,Fernand Braudel,Q185105,1902-08-24T00:00:00Z,French historian and leader of the Annales School,male,France
http://www.wikidata.org/entity/Q185381,Arnold J. Toynbee,Q185381,1889-04-14T00:00:00Z,British historian,male,United Kingdom
http://www.wikidata.org/entity/Q319816,Pitirim Sorokin,Q319816,1889-01-23T00:00:00Z,Russian sociologist (1889-1968),male,Russian Empire|Russian Socialist Federative Soviet Republic|United States of America
http://www.wikidata.org/entity/Q325840,Gerhard Lenski,Q325840,1924-08-13T00:00:00Z,American sociologist,male,United States of America
http://www.wikidata.org/entity/Q494287,Immanuel Wallerstein,Q494287,1930-09-28T00:00:00Z,American sociologist and economic historian,male,United States of America
http://www.wikidata.org/entity/Q712123,Paul Kennedy,Q712123,1945-06-17T00:00:00Z,British historian,male,United Kingdom
http://www.wikidata.org/entity/Q720443,Carroll Quigley,Q720443,1910-11-09T00:00:00Z,American historian,male,United States of America
http://www.wikidata.org/entity/Q4237406,Nikolay Kradin,Q4237406,1962-04-17T00:00Z|1962-01-01T00:00Z,Russian anthropologist and archaeologist,male,Soviet Union|Russia
http://www.wikidata.org/entity/Q16105138,David Kolb,Q16105138,1939-01-01T00:00:00Z,American philosopher,male,United States of America
http://www.wikidata.org/entity/Q9235,Georg Wilhelm Friedrich Hegel,Q9235,1770-08-27T00:00:00Z,German philosopher (1770–1831),male,Germany
http://www.wikidata.org/entity/Q9294,Ibn Khaldun,Q9294,1332-05-27T00:00:00Z,"Islamic philosopher, sociologist, historiographer and historian (1332-1406)",male,Hafsid dynasty
http://www.wikidata.org/entity/Q12718,Auguste Comte,Q12718,1798-01-19T00:00Z|1798-01-17T00:00Z,18th c. French philosopher and pioneer of positivism,male,France
http://www.wikidata.org/entity/Q34787,Friedrich Engels,Q34787,1820-11-28T00:00:00Z,"German philosopher, historian, communist, political scientist and journalist",male,Germany
http://www.wikidata.org/entity/Q57112,Oswald Spengler,Q57112,1880-05-29T00:00:00Z,German historian and philosopher,male,Germany
http://www.wikidata.org/entity/Q61082,Karl August Wittfogel,Q61082,1896-09-06T00:00:00Z,German-American academic (1896–1988),male,Germany|United States of America
http://www.wikidata.org/entity/Q3575689,Zoghman Mebkhout,Q3575689,1948-06-17T00:00:00Z,mathematician,male,Algeria|France
http://www.wikidata.org/entity/Q115769,Marcel Grossmann,Q115769,1878-04-09T00:00:00Z,mathematician (1878-1936),male,Switzerland
http://www.wikidata.org/entity/Q340238,Achilles Papapetrou,Q340238,1907-02-02T00:00:00Z,Greek physicist,male,France|Greece|Ottoman Empire
http://www.wikidata.org/entity/Q445635,Fang Lizhi,Q445635,1936-02-12T00:00:00Z,Professor of astrophysics; civil rights activist and dissident,male,People's Republic of China
http://www.wikidata.org/entity/Q726175,Gunnar Nordström,Q726175,1881-03-12T00:00:00Z,Finnish physicist,male,Finland|Russian Empire
http://www.wikidata.org/entity/Q959840,Roy Kerr,Q959840,1934-05-16T00:00:00Z,New Zealand mathematician and bridge player,male,New Zealand
http://www.wikidata.org/entity/Q1068631,Cornelius Lanczos,Q1068631,1893-02-02T00:00:00Z,Hungarian mathematician and physicist,male,Hungary|United States of America|Ireland
http://www.wikidata.org/entity/Q1361708,W. G. Unruh,Q1361708,1945-08-28T00:00:00Z,Canadian physicist,male,Canada
http://www.wikidata.org/entity/Q2514703,Vladimir Varićak,Q2514703,1865-03-01T00:00:00Z,Croatian mathematician,male,Croatia
http://www.wikidata.org/entity/Q2764478,Prahalad Chunnilal Vaidya,Q2764478,1918-05-23T00:00:00Z,Indian scientist,male,India|British India|Dominion of India
http://www.wikidata.org/entity/Q3339390,Guang-Jiong Ni,Q3339390,1934-12-29T00:00:00Z,physicist,male,People's Republic of China
http://www.wikidata.org/entity/Q4164781,Ali Moustafa Mosharafa,Q4164781,1898-07-11T00:00:00Z,Egyptian physicist,male,Egypt
http://www.wikidata.org/entity/Q4719500,Alexander Macfarlane,Q4719500,1851-04-21T00:00:00Z,British mathematician and physicist (1851–1913),male,Scotland
http://www.wikidata.org/entity/Q5006922,C. V. Vishveshwara,Q5006922,1938-03-06T00:00:00Z,Indian physicist,male,India|British India|Dominion of India
http://www.wikidata.org/entity/Q5379742,Enrique Loedel Palumbo,Q5379742,1901-01-01T00:00:00Z,Uruguayan physicist,male,Uruguay
http://www.wikidata.org/entity/Q7979724,Wei-Tou Ni,Q7979724,1944-01-01T00:00:00Z,Taiwanese physicist,male,
http://www.wikidata.org/entity/Q16104618,Edmond Bonan,Q16104618,1937-01-27T00:00:00Z,French mathematician,male,France
http://www.wikidata.org/entity/Q21002310,Raymond McLenaghan,Q21002310,1939-04-14T00:00:00Z,Canadian theoretical physicist and mathematician,male,Canada
http://www.wikidata.org/entity/Q21948515,Emilio Santos Corchero,Q21948515,1935-10-07T00:00:00Z,,male,Spain
http://www.wikidata.org/entity/Q12998,Georges Lemaître el vergón,Q12998,1894-07-17T00:00:00Z,Belgian scientist and priest,male,Belgium
http://www.wikidata.org/entity/Q41688,Hendrik Lorentz,Q41688,1853-07-18T00:00:00Z,Dutch physicist,male,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q63059498,Roberta Rabellotti,Q63059498,,Italian professor,female,Italy
http://www.wikidata.org/entity/Q4768884,Anne Whateley,Q4768884,1561-01-01T00:00:00Z,Intended wife of Shakespeare,female,
http://www.wikidata.org/entity/Q124194,Edward Kofler,Q124194,1911-11-16T00:00:00Z,"Polish Mathematicians, Fuzzy Logic, Econometrics, Lwów, Brzeżany, Game Theory",male,Switzerland|Poland
http://www.wikidata.org/entity/Q560858,Vladimir Levenshtein,Q560858,1935-05-20T00:00:00Z,Russian mathematician,male,Soviet Union|Russia
http://www.wikidata.org/entity/Q737968,Raj Chandra Bose,Q737968,1901-06-19T00:00:00Z,Indian mathematician,male,India|United States of America
http://www.wikidata.org/entity/Q873734,Imre Csiszár,Q873734,1938-02-07T00:00:00Z,Hungarian mathematician,male,Hungary
http://www.wikidata.org/entity/Q3056621,Jorma Rissanen,Q3056621,1932-10-20T00:00:00Z,Information theorist,male,Finland
http://www.wikidata.org/entity/Q4647201,A.J. Han Vinck,Q4647201,1949-05-15T00:00:00Z,Dutch academic,male,
http://www.wikidata.org/entity/Q4663743,Abbas El Gamal,Q4663743,1950-05-30T00:00:00Z,"Egyptian-American electrical engineer, educator and entrepreneur",male,United States of America
http://www.wikidata.org/entity/Q4746324,Amin Shokrollahi,Q4746324,1964-01-01T00:00:00Z,Iranian mathematician,male,Iran|Germany
http://www.wikidata.org/entity/Q5108403,Chris Wallace,Q5108403,1933-10-26T00:00:00Z,Australian computer scientist,male,Australia
http://www.wikidata.org/entity/Q6554584,Linnar Viik,Q6554584,1965-02-26T00:00:00Z,Estonian information scientist and scholar,male,Estonia
http://www.wikidata.org/entity/Q6836805,Michele Mosca,Q6836805,1971-01-01T00:00:00Z,cryptographer,male,Canada
http://www.wikidata.org/entity/Q7260630,Punya Thitimajshima,Q7260630,1955-11-09T00:00:00Z,Thai information theorist,male,Thailand
http://www.wikidata.org/entity/Q7454442,Sergio Verdú,Q7454442,1958-08-15T00:00:00Z,Spanish information theorist,male,Spain|United States of America
http://www.wikidata.org/entity/Q15822188,János Körner,Q15822188,1946-01-01T00:00:00Z,Hungarian mathematician,male,Hungary
http://www.wikidata.org/entity/Q16728971,Hendrik C. Ferreira,Q16728971,,South African academic,male,
http://www.wikidata.org/entity/Q17141861,Ingar Roggen,Q17141861,1934-04-26T00:00:00Z,Spanish academic,male,
http://www.wikidata.org/entity/Q21822539,Wojciech Szpankowski,Q21822539,2000-01-01T00:00:00Z,Polish computer scientist,male,
http://www.wikidata.org/entity/Q29265247,Ozgur B. Akan,Q29265247,1950-01-01T00:00:00Z,,male,
http://www.wikidata.org/entity/Q59751138,Ioannis Kontoyiannis,Q59751138,1972-01-01T00:00:00Z,researcher ORCID ID = 0000-0001-7242-6375,male,
http://www.wikidata.org/entity/Q106554532,Peter Gacs,Q106554532,1947-01-01T00:00:00Z,,male,
http://www.wikidata.org/entity/Q69412,Rolf Landauer,Q69412,1927-02-04T00:00:00Z,"American-German physicist, engineer",male,Germany|United States of America
http://www.wikidata.org/entity/Q92619,Richard Hamming,Q92619,1915-02-11T00:00:00Z,American mathematician and information theorist,male,United States of America
http://www.wikidata.org/entity/Q92784,David A. Huffman,Q92784,1925-08-09T00:00:00Z,American computer scientist,male,United States of America
http://www.wikidata.org/entity/Q92868,Irving S. Reed,Q92868,1923-11-12T00:00:00Z,American mathematician,male,United States of America
http://www.wikidata.org/entity/Q92915,Terry Welch,Q92915,1939-01-20T00:00:00Z,American computer scientist,male,United States of America
http://www.wikidata.org/entity/Q92950,Marcel J. E. Golay,Q92950,1902-05-03T00:00:00Z,Swiss-American mathematician (1902-1989),male,Switzerland|United States of America
